Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fecteau Olivier Q.S.;Major Jean-François P.Q.;Mercier Hans P51;Poulin Antoine P.L.Q./Q.L.P.;Poulin Jonathan P.C.Q-E.E.D.;Poulin Samuel C.A.Q.-E.F.L.;B.V.;B.R.
802;Beauce-Sud;2022-10-03;G;Saint-Zacharie, m;1;;1;347;6;9;3;2;110;69;199;0
802;Beauce-Sud;2022-10-03;G;Saint-Zacharie, m;1;;2;342;3;8;0;4;106;81;202;1
802;Beauce-Sud;2022-10-03;G;Saint-Zacharie, m;1;;3;323;8;4;0;4;96;71;183;2
802;Beauce-Sud;2022-10-03;G;Saint-Zacharie, m;1;;4;351;5;9;3;3;95;88;203;1
802;Beauce-Sud;2022-10-03;G;Sainte-Aurélie, m;1;;5;367;8;18;2;9;84;103;224;3
802;Beauce-Sud;2022-10-03;G;Sainte-Aurélie, m;1;;6;333;11;10;4;2;96;75;198;6
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;7A;234;6;4;0;3;55;29;97;1
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;7B;206;0;3;1;2;51;33;90;0
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;8;415;14;6;1;9;91;59;180;1
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;9;402;10;5;1;6;95;44;161;2
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;10;394;9;11;0;7;69;81;177;3
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;11;403;6;8;0;3;71;61;149;1
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;12;401;8;3;3;5;70;78;167;4
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;13A;212;3;4;3;2;49;27;88;0
802;Beauce-Sud;2022-10-03;G;Saint-Prosper, m;1;;13B;234;8;5;2;3;55;49;122;3
802;Beauce-Sud;2022-10-03;G;Saint-Benjamin, m;1;;14A;219;1;3;1;1;62;50;118;1
802;Beauce-Sud;2022-10-03;G;Saint-Benjamin, m;1;;14B;236;4;5;1;2;82;30;124;1
802;Beauce-Sud;2022-10-03;G;Saint-Benjamin, m;1;;15;398;13;9;4;4;95;120;245;0
802;Beauce-Sud;2022-10-03;G;Saint-Simon-les-Mines, m;1;;16;225;4;3;2;3;70;64;146;2
802;Beauce-Sud;2022-10-03;G;Saint-Simon-les-Mines, m;1;;17;233;4;12;0;9;50;67;142;1
802;Beauce-Sud;2022-10-03;G;Notre-Dame-des-Pins, p;1;;18;310;7;8;1;5;66;99;186;5
802;Beauce-Sud;2022-10-03;G;Notre-Dame-des-Pins, p;1;;19;326;7;8;0;6;102;57;180;2
802;Beauce-Sud;2022-10-03;G;Notre-Dame-des-Pins, p;1;;20;344;14;5;2;3;87;84;195;3
802;Beauce-Sud;2022-10-03;G;Notre-Dame-des-Pins, p;1;;21;340;14;6;2;3;90;89;204;10
802;Beauce-Sud;2022-10-03;G;Saint-Philibert, m;1;;22;271;11;8;2;6;103;53;183;3
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;23;418;10;8;2;4;178;85;287;1
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;24;405;3;8;0;5;143;94;253;4
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;25;422;8;4;6;4;142;90;254;3
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;26;411;19;7;3;8;122;104;263;4
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;27A;206;5;2;2;1;59;55;124;0
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;27B;225;3;3;2;2;62;56;128;3
802;Beauce-Sud;2022-10-03;G;Saint-Côme--Linière, m;1;;28;401;2;9;0;9;93;109;222;4
802;Beauce-Sud;2022-10-03;G;Saint-René, p;1;;29;369;12;5;2;1;134;67;221;1
802;Beauce-Sud;2022-10-03;G;Saint-René, p;1;;30;320;8;8;3;3;98;58;178;5
802;Beauce-Sud;2022-10-03;G;Saint-Théophile, m;1;;31;263;4;6;2;2;93;43;150;1
802;Beauce-Sud;2022-10-03;G;Saint-Théophile, m;1;;32;293;2;8;1;8;85;81;185;1
802;Beauce-Sud;2022-10-03;G;Saint-Robert-Bellarmin, m;1;;33;241;16;3;2;5;56;73;155;1
802;Beauce-Sud;2022-10-03;G;Saint-Robert-Bellarmin, m;1;;34;209;10;6;4;6;51;56;133;2
802;Beauce-Sud;2022-10-03;G;Saint-Ludger, m;1;;35;283;15;22;0;12;52;60;161;3
802;Beauce-Sud;2022-10-03;G;Saint-Ludger, m;1;;36;296;14;10;4;3;70;60;161;3
802;Beauce-Sud;2022-10-03;G;Saint-Ludger, m;1;;37;279;6;20;0;5;79;67;177;1
802;Beauce-Sud;2022-10-03;G;Saint-Gédéon-de-Beauce, m;1;;38;356;5;3;1;3;70;48;130;2
802;Beauce-Sud;2022-10-03;G;Saint-Gédéon-de-Beauce, m;1;;39;328;21;2;0;4;72;43;142;1
802;Beauce-Sud;2022-10-03;G;Saint-Gédéon-de-Beauce, m;1;;40;335;23;1;0;2;87;38;151;0
802;Beauce-Sud;2022-10-03;G;Saint-Gédéon-de-Beauce, m;1;;41;310;8;2;1;0;59;44;114;1
802;Beauce-Sud;2022-10-03;G;Saint-Gédéon-de-Beauce, m;1;;42;334;13;6;1;2;66;44;132;1
802;Beauce-Sud;2022-10-03;G;Saint-Martin, p;1;;43;395;7;8;6;0;109;89;219;6
802;Beauce-Sud;2022-10-03;G;Saint-Martin, p;1;;44;388;15;7;0;4;128;87;241;3
802;Beauce-Sud;2022-10-03;G;Saint-Martin, p;1;;45;395;7;9;6;6;106;69;203;1
802;Beauce-Sud;2022-10-03;G;Saint-Martin, p;1;;46;385;7;6;1;7;89;85;195;3
802;Beauce-Sud;2022-10-03;G;Saint-Martin, p;1;;47;377;12;10;2;5;93;95;217;1
802;Beauce-Sud;2022-10-03;G;Saint-Honoré-de-Shenley, m;1;;48;378;3;3;0;11;161;72;250;1
802;Beauce-Sud;2022-10-03;G;Saint-Honoré-de-Shenley, m;1;;49;397;5;4;2;3;158;72;244;3
802;Beauce-Sud;2022-10-03;G;Saint-Honoré-de-Shenley, m;1;;50;393;9;1;4;4;153;54;225;0
802;Beauce-Sud;2022-10-03;G;Saint-Hilaire-de-Dorset, p;1;;51;84;1;3;2;1;21;17;45;0
802;Beauce-Sud;2022-10-03;G;Courcelles, m;1;;52;324;9;13;2;7;78;86;195;3
802;Beauce-Sud;2022-10-03;G;Courcelles, m;1;;53;324;4;16;0;11;78;81;190;1
802;Beauce-Sud;2022-10-03;G;Saint-Évariste-de-Forsyth, m;1;;54A;208;3;2;1;6;72;33;117;1
802;Beauce-Sud;2022-10-03;G;Saint-Évariste-de-Forsyth, m;1;;54B;217;0;11;1;6;70;37;125;1
802;Beauce-Sud;2022-10-03;G;La Guadeloupe, vl;1;;55;301;3;4;0;4;52;39;102;0
802;Beauce-Sud;2022-10-03;G;La Guadeloupe, vl;1;;56;332;8;4;0;3;96;38;149;0
802;Beauce-Sud;2022-10-03;G;La Guadeloupe, vl;1;;57;331;8;4;1;4;97;42;156;5
802;Beauce-Sud;2022-10-03;G;La Guadeloupe, vl;1;;58;313;3;5;0;1;70;45;124;3
802;Beauce-Sud;2022-10-03;G;Saint-Éphrem-de-Beauce, m;1;;59;371;3;13;3;4;122;57;202;1
802;Beauce-Sud;2022-10-03;G;Saint-Éphrem-de-Beauce, m;1;;60;350;11;10;1;5;116;70;213;4
802;Beauce-Sud;2022-10-03;G;Saint-Éphrem-de-Beauce, m;1;;61;355;13;13;2;11;77;78;194;5
802;Beauce-Sud;2022-10-03;G;Saint-Éphrem-de-Beauce, m;1;;62;400;8;7;1;7;152;87;262;5
802;Beauce-Sud;2022-10-03;G;Saint-Éphrem-de-Beauce, m;1;;63;341;4;12;0;2;120;90;228;0
802;Beauce-Sud;2022-10-03;G;Sainte-Clotilde-de-Beauce, m;1;;64;213;1;9;3;5;58;45;121;2
802;Beauce-Sud;2022-10-03;G;Sainte-Clotilde-de-Beauce, m;1;;65;222;4;12;1;9;85;46;157;1
802;Beauce-Sud;2022-10-03;G;Lac-Poulin, vl;1;;66;138;1;1;0;4;26;43;75;2
802;Beauce-Sud;2022-10-03;G;Saint-Benoît-Labre, m;1;;67;425;12;9;2;6;117;102;248;4
802;Beauce-Sud;2022-10-03;G;Saint-Benoît-Labre, m;1;;68A;224;3;14;2;4;64;52;139;3
802;Beauce-Sud;2022-10-03;G;Saint-Benoît-Labre, m;1;;68B;209;6;10;2;0;78;51;147;0
802;Beauce-Sud;2022-10-03;G;Saint-Benoît-Labre, m;1;;69;415;10;11;3;7;145;77;253;4
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;1;;70;359;8;6;2;4;131;81;232;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;1;;71;364;2;7;2;3;93;79;186;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;72A;218;2;7;2;2;42;41;96;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;72B;231;4;6;0;3;37;34;84;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;73;389;5;8;0;3;47;60;123;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;74;374;16;8;1;2;58;65;150;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;75;351;5;3;2;5;66;48;129;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;76;387;5;5;1;12;60;54;137;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;77A;259;10;3;0;3;45;50;111;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;77B;237;5;4;3;3;48;36;99;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;78;399;6;7;1;4;63;75;156;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;79;366;6;8;1;5;64;60;144;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;2;;80;377;3;8;0;2;52;28;93;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;3;;81;339;9;5;2;7;44;46;113;4
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;3;;82;372;9;9;0;5;35;68;126;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;3;;83;325;3;7;0;4;38;32;84;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;3;;84;347;3;4;1;7;56;68;139;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;3;;85;359;8;12;1;5;64;49;139;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;86;379;9;14;2;6;49;51;131;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;87;364;3;3;2;6;66;50;130;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;88;380;10;3;2;2;100;65;182;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;89;397;7;6;1;4;98;62;178;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;90;368;5;3;1;4;63;66;142;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;4;;91;389;13;8;0;4;65;62;152;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;92;348;4;6;1;6;33;45;95;5
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;93;361;8;8;1;0;38;53;108;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;94;382;7;10;4;2;66;64;153;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;95;337;8;11;0;4;46;72;141;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;96;383;10;6;0;6;69;81;172;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;97A;219;8;6;0;5;39;39;97;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;97B;215;5;5;1;1;53;41;106;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;98;368;6;8;1;5;60;79;159;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;99;386;9;5;3;1;92;52;162;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;100;375;8;9;2;4;59;49;131;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;101;369;1;7;2;4;63;56;133;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;5;;102;349;6;9;3;3;38;25;84;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;103;383;8;6;2;1;50;51;118;4
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;104;394;9;1;2;2;72;76;162;5
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;105;392;1;1;0;13;30;76;121;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;106;406;6;4;0;4;101;75;190;3
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;107;409;8;4;2;1;91;50;156;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;108;413;7;4;1;4;112;70;198;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;109;406;14;6;2;3;63;68;156;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;110A;250;7;4;3;3;35;43;95;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;110B;235;3;6;0;5;30;46;90;0
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;111;403;10;12;2;7;69;68;168;2
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;6;;112;396;13;6;6;3;63;61;152;1
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;7;;113;382;3;3;0;4;32;29;71;4
802;Beauce-Sud;2022-10-03;G;Saint-Georges, v;7;;114;410;22;3;1;4;64;42;136;2
