Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bégin François P.L.Q./Q.L.P.;D'Auteuil Sirois Jérôme Q.S.;Fontaine Jean-Daniel P.Q.;Lachance Stéphanie C.A.Q.-E.F.L.;Tardif Michel P.C.Q-E.E.D.;B.V.;B.R.
822;Bellechasse;2022-10-03;G;Saint-Louis-de-Gonzague, m;1;;1;324;8;8;4;103;72;195;6
822;Bellechasse;2022-10-03;G;Saint-Cyprien, p;1;;2A;215;3;3;12;58;43;119;1
822;Bellechasse;2022-10-03;G;Saint-Cyprien, p;1;;2B;223;10;9;12;46;55;132;5
822;Bellechasse;2022-10-03;G;Saint-Camille-de-Lellis, p;1;;3;324;8;9;10;78;77;182;1
822;Bellechasse;2022-10-03;G;Saint-Camille-de-Lellis, p;1;;4;328;8;4;17;83;82;194;5
822;Bellechasse;2022-10-03;G;Sainte-Justine, m;1;;5;343;3;8;12;52;80;155;0
822;Bellechasse;2022-10-03;G;Sainte-Justine, m;1;;6;348;6;7;12;47;71;143;3
822;Bellechasse;2022-10-03;G;Sainte-Justine, m;1;;7;355;5;7;7;58;58;135;2
822;Bellechasse;2022-10-03;G;Sainte-Justine, m;1;;8;346;7;6;7;72;61;153;4
822;Bellechasse;2022-10-03;G;Sainte-Rose-de-Watford, m;1;;9;308;3;11;10;70;78;172;1
822;Bellechasse;2022-10-03;G;Sainte-Rose-de-Watford, m;1;;10;304;6;9;8;78;60;161;3
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;11;413;3;3;30;56;72;164;8
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;12;392;0;7;4;46;65;122;1
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;13;389;9;12;12;50;66;149;1
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;14;390;11;4;15;72;45;147;0
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;15;347;6;6;11;33;42;98;0
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;16;392;7;5;7;45;57;121;5
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;17;408;13;8;11;67;49;148;0
822;Bellechasse;2022-10-03;G;Lac-Etchemin, m;1;;18;389;8;5;20;64;50;147;0
822;Bellechasse;2022-10-03;G;Saint-Luc-de-Bellechasse, m;1;;19;390;6;11;27;95;78;217;3
822;Bellechasse;2022-10-03;G;Sainte-Sabine, p;1;;20;320;10;11;24;101;59;205;3
822;Bellechasse;2022-10-03;G;Saint-Magloire, m;1;;21;310;4;3;14;133;39;193;3
822;Bellechasse;2022-10-03;G;Saint-Magloire, m;1;;22;303;6;5;11;85;45;152;4
822;Bellechasse;2022-10-03;G;Saint-Philémon, p;1;;23;309;10;7;14;86;60;177;4
822;Bellechasse;2022-10-03;G;Saint-Philémon, p;1;;24;281;7;7;11;86;60;171;4
822;Bellechasse;2022-10-03;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;25;333;10;3;15;109;63;200;5
822;Bellechasse;2022-10-03;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;26;319;18;6;15;111;48;198;1
822;Bellechasse;2022-10-03;G;Saint-Nazaire-de-Dorchester, p;1;;27;297;7;10;14;80;88;199;4
822;Bellechasse;2022-10-03;G;Saint-Léon-de-Standon, p;1;;28;312;4;6;11;88;67;176;3
822;Bellechasse;2022-10-03;G;Saint-Léon-de-Standon, p;1;;29;292;3;6;21;85;48;163;2
822;Bellechasse;2022-10-03;G;Saint-Léon-de-Standon, p;1;;30;297;10;11;18;65;78;182;2
822;Bellechasse;2022-10-03;G;Saint-Malachie, p;1;;31;415;9;12;26;65;99;211;8
822;Bellechasse;2022-10-03;G;Saint-Malachie, p;1;;32;422;13;10;18;77;122;240;2
