Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duranceau France-Élaine C.A.Q.-E.F.L.;Fortin Samuel C.Q.;Francoeur Julie Q.S.;Freire Guillaume P.Q.;Meloni Philippe P.C.Q-E.E.D.;Nadeau André P.L.Q./Q.L.P.;Ouellette Marie-Eve P.H.Q.;Steinberger Karine P.V.Q./G.P.Q.;B.V.;B.R.
588;Bertrand;2022-10-03;G;Rawdon, m;1;;1;404;68;2;22;57;24;3;0;4;180;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;2;390;71;0;21;48;15;5;1;0;161;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;3;393;28;0;15;23;22;7;0;2;97;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;4;399;35;2;14;35;19;14;3;4;126;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;5;383;48;0;22;18;26;19;0;2;135;0
588;Bertrand;2022-10-03;G;Rawdon, m;1;;6;388;46;1;17;32;22;20;0;3;141;3
588;Bertrand;2022-10-03;G;Rawdon, m;1;;7;400;50;1;30;34;21;19;0;1;156;3
588;Bertrand;2022-10-03;G;Rawdon, m;1;;8;386;43;1;22;38;25;16;0;7;152;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;9;389;50;0;26;28;24;10;0;1;139;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;10;389;40;1;35;33;26;7;0;3;145;7
588;Bertrand;2022-10-03;G;Rawdon, m;1;;11;389;52;7;18;25;18;14;0;1;135;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;12;404;45;1;27;23;19;2;0;3;120;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;13;393;58;0;28;35;23;10;0;3;157;3
588;Bertrand;2022-10-03;G;Rawdon, m;1;;14;398;42;0;26;25;19;8;2;0;122;5
588;Bertrand;2022-10-03;G;Rawdon, m;1;;15;386;47;0;18;32;25;14;1;6;143;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;16;404;39;2;22;13;18;13;0;4;111;4
588;Bertrand;2022-10-03;G;Rawdon, m;1;;17;383;40;0;23;11;21;10;0;0;105;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;18;398;47;1;27;30;26;15;2;2;150;0
588;Bertrand;2022-10-03;G;Rawdon, m;1;;19;395;70;0;21;25;18;4;0;1;139;1
588;Bertrand;2022-10-03;G;Rawdon, m;1;;20;395;45;0;22;33;24;7;1;1;133;5
588;Bertrand;2022-10-03;G;Rawdon, m;1;;21;392;55;0;11;34;33;1;1;0;135;2
588;Bertrand;2022-10-03;G;Rawdon, m;1;;22;398;54;1;27;38;20;5;0;2;147;6
588;Bertrand;2022-10-03;G;Rawdon, m;1;;23;401;56;0;24;39;32;5;0;1;157;4
