Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Catherine C.A.Q.-E.F.L.;Cyr Christian P.L.Q./Q.L.P.;Cyr Wright Catherine Q.S.;Deschênes Alexis P.Q.;Lauzon Anne-Marie U.F.F.;Rioux Jocelyn C.Q.;Therrien François P.C.Q-E.E.D.;B.V.;B.R.
850;Bonaventure;2022-10-03;G;L'Ascension-de-Patapédia, m;1;;1;139;50;9;4;12;0;0;8;83;3
850;Bonaventure;2022-10-03;G;Saint-François-d'Assise, m;1;;2;297;76;8;12;38;3;1;13;151;2
850;Bonaventure;2022-10-03;G;Saint-François-d'Assise, m;1;;3;311;97;9;12;55;0;0;10;183;3
850;Bonaventure;2022-10-03;G;Saint-Alexis-de-Matapédia, m;1;;4;232;62;16;18;30;0;0;8;134;1
850;Bonaventure;2022-10-03;G;Saint-Alexis-de-Matapédia, m;1;;5;224;79;10;11;30;0;0;4;134;0
850;Bonaventure;2022-10-03;G;Matapédia, m;1;;6;246;69;16;7;26;0;0;9;127;5
850;Bonaventure;2022-10-03;G;Matapédia, m;1;;7;246;37;24;6;30;0;0;17;114;1
850;Bonaventure;2022-10-03;G;Saint-André-de-Restigouche, m;1;;8;130;19;2;1;37;0;0;20;79;0
850;Bonaventure;2022-10-03;G;Ristigouche-Partie-Sud-Est, ct;1;;9;161;35;10;2;15;1;0;19;82;1
850;Bonaventure;2022-10-03;G;Listuguj, r;1;;10;316;3;9;1;0;3;0;1;17;0
850;Bonaventure;2022-10-03;G;Listuguj, r;1;;11;320;2;7;0;3;0;0;0;12;1
850;Bonaventure;2022-10-03;G;Listuguj, r;1;;12;315;0;1;4;6;0;1;0;12;0
850;Bonaventure;2022-10-03;G;Listuguj, r;1;Regr. BVDS-1;13;321;0;0;0;0;0;0;0;0;0
850;Bonaventure;2022-10-03;G;Pointe-à-la-Croix, m;1;;14;360;52;13;8;22;1;2;8;106;4
850;Bonaventure;2022-10-03;G;Pointe-à-la-Croix, m;1;;15;377;83;15;13;12;0;0;15;138;11
850;Bonaventure;2022-10-03;G;Pointe-à-la-Croix, m;1;;16;374;56;10;13;31;2;1;17;130;3
850;Bonaventure;2022-10-03;G;Escuminac, m;1;;17;260;32;21;18;28;0;0;17;116;0
850;Bonaventure;2022-10-03;G;Escuminac, m;2;;18;235;53;23;11;31;1;2;4;125;1
850;Bonaventure;2022-10-03;G;Nouvelle, m;1;;19;377;79;6;23;61;2;0;16;187;4
850;Bonaventure;2022-10-03;G;Nouvelle, m;1;;20;383;69;16;18;62;0;2;12;179;1
850;Bonaventure;2022-10-03;G;Nouvelle, m;1;;21;357;103;10;18;58;0;0;6;195;3
850;Bonaventure;2022-10-03;G;Nouvelle, m;1;;22;378;72;7;16;71;0;1;6;173;1
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;1;;23;371;80;3;21;62;0;3;7;176;1
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;1;;24;362;79;3;24;66;0;1;6;179;4
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;1;;25;375;87;2;30;72;0;1;11;203;3
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;26;385;76;7;14;75;0;0;4;176;3
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;27;405;60;3;21;83;0;0;4;171;0
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;28;380;65;8;16;90;0;0;3;182;2
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;29;395;73;2;11;65;1;0;6;158;2
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;30;412;45;9;22;62;0;0;5;143;0
850;Bonaventure;2022-10-03;G;Carleton-sur-Mer, v;2;;31;389;69;6;21;74;0;0;10;180;1
850;Bonaventure;2022-10-03;G;Maria, m;1;;32;338;65;4;27;90;0;0;8;194;0
850;Bonaventure;2022-10-03;G;Maria, m;1;;33;350;63;4;19;65;1;0;9;161;3
850;Bonaventure;2022-10-03;G;Maria, m;1;;34;352;82;6;22;94;2;1;10;217;0
850;Bonaventure;2022-10-03;G;Maria, m;1;;35;355;78;6;19;66;0;1;7;177;1
850;Bonaventure;2022-10-03;G;Maria, m;1;;36;329;58;3;34;95;0;0;3;193;0
850;Bonaventure;2022-10-03;G;Maria, m;1;;37;345;46;5;27;108;0;0;6;192;1
850;Bonaventure;2022-10-03;G;Gesgapegiag, r;1;Regr. BVDS-1;38;244;0;0;0;0;0;0;0;0;0
