Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charles Eribert P.L.Q./Q.L.P.;Gauthier Stephen D.D.;Jolin-Barrette Simon C.A.Q.-E.F.L.;Landry Benoît Q.S.;Laprise Paule P.Q.;Racicot Jean-Félix P.C.Q-E.E.D.;Thibault-Vincent Thomas P.V.Q./G.P.Q.;Thibodeau Marcel C.Q.;B.V.;B.R.
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;1;388;9;0;105;29;49;22;0;0;214;4
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;2;386;7;0;104;27;42;27;1;0;208;3
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;3A;251;11;0;58;11;7;2;0;0;89;0
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;3B;228;10;0;55;11;19;12;1;1;109;1
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;4;379;11;0;125;11;41;23;1;0;212;0
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;5;378;10;0;114;22;29;16;2;1;194;3
258;Borduas;2022-10-03;G;Saint-Mathieu-de-Beloeil, m;1;;6;396;16;0;110;33;46;17;4;0;226;1
258;Borduas;2022-10-03;G;Beloeil, v;1;;7;383;6;0;82;30;25;17;2;0;162;5
258;Borduas;2022-10-03;G;Beloeil, v;1;;8;385;5;0;109;30;43;9;0;0;196;3
258;Borduas;2022-10-03;G;Beloeil, v;1;;9;372;14;0;67;25;41;10;7;1;165;1
258;Borduas;2022-10-03;G;Beloeil, v;1;;10;384;9;1;76;33;46;9;0;0;174;4
258;Borduas;2022-10-03;G;Beloeil, v;1;;11;383;8;1;100;30;29;7;0;0;175;2
258;Borduas;2022-10-03;G;Beloeil, v;1;;12;408;6;3;94;41;31;21;3;0;199;1
258;Borduas;2022-10-03;G;Beloeil, v;1;;13;384;16;0;84;37;41;17;0;0;195;0
258;Borduas;2022-10-03;G;Beloeil, v;1;;14;416;10;0;77;38;47;12;4;0;188;0
258;Borduas;2022-10-03;G;Beloeil, v;1;;15;379;8;0;55;46;38;9;0;1;157;0
258;Borduas;2022-10-03;G;Beloeil, v;1;;16;409;10;0;77;46;39;13;0;3;188;3
258;Borduas;2022-10-03;G;Beloeil, v;1;;17;409;5;0;57;38;29;10;4;0;143;1
258;Borduas;2022-10-03;G;Beloeil, v;1;;18;374;10;0;55;34;42;6;3;1;151;1
258;Borduas;2022-10-03;G;Beloeil, v;2;;19;424;13;0;55;28;27;12;1;0;136;1
258;Borduas;2022-10-03;G;Beloeil, v;2;;20;399;3;0;80;15;23;10;1;1;133;0
258;Borduas;2022-10-03;G;Beloeil, v;2;;21;399;13;0;86;28;45;26;2;1;201;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;22;401;6;1;99;32;45;14;3;0;200;5
258;Borduas;2022-10-03;G;Beloeil, v;2;;23;374;8;0;71;37;42;18;6;0;182;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;24;407;11;0;63;47;34;14;6;0;175;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;25;372;6;0;73;34;24;12;3;0;152;0
258;Borduas;2022-10-03;G;Beloeil, v;2;;26;388;6;0;89;27;33;11;2;0;168;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;27;392;10;1;98;19;30;17;1;1;177;1
