Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahmed Omar P.V.Q./G.P.Q.;Bessard Carmel-Antoine P.C.Q-E.E.D.;Cadet Madwa-Nika P.L.Q./Q.L.P.;Diallo Absa C.A.Q.-E.F.L.;Gustave Ricardo Q.S.;Lalande McLean Shawn P.A.P.E.;Robitaille Zacharie P.Q.;Toussaint Smaille Ind;B.V.;B.R.
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;278;;1;366;1;8;47;35;38;1;16;0;146;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;278;;2;366;4;18;55;33;28;0;10;0;148;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;278;;3;364;1;12;61;25;24;0;3;1;127;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;279;;4;364;4;7;43;25;27;0;10;0;116;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;279;;5;352;5;9;71;11;46;0;10;0;152;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;279;;6;342;1;6;76;30;15;0;8;0;136;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;279;;7;356;2;18;56;18;36;0;8;0;138;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;279;;8;354;1;23;68;22;36;0;6;1;157;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;280;;9;357;4;13;47;17;37;0;21;0;139;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;280;;10;358;1;12;51;25;20;0;16;1;126;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;280;;11;360;3;20;57;22;30;1;18;1;152;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;280;;12;384;0;11;69;12;40;0;7;1;140;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;280;;13;368;2;17;62;24;26;0;16;0;147;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;281;;14;347;0;12;66;12;38;0;15;0;143;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;281;;15;349;0;12;78;32;24;1;13;0;160;0
