Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boisvert Caroline D.D.;Chahad Sanae C.Q.;Desgagné Marie-Laurence P.Q.;Desnoyers Daniel P.C.Q-E.E.D.;Michaux-St-Louis Vincent Q.S.;Roberge Jean-François C.A.Q.-E.F.L.;Yunes Lina P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;1;396;4;1;43;9;46;96;10;209;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;2;404;0;1;43;18;46;59;18;185;4
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;3;394;1;0;37;19;49;61;23;190;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;4;367;0;0;30;10;40;73;18;171;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;5;388;0;1;31;10;34;79;16;171;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;6;411;1;2;37;10;48;85;23;206;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;7;408;0;6;34;11;56;62;7;176;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;8;376;0;7;31;13;29;63;10;153;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;9;376;0;1;26;17;33;63;12;152;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;1;;10;387;0;2;38;10;31;72;24;177;4
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;11;410;0;2;40;15;27;87;18;189;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;12;387;0;5;50;10;37;66;16;184;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;13;390;0;3;30;14;35;85;12;179;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;14;397;1;2;31;11;42;76;18;181;5
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;15;386;0;0;32;15;43;63;9;162;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;16;393;0;0;45;16;39;78;17;195;1
