Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;LeBel Sonia C.A.Q.-E.F.L.;Leblanc Jérémy P.L.Q./Q.L.P.;Litalien Alexandre P.Q.;Massicotte Steve P.C.Q-E.E.D.;Pinel Bianca Nancy U.F.F.;Trottier Marjolaine Q.S.;B.V.;B.R.
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;1;409;60;7;18;35;3;19;142;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;2;409;73;8;24;31;0;17;153;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;3A;214;50;10;8;14;0;7;89;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;3B;216;25;1;9;12;0;6;53;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;4A;215;47;1;8;11;0;6;73;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;4B;218;45;2;16;15;0;11;89;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;5;398;79;5;24;21;2;13;144;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;6;403;64;9;18;35;2;21;149;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;7;395;77;14;20;31;0;24;166;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;8;400;70;4;16;40;0;25;155;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;9;382;68;4;19;31;0;11;133;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;26;;10;391;63;7;16;35;1;18;140;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;11;345;55;11;15;36;0;16;133;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;12;347;63;5;17;41;1;20;147;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;13;353;55;3;25;33;1;22;139;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;14;349;66;8;24;37;0;14;149;6
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;15;351;53;1;21;32;0;28;135;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;27;;16;349;58;2;17;43;2;14;136;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;17;412;108;14;26;34;3;18;203;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;18;405;84;13;28;27;0;22;174;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;19;399;98;6;24;30;0;23;181;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;20;412;111;6;22;23;0;19;181;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;21;394;101;9;17;20;0;15;162;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;22;405;79;5;12;25;2;16;139;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;23;399;67;6;13;24;0;25;135;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;24A;221;51;3;13;14;0;7;88;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;24B;249;56;7;25;17;0;16;121;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;25;413;86;14;27;28;0;15;170;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;26;398;55;7;26;40;2;16;146;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;27;407;84;15;24;31;0;11;165;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;28;384;81;14;27;24;1;15;162;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;29;392;60;8;23;31;1;19;142;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;30;395;52;15;20;27;2;32;148;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;28;;31;395;61;5;11;22;1;23;123;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;32;410;80;16;27;31;0;28;182;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;33;391;86;9;23;29;0;17;164;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;34;389;81;14;20;19;0;20;154;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;35;382;66;16;30;21;1;22;156;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;36;389;42;10;13;11;1;30;107;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;37;404;75;8;27;29;1;27;167;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;38;386;54;8;26;24;1;25;138;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;39;389;82;7;25;27;1;17;159;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;40;402;88;6;15;17;2;18;146;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;29;;41;350;52;6;18;19;1;22;118;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;42;360;69;5;24;26;2;14;140;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;43;367;88;12;26;26;0;19;171;6
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;44;364;56;7;21;30;0;19;133;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;45;355;69;6;14;27;0;14;130;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;46;347;102;9;19;13;0;9;152;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;47;356;111;9;30;9;0;14;173;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;30;;48;332;67;5;25;17;1;25;140;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;49;355;79;6;20;30;0;30;165;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;50;351;74;6;20;26;1;11;138;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;51;379;59;7;27;24;1;27;145;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;52;377;77;4;17;35;1;18;152;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;53;361;75;7;29;17;0;23;151;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;31;;54;369;88;4;22;25;0;12;151;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;32;;55;337;66;3;23;21;1;14;128;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;32;;56;334;75;5;16;18;1;11;126;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;32;;57;351;66;10;26;33;0;17;152;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;32;;58;326;78;6;16;27;1;19;147;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;32;;59;324;55;4;15;33;0;14;121;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;33;;60;402;73;10;19;32;2;18;154;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;33;;61;408;61;7;18;31;0;16;133;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;33;;62;422;54;7;20;27;1;25;134;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;33;;63;407;48;6;18;23;1;24;120;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;33;;64;416;65;5;16;11;0;15;112;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;34;;65;389;32;4;19;35;5;39;134;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;34;;66;411;77;9;12;27;2;21;148;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;34;;67;391;77;10;27;19;0;16;149;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;34;;68;375;73;7;29;36;2;20;167;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;34;;69;382;64;11;19;22;0;20;136;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;35;;70;393;83;7;25;38;1;23;177;7
676;Champlain;2022-10-03;G;Trois-Rivières, v;35;;71;386;73;5;21;34;2;20;155;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;35;;72;391;44;2;16;35;4;16;117;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;35;;73;412;53;8;18;37;2;29;147;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;35;;74;397;59;2;20;42;0;20;143;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;36;;75;401;63;10;30;30;2;18;153;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;36;;76;381;56;9;11;27;3;23;129;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;36;;77;365;53;5;11;25;0;6;100;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;36;;78;386;71;4;20;24;1;14;134;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;37;;79;328;51;3;18;20;1;11;104;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;37;;80;357;50;5;11;21;1;14;102;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;38;;81;399;59;17;27;18;0;14;135;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;38;;82;377;46;7;16;19;1;15;104;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;39;;83;375;55;7;25;42;0;28;157;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;39;;84;376;62;5;22;41;1;20;151;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;39;;85;363;69;7;19;18;0;15;128;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;39;;86;372;51;9;23;30;0;16;129;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;39;;87;355;51;11;10;31;0;17;120;5
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;88;379;104;4;18;24;0;17;167;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;89;382;76;6;7;26;0;19;134;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;90;384;65;1;17;22;3;16;124;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;91;366;71;7;29;28;1;6;142;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;92;386;56;12;26;33;0;16;143;3
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;93;400;51;7;27;37;1;15;138;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;94;387;84;6;25;28;1;22;166;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;95;387;64;3;20;24;2;14;127;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;96;385;44;5;12;32;1;20;114;4
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;97A;262;45;6;16;28;0;10;105;0
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;97B;263;51;6;25;26;0;19;127;2
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;98;369;72;5;13;33;3;13;139;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;99;382;106;17;12;31;0;14;180;1
676;Champlain;2022-10-03;G;Trois-Rivières, v;40;;100;380;70;4;33;57;1;9;174;2
676;Champlain;2022-10-03;G;Hérouxville, p;1;;101;367;108;5;25;39;1;24;202;0
676;Champlain;2022-10-03;G;Hérouxville, p;1;;102;385;101;9;29;47;1;11;198;5
676;Champlain;2022-10-03;G;Hérouxville, p;1;;103;401;96;5;38;64;0;10;213;5
676;Champlain;2022-10-03;G;Saint-Séverin, p;1;;104;320;100;12;15;53;1;16;197;3
676;Champlain;2022-10-03;G;Saint-Séverin, p;1;;105;334;97;6;37;40;2;10;192;1
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;106A;214;44;3;10;29;0;9;95;1
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;106B;215;45;5;12;9;0;6;77;0
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;107;423;112;10;12;35;2;9;180;3
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;108;418;85;10;12;27;1;14;149;7
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;109;409;118;14;12;42;3;10;199;5
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;110;410;93;8;13;29;2;19;164;1
