Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gutierrez Marisa P.Q.;Kadri Matthieu P.C.Q-E.E.D.;Labrecque-Boivin Sabrina Q.S.;Lévesque Mathieu C.A.Q.-E.F.L.;Meunier Anne-Marie C.Q.;Ndengeyingoma Assumpta P.L.Q./Q.L.P.;Soublière Pierre P.M.L.Q.;B.V.;B.R.
620;Chapleau;2022-10-03;G;Gatineau, v;28;;1;321;14;16;19;51;1;13;2;116;0
620;Chapleau;2022-10-03;G;Gatineau, v;28;;2;326;18;19;20;52;0;12;0;121;2
620;Chapleau;2022-10-03;G;Gatineau, v;28;;3;330;8;10;12;54;1;23;0;108;3
620;Chapleau;2022-10-03;G;Gatineau, v;29;;4;332;15;17;14;42;1;14;0;103;1
620;Chapleau;2022-10-03;G;Gatineau, v;29;;5;333;6;15;19;38;2;16;1;97;2
620;Chapleau;2022-10-03;G;Gatineau, v;29;;6;315;11;12;12;44;0;12;0;91;1
620;Chapleau;2022-10-03;G;Gatineau, v;29;;7;350;12;11;22;58;3;14;0;120;3
620;Chapleau;2022-10-03;G;Gatineau, v;29;;8;332;13;17;21;55;0;9;0;115;0
620;Chapleau;2022-10-03;G;Gatineau, v;30;;9;321;12;9;18;54;1;24;1;119;1
620;Chapleau;2022-10-03;G;Gatineau, v;30;;10;326;14;14;25;56;1;20;2;132;1
620;Chapleau;2022-10-03;G;Gatineau, v;30;;11;316;20;18;21;66;0;25;0;150;3
620;Chapleau;2022-10-03;G;Gatineau, v;30;;12;334;10;15;18;49;0;24;0;116;2
620;Chapleau;2022-10-03;G;Gatineau, v;30;;13;331;9;15;9;48;1;8;3;93;2
620;Chapleau;2022-10-03;G;Gatineau, v;31;;14;355;9;23;12;54;0;7;0;105;0
620;Chapleau;2022-10-03;G;Gatineau, v;31;;15;336;8;13;10;47;0;15;1;94;2
620;Chapleau;2022-10-03;G;Gatineau, v;31;;16;334;8;16;12;41;0;12;0;89;1
620;Chapleau;2022-10-03;G;Gatineau, v;31;;17;363;7;19;20;55;0;13;0;114;2
620;Chapleau;2022-10-03;G;Gatineau, v;32;;18;379;6;14;14;27;0;14;0;75;2
620;Chapleau;2022-10-03;G;Gatineau, v;32;;19;360;8;18;16;39;0;15;1;97;1
620;Chapleau;2022-10-03;G;Gatineau, v;32;;20;365;17;16;18;90;5;13;0;159;2
620;Chapleau;2022-10-03;G;Gatineau, v;32;;21;352;8;16;20;63;2;13;0;122;1
620;Chapleau;2022-10-03;G;Gatineau, v;33;;22;384;11;31;17;58;1;14;0;132;0
620;Chapleau;2022-10-03;G;Gatineau, v;33;;23;384;10;26;27;57;3;6;1;130;3
620;Chapleau;2022-10-03;G;Gatineau, v;33;;24;364;13;10;31;61;2;13;1;131;2
620;Chapleau;2022-10-03;G;Gatineau, v;33;;25;372;14;16;19;43;3;19;0;114;2
620;Chapleau;2022-10-03;G;Gatineau, v;33;;26;368;18;15;29;71;0;21;0;154;0
620;Chapleau;2022-10-03;G;Gatineau, v;33;;27;373;10;23;25;70;5;15;1;149;1
620;Chapleau;2022-10-03;G;Gatineau, v;34;;28;344;11;8;18;65;0;17;2;121;3
620;Chapleau;2022-10-03;G;Gatineau, v;34;;29;369;8;21;21;71;5;16;0;142;1
620;Chapleau;2022-10-03;G;Gatineau, v;34;;30;366;6;8;12;50;2;15;1;94;5
620;Chapleau;2022-10-03;G;Gatineau, v;34;;31;347;9;14;10;76;1;25;0;135;0
620;Chapleau;2022-10-03;G;Gatineau, v;35;;32;337;12;10;10;30;1;14;0;77;2
620;Chapleau;2022-10-03;G;Gatineau, v;35;;33;355;9;11;10;25;0;11;1;67;5
620;Chapleau;2022-10-03;G;Gatineau, v;35;;34;363;7;12;13;31;0;18;0;81;0
620;Chapleau;2022-10-03;G;Gatineau, v;35;;35;343;8;13;14;48;1;11;0;95;0
620;Chapleau;2022-10-03;G;Gatineau, v;36;;36;360;12;19;15;53;0;16;1;116;1
