Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Renaud P.N.;Bouffard-Savoie Nicolas E.A.;Duhaime Éric P.C.Q-E.E.D.;Lepage Christine C.Q.;Lévesque Sylvain C.A.Q.-E.F.L.;Pivovar Igor P.L.Q./Q.L.P.;Riverin Charles-Hubert P.Q.;Ruiz Aragon Jimena Q.S.;B.V.;B.R.
754;Chauveau;2022-10-03;G;Québec, v;112;;1;336;0;0;40;1;58;3;13;25;140;1
754;Chauveau;2022-10-03;G;Québec, v;112;;2;349;0;0;34;1;61;8;13;12;129;3
754;Chauveau;2022-10-03;G;Québec, v;112;;3;330;2;0;48;1;55;3;17;17;143;0
754;Chauveau;2022-10-03;G;Québec, v;112;;4;315;2;0;30;0;85;2;16;20;155;3
754;Chauveau;2022-10-03;G;Québec, v;112;;5;346;2;0;24;2;67;10;16;14;135;6
754;Chauveau;2022-10-03;G;Québec, v;112;;6;330;2;0;32;0;87;6;14;14;155;1
754;Chauveau;2022-10-03;G;Québec, v;113;;7;357;0;1;43;0;41;5;7;22;119;4
754;Chauveau;2022-10-03;G;Québec, v;113;;8;356;0;0;19;0;53;5;11;12;100;1
754;Chauveau;2022-10-03;G;Québec, v;113;;9;333;0;0;33;0;57;3;20;19;132;3
754;Chauveau;2022-10-03;G;Québec, v;113;;10;366;3;0;33;1;36;7;13;10;103;1
754;Chauveau;2022-10-03;G;Québec, v;113;;11;358;0;0;55;1;39;6;8;14;123;2
754;Chauveau;2022-10-03;G;Québec, v;113;;12;338;2;1;36;2;52;5;18;10;126;6
754;Chauveau;2022-10-03;G;Québec, v;113;;13;352;0;0;46;0;10;10;8;20;94;3
754;Chauveau;2022-10-03;G;Québec, v;113;;14;332;1;0;41;1;51;7;8;14;123;3
754;Chauveau;2022-10-03;G;Québec, v;113;;15;340;0;0;50;3;45;12;12;9;131;0
754;Chauveau;2022-10-03;G;Québec, v;114;;16;367;1;0;35;6;66;9;12;13;142;1
754;Chauveau;2022-10-03;G;Québec, v;114;;17;374;0;0;23;3;61;12;16;7;122;2
754;Chauveau;2022-10-03;G;Québec, v;114;;18;375;3;0;48;1;38;10;18;34;152;3
754;Chauveau;2022-10-03;G;Québec, v;114;;19;374;1;0;36;0;48;9;15;18;127;2
754;Chauveau;2022-10-03;G;Québec, v;115;;20;358;2;0;51;0;52;7;7;15;134;2
754;Chauveau;2022-10-03;G;Québec, v;115;;21;380;3;0;44;2;72;9;17;21;168;3
754;Chauveau;2022-10-03;G;Québec, v;115;;22;406;0;0;49;1;65;16;15;20;166;20
754;Chauveau;2022-10-03;G;Québec, v;115;;23;404;2;0;45;0;58;6;13;21;145;3
754;Chauveau;2022-10-03;G;Québec, v;115;;24;388;0;1;47;2;64;4;20;28;166;4
754;Chauveau;2022-10-03;G;Québec, v;115;;25;377;1;0;43;3;59;11;8;12;137;2
754;Chauveau;2022-10-03;G;Québec, v;116;;26;364;0;0;48;2;55;8;26;19;158;3
754;Chauveau;2022-10-03;G;Québec, v;116;;27;376;0;2;55;1;47;9;17;26;157;3
754;Chauveau;2022-10-03;G;Québec, v;116;;28;366;0;1;59;1;51;10;15;9;146;2
754;Chauveau;2022-10-03;G;Québec, v;116;;29;363;2;0;28;1;80;9;19;21;160;0
754;Chauveau;2022-10-03;G;Québec, v;116;;30;374;2;0;40;2;45;4;16;13;122;4
754;Chauveau;2022-10-03;G;Québec, v;116;;31;357;0;0;47;0;73;13;12;18;163;1
754;Chauveau;2022-10-03;G;Québec, v;117;;32;395;0;1;75;0;63;2;20;7;168;3
754;Chauveau;2022-10-03;G;Québec, v;117;;33;395;1;0;59;0;61;8;11;15;155;1
754;Chauveau;2022-10-03;G;Québec, v;117;;34;397;1;0;59;0;53;8;10;8;139;1
754;Chauveau;2022-10-03;G;Québec, v;117;;35;415;0;0;42;1;62;7;19;18;149;3
754;Chauveau;2022-10-03;G;Québec, v;117;;36;396;1;0;47;1;60;11;15;22;157;2
754;Chauveau;2022-10-03;G;Québec, v;117;;37A;234;1;0;20;0;45;0;10;9;85;2
754;Chauveau;2022-10-03;G;Québec, v;117;;37B;236;0;0;17;0;49;1;5;9;81;0
754;Chauveau;2022-10-03;G;Québec, v;117;;38;389;2;0;59;3;53;7;19;21;164;0
754;Chauveau;2022-10-03;G;Québec, v;117;;39;409;1;1;42;0;38;9;17;26;134;5
754;Chauveau;2022-10-03;G;Québec, v;118;;40;388;1;0;58;1;87;7;12;17;183;2
754;Chauveau;2022-10-03;G;Québec, v;118;;41;392;1;1;52;1;80;6;14;18;173;2
754;Chauveau;2022-10-03;G;Québec, v;118;;42;398;2;0;61;2;44;5;11;14;139;4
754;Chauveau;2022-10-03;G;Québec, v;118;;43;379;0;1;47;0;71;5;11;15;150;4
754;Chauveau;2022-10-03;G;Québec, v;118;;44;391;0;0;52;1;70;7;8;23;161;0
754;Chauveau;2022-10-03;G;Québec, v;118;;45;395;4;0;52;0;73;6;9;17;161;0
754;Chauveau;2022-10-03;G;Québec, v;118;;46;380;0;0;39;0;51;4;9;14;117;6
754;Chauveau;2022-10-03;G;Québec, v;118;Regr. BVDS-1;47;406;0;0;0;0;0;0;0;0;0;0
754;Chauveau;2022-10-03;G;Québec, v;118;;48;360;0;1;54;0;86;3;17;9;170;0
754;Chauveau;2022-10-03;G;Québec, v;118;;49;390;0;0;56;1;65;7;14;24;167;1
754;Chauveau;2022-10-03;G;Québec, v;119;;50;378;1;0;52;2;87;7;17;27;193;2
754;Chauveau;2022-10-03;G;Québec, v;119;;51;371;1;0;48;0;85;6;14;13;167;4
754;Chauveau;2022-10-03;G;Québec, v;119;;52;361;1;0;59;0;73;7;23;24;187;0
754;Chauveau;2022-10-03;G;Québec, v;119;;53;352;0;0;49;2;77;4;12;23;167;4
754;Chauveau;2022-10-03;G;Québec, v;119;;54;376;2;0;59;0;68;6;5;9;149;2
754;Chauveau;2022-10-03;G;Québec, v;119;;55;370;3;0;51;1;86;9;17;21;188;4
754;Chauveau;2022-10-03;G;Québec, v;119;;56;367;1;0;57;0;78;2;11;15;164;1
754;Chauveau;2022-10-03;G;Québec, v;119;;57;364;0;0;47;1;73;4;10;15;150;4
754;Chauveau;2022-10-03;G;Québec, v;119;;58;367;1;0;38;0;69;5;6;23;142;4
754;Chauveau;2022-10-03;G;Québec, v;119;;59;364;2;0;33;0;66;9;16;11;137;1
754;Chauveau;2022-10-03;G;Québec, v;120;;60;386;1;0;61;1;77;5;10;26;181;2
754;Chauveau;2022-10-03;G;Québec, v;120;;61;382;0;0;57;0;74;7;10;22;170;2
754;Chauveau;2022-10-03;G;Québec, v;120;;62;362;2;1;39;1;63;3;7;11;127;3
754;Chauveau;2022-10-03;G;Québec, v;120;;63;379;0;0;47;0;47;10;14;13;131;2
754;Chauveau;2022-10-03;G;Québec, v;120;;64;366;1;0;58;1;41;1;7;3;112;2
754;Chauveau;2022-10-03;G;Québec, v;120;;65;371;0;0;35;0;67;7;7;16;132;3
754;Chauveau;2022-10-03;G;Québec, v;120;;66;402;0;0;69;1;59;5;7;15;156;1
754;Chauveau;2022-10-03;G;Québec, v;120;;67;383;1;0;63;1;58;2;5;9;139;4
754;Chauveau;2022-10-03;G;Québec, v;120;;68;384;1;0;55;0;61;6;13;20;156;1
754;Chauveau;2022-10-03;G;Québec, v;120;;69;378;4;0;51;0;59;6;9;8;137;3
754;Chauveau;2022-10-03;G;Québec, v;120;;70;378;4;1;44;1;68;6;9;15;148;2
754;Chauveau;2022-10-03;G;Québec, v;120;;71A;236;1;0;28;0;50;7;3;13;102;0
754;Chauveau;2022-10-03;G;Québec, v;120;;71B;196;3;0;22;1;34;10;1;7;78;3
754;Chauveau;2022-10-03;G;Québec, v;120;;72;376;1;0;45;0;57;12;7;11;133;3
754;Chauveau;2022-10-03;G;Québec, v;121;;73;381;0;0;52;1;52;6;9;20;140;2
754;Chauveau;2022-10-03;G;Québec, v;121;;74A;238;0;0;39;1;32;15;8;26;121;3
754;Chauveau;2022-10-03;G;Québec, v;121;;74B;214;1;0;31;0;41;6;13;10;102;2
754;Chauveau;2022-10-03;G;Québec, v;121;;75;366;2;0;59;1;60;22;18;22;184;3
754;Chauveau;2022-10-03;G;Québec, v;121;;76;351;2;0;54;0;91;15;11;6;179;1
754;Chauveau;2022-10-03;G;Québec, v;121;;77;349;1;0;55;2;59;5;11;13;146;3
754;Chauveau;2022-10-03;G;Québec, v;121;;78;339;0;0;44;1;48;6;11;15;125;3
754;Chauveau;2022-10-03;G;Québec, v;122;;79;366;1;0;55;1;70;2;13;17;159;1
754;Chauveau;2022-10-03;G;Québec, v;122;;80;365;0;0;51;1;61;5;5;14;137;3
754;Chauveau;2022-10-03;G;Québec, v;122;;81;343;1;0;58;0;46;8;12;16;141;4
754;Chauveau;2022-10-03;G;Québec, v;122;;82;370;1;0;45;2;72;4;12;27;163;1
754;Chauveau;2022-10-03;G;Québec, v;122;;83;376;0;0;56;1;71;13;18;9;168;3
754;Chauveau;2022-10-03;G;Québec, v;122;;84;362;0;0;55;1;51;7;15;14;143;4
754;Chauveau;2022-10-03;G;Québec, v;122;;85;358;2;0;68;1;44;6;5;10;136;0
754;Chauveau;2022-10-03;G;Québec, v;123;;86;362;2;0;54;0;61;13;11;19;160;3
754;Chauveau;2022-10-03;G;Québec, v;123;;87;370;0;0;57;1;55;0;12;18;143;5
754;Chauveau;2022-10-03;G;Québec, v;123;;88;376;3;0;40;1;53;12;14;16;139;2
754;Chauveau;2022-10-03;G;Québec, v;123;;89;367;0;0;48;2;50;4;18;15;137;0
754;Chauveau;2022-10-03;G;Québec, v;123;;90;344;2;1;46;0;46;6;14;10;125;2
754;Chauveau;2022-10-03;G;Québec, v;123;;91;355;0;0;35;1;56;4;19;22;137;2
754;Chauveau;2022-10-03;G;Québec, v;123;;92;347;2;0;56;0;51;7;13;21;150;1
754;Chauveau;2022-10-03;G;Québec, v;124;;93;367;1;0;51;2;69;5;17;16;161;1
754;Chauveau;2022-10-03;G;Québec, v;124;;94;353;0;0;82;2;64;6;2;13;169;3
754;Chauveau;2022-10-03;G;Québec, v;124;;95;362;1;0;39;1;59;10;15;17;142;3
754;Chauveau;2022-10-03;G;Québec, v;124;;96;367;3;0;61;1;55;3;11;12;146;1
754;Chauveau;2022-10-03;G;Québec, v;124;;97;377;1;0;65;1;62;4;10;12;155;1
754;Chauveau;2022-10-03;G;Québec, v;124;;98;349;3;0;58;1;80;2;14;12;170;0
754;Chauveau;2022-10-03;G;Québec, v;125;;99;403;2;2;56;0;81;4;9;13;167;5
754;Chauveau;2022-10-03;G;Québec, v;125;;100;407;3;1;67;1;73;3;6;14;168;3
754;Chauveau;2022-10-03;G;Québec, v;125;;101;401;2;0;62;1;85;5;9;10;174;5
