Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Biron Martine C.A.Q.-E.F.L.;Brault François-Noël P.Q.;Fortier Mario P.C.Q-E.E.D.;Oueslati Wafa P.L.Q./Q.L.P.;Thibault Caroline Q.S.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;1;368;58;25;49;11;16;159;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;2;377;60;22;35;8;21;146;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;3;373;64;21;50;7;17;159;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;4;372;60;23;58;17;21;179;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;5;383;72;21;57;11;21;182;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;6;365;55;18;44;6;15;138;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;7;384;51;17;63;4;7;142;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;1;;8;376;26;9;58;5;4;102;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;9;403;63;17;56;2;10;148;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;10;408;66;21;58;7;25;177;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;11;402;74;16;54;14;20;178;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;12;395;89;23;59;14;25;210;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;13;399;83;16;50;15;17;181;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;14;395;82;28;44;15;12;181;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;15;393;65;24;51;5;17;162;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;16;398;89;29;53;10;27;208;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;17;387;83;22;37;10;34;186;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;2;;18;392;117;23;30;10;37;217;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;19;388;77;14;58;12;17;178;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;20;378;52;19;54;10;19;154;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;21;380;65;26;76;8;22;197;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;22;392;54;19;71;14;31;189;2
