Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Sylvain E.A.;Dufour Guillaume Q.S.;Forget Michel P.Q.;Lemieux Sylvain P.L.Q./Q.L.P.;Poulin Frédéric P.C.Q-E.E.D.;Rivest Mathieu C.A.Q.-E.F.L.;B.V.;B.R.
826;Côte-du-Sud;2022-10-03;G;Berthier-sur-Mer, m;1;;1;355;0;14;31;8;42;98;193;2
826;Côte-du-Sud;2022-10-03;G;Berthier-sur-Mer, m;1;;2;362;1;21;28;12;54;106;222;2
826;Côte-du-Sud;2022-10-03;G;Berthier-sur-Mer, m;1;;3;362;0;28;42;8;33;92;203;4
826;Côte-du-Sud;2022-10-03;G;Berthier-sur-Mer, m;1;;4;359;1;26;30;11;59;92;219;5
826;Côte-du-Sud;2022-10-03;G;Saint-François-de-la-Rivière-du-Sud, m;1;;5;397;1;13;18;9;45;121;207;3
826;Côte-du-Sud;2022-10-03;G;Saint-François-de-la-Rivière-du-Sud, m;1;;6;403;3;21;21;9;87;104;245;5
826;Côte-du-Sud;2022-10-03;G;Saint-François-de-la-Rivière-du-Sud, m;1;;7;394;0;12;22;13;94;86;227;3
826;Côte-du-Sud;2022-10-03;G;Saint-Pierre-de-la-Rivière-du-Sud, p;1;;8;347;0;9;26;11;81;82;209;2
826;Côte-du-Sud;2022-10-03;G;Saint-Pierre-de-la-Rivière-du-Sud, p;1;;9;351;1;18;9;10;65;115;218;4
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;10;366;0;11;17;7;32;79;146;4
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;11;378;0;13;18;5;40;93;169;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;12;377;1;9;11;15;46;87;169;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;13;368;0;14;13;8;71;67;173;4
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;14;379;3;13;19;5;43;75;158;2
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;1;;15;361;0;4;15;9;47;43;118;2
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;16;368;0;6;13;5;19;50;93;2
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;17;381;1;22;14;6;29;53;125;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;18;382;1;20;14;3;32;57;127;3
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;19;387;0;16;11;4;32;76;139;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;20;382;0;10;19;8;48;56;141;2
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;21;388;1;2;12;3;53;44;115;0
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;2;;22;381;0;8;22;5;58;60;153;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;23;386;1;12;18;8;58;71;168;3
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;24;360;0;10;20;6;27;59;122;3
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;25;350;5;8;9;7;23;46;98;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;26;368;0;14;16;11;31;63;135;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;27;359;0;15;9;7;40;51;122;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;28;374;1;13;12;6;25;64;121;1
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;29;365;3;9;15;8;25;69;129;3
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;30;371;1;18;26;6;26;85;162;3
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;31;379;0;9;19;11;45;59;143;0
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;32;360;2;12;17;8;30;67;136;0
826;Côte-du-Sud;2022-10-03;G;Montmagny, v;3;;33;373;1;14;26;7;36;82;166;3
826;Côte-du-Sud;2022-10-03;G;Notre-Dame-du-Rosaire, m;1;;34;337;0;12;28;5;67;111;223;2
826;Côte-du-Sud;2022-10-03;G;Sainte-Euphémie-sur-Rivière-du-Sud, m;1;;35;308;2;15;26;4;45;99;191;3
