Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Debellefeuille Joel B.M.-E.B.H.;Feigenbaum Bonnie P.C.Q-E.E.D.;Johnston Diane P.M.L.Q.;Lafontaine Renée-Claude P.Q.;Leblanc Junlian C.A.Q.-E.F.L.;Perez Marc P.C.Q./C.P.Q;Pilavci Hilal Q.S.;Prass Elisabeth P.L.Q./Q.L.P.;Seck Moussa P.V.Q./G.P.Q.;B.V.;B.R.
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;1;;1;385;2;39;3;1;7;8;3;71;2;136;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;1;;2;392;8;61;2;0;6;17;6;88;4;192;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;1;;3;381;4;49;0;1;7;5;7;79;2;154;2
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;1;;4;384;10;50;0;0;3;13;2;78;0;156;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;1;;5;395;11;54;0;0;12;14;2;73;3;169;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;2;;6;417;4;60;0;1;6;4;2;75;0;152;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;2;;7;367;2;36;1;0;9;8;3;57;1;117;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;2;;8;404;1;67;0;3;9;6;5;91;2;184;3
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;2;;9;405;3;46;0;3;7;8;6;62;3;138;3
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;10;389;3;26;1;3;5;11;14;72;4;139;2
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;11;416;12;31;1;1;4;13;8;104;10;184;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;12;387;5;24;0;2;4;12;8;81;6;142;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;13;358;2;36;0;1;7;11;12;71;3;143;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;14;388;3;40;2;1;7;3;10;55;2;123;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;15;400;2;76;1;3;7;7;10;64;4;174;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;16;383;3;23;2;0;1;9;6;71;4;119;2
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;3;;17;367;0;41;3;0;3;7;5;65;2;126;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;18;351;0;69;0;0;5;11;1;70;2;158;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;19;382;5;70;0;0;2;13;3;47;2;142;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;20;383;1;48;0;1;11;5;4;48;3;121;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;21;422;2;38;0;2;16;1;4;43;2;108;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;22;375;0;62;0;1;10;13;3;62;1;152;1
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;23;370;4;45;0;0;3;11;1;62;2;128;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;24;389;6;74;0;1;0;20;2;81;4;188;0
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;25;361;0;43;0;1;9;10;3;56;0;122;2
320;D'Arcy-McGee;2022-10-03;G;Côte-Saint-Luc, v;4;;26;390;5;42;0;1;6;10;2;49;2;117;2
