Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Marc P.L.Q./Q.L.P.;Baril Isabelle P.C.Q-E.E.D.;Charette Benoît C.A.Q.-E.F.L.;Côté Olivier Q.S.;Courteau Hélèna C.Q.;Dubois-Massey Dominique U.F.F.;Lalonde Guillaume P.Q.;Tagodoe Amavi P.V.Q./G.P.Q.;B.V.;B.R.
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;1;375;19;17;49;33;1;1;27;0;147;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;2;376;24;15;58;37;0;0;28;1;163;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;3;349;28;30;42;31;0;0;25;2;158;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;4;390;39;20;66;26;0;0;17;7;175;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;5;366;25;14;56;27;0;0;31;6;159;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;1;;6;355;19;10;70;16;1;0;29;3;148;4
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;7;400;34;18;55;40;1;0;36;7;191;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;8;371;20;27;52;41;0;1;32;5;178;0
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;9;401;37;21;40;49;0;0;23;5;175;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;10;366;37;24;43;30;1;0;20;4;159;5
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;11A;204;13;8;31;19;0;0;16;1;88;0
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;11B;237;11;12;30;24;0;0;16;3;96;0
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;2;;12;381;37;22;49;51;0;0;34;6;199;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;13;390;28;25;51;43;2;0;23;1;173;5
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;14;402;28;18;65;42;0;0;28;3;184;4
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;15;422;35;12;65;34;2;0;37;1;186;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;16;417;27;21;66;32;3;1;27;2;179;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;17;381;9;14;52;45;4;0;37;5;166;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;18;366;22;10;48;38;2;1;37;3;161;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;19;418;15;25;72;29;0;0;27;5;173;5
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;20;389;29;27;74;42;2;0;22;0;196;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;21;382;29;14;62;29;0;0;31;1;166;0
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;3;;22;408;47;27;62;30;1;1;31;1;200;3
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;23;351;26;27;33;30;0;0;17;2;135;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;24;346;31;18;41;14;0;0;16;1;121;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;25;354;20;18;40;17;0;1;33;2;131;6
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;26;356;23;25;52;49;0;1;22;1;173;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;27;339;35;18;56;24;0;0;33;4;170;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;4;;28;372;24;7;57;16;3;1;27;1;136;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;29A;224;13;5;25;21;0;0;9;1;74;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;29B;233;9;17;30;18;0;0;15;2;91;6
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;30;371;16;16;66;29;1;0;24;2;154;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;31;371;20;20;43;32;1;0;23;3;142;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;32;385;35;24;42;30;3;0;30;2;166;1
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;33;394;32;25;45;31;1;0;24;0;158;2
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;34;357;21;22;38;24;0;0;21;0;126;4
508;Deux-Montagnes;2022-10-03;G;Deux-Montagnes, v;5;;35;362;19;24;47;22;3;1;22;1;139;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;36;401;15;16;74;33;0;0;46;1;185;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;37;388;11;26;67;22;3;3;34;0;166;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;38;408;13;14;58;24;0;0;29;0;138;8
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;39;401;10;31;67;30;3;0;24;0;165;6
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;40;416;15;12;74;44;0;0;34;0;179;7
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;1;;41;378;6;15;58;26;0;1;23;2;131;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;42;353;5;10;42;30;0;1;23;2;113;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;43;386;9;15;48;35;2;0;28;1;138;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;44;357;16;12;50;19;0;1;28;2;128;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;45;375;12;8;63;20;1;0;32;0;136;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;46A;225;1;12;62;4;0;0;17;1;97;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;2;;46B;212;5;15;51;19;0;1;10;2;103;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;3;;47;357;15;20;68;22;0;0;21;0;146;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;3;;48;365;23;27;67;22;0;0;20;4;163;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;3;;49;374;7;15;74;17;0;0;18;3;134;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;3;;50;359;15;16;85;27;3;1;29;2;178;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;51;355;22;19;55;28;1;0;35;4;164;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;52;323;12;20;54;33;0;2;25;1;147;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;53;333;8;18;38;23;0;1;19;0;107;2
