Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchesne Marco P.V.Q./G.P.Q.;Cournoyer Myriam P.C.Q-E.E.D.;Couture-Picard Emrick P.Q.;Martel Tony Q.S.;Poirier Pierre P.L.Q./Q.L.P.;Schneeberger Sébastien C.A.Q.-E.F.L.;Therion Steve E.A.;B.V.;B.R.
138;Drummond-Bois-Francs;2022-10-03;G;Saints-Martyrs-Canadiens, p;1;;1;216;0;23;13;8;9;42;0;95;2
138;Drummond-Bois-Francs;2022-10-03;G;Ham-Nord, ct;1;;2;340;1;58;45;13;6;32;2;157;2
138;Drummond-Bois-Francs;2022-10-03;G;Ham-Nord, ct;1;;3;341;2;35;46;12;3;41;1;140;4
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-de-Ham, m;1;;4;335;4;39;44;35;7;67;1;197;7
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Hélène-de-Chester, m;1;;5;324;4;75;36;28;8;64;0;215;3
138;Drummond-Bois-Francs;2022-10-03;G;Chesterville, m;1;;6;339;1;50;38;17;3;107;0;216;1
138;Drummond-Bois-Francs;2022-10-03;G;Chesterville, m;1;;7;330;1;50;34;18;9;65;0;177;4
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Rémi-de-Tingwick, m;1;;8;411;2;51;55;17;3;131;0;259;3
138;Drummond-Bois-Francs;2022-10-03;G;Tingwick, m;1;;9;379;1;57;43;15;5;64;0;185;1
138;Drummond-Bois-Francs;2022-10-03;G;Tingwick, m;1;;10;372;5;50;32;31;12;78;1;209;6
138;Drummond-Bois-Francs;2022-10-03;G;Tingwick, m;1;;11;365;4;41;26;27;0;80;0;178;7
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;12;394;2;38;31;30;5;80;0;186;1
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;13;404;1;55;21;10;10;84;0;181;3
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;14;402;1;54;14;18;6;71;1;165;3
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;15;402;2;51;27;10;4;90;1;185;7
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;16;404;1;46;14;31;8;69;0;169;4
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;17;401;1;44;24;14;1;68;0;152;5
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;18;402;1;33;22;26;7;71;0;160;3
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;19;390;1;56;22;17;3;86;0;185;2
138;Drummond-Bois-Francs;2022-10-03;G;Warwick, v;1;;20;391;1;62;20;14;6;80;0;183;1
138;Drummond-Bois-Francs;2022-10-03;G;Kingsey Falls, v;1;;21;388;1;56;27;24;4;107;1;220;4
138;Drummond-Bois-Francs;2022-10-03;G;Kingsey Falls, v;1;;22;382;0;41;36;38;10;116;2;243;3
138;Drummond-Bois-Francs;2022-10-03;G;Kingsey Falls, v;1;;23;386;4;39;37;22;9;99;2;212;2
138;Drummond-Bois-Francs;2022-10-03;G;Kingsey Falls, v;1;;24;386;1;33;30;31;8;124;0;227;0
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Félix-de-Kingsey, m;1;;25;401;5;62;35;18;10;120;0;250;3
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Félix-de-Kingsey, m;1;;26;404;4;38;29;32;7;129;2;241;5
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Félix-de-Kingsey, m;1;;27;398;1;63;34;21;7;106;4;236;7
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Séraphine, p;1;;28;305;3;56;17;15;6;85;1;183;7
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Élizabeth-de-Warwick, m;1;;29;279;3;57;22;14;11;63;1;171;1
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Albert, m;1;;30;323;4;60;17;8;15;66;1;171;2
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Albert, m;1;;31;321;1;75;21;18;3;87;0;205;5
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Albert, m;1;;32;314;2;85;13;15;4;56;4;179;4
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Albert, m;1;;33;322;2;53;22;14;6;85;1;183;5
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Samuel, m;1;;34;320;2;56;21;21;14;76;1;191;7
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Samuel, m;1;;35;317;9;58;22;10;2;81;0;182;8
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Clotilde-de-Horton, m;1;;36;422;11;70;33;20;13;100;4;251;3
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Clotilde-de-Horton, m;1;;37;426;2;51;32;5;7;94;0;191;3
138;Drummond-Bois-Francs;2022-10-03;G;Sainte-Clotilde-de-Horton, m;1;;38;414;5;52;23;24;3;97;4;208;5
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Lucien, m;1;;39;381;2;37;27;32;9;99;0;206;2
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Lucien, m;1;;40;372;2;50;27;24;3;83;0;189;2
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Lucien, m;1;;41;368;2;57;36;23;4;69;1;192;2
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Lucien, m;1;;42;371;4;35;40;23;1;77;0;180;4
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;43;369;2;44;28;16;5;90;1;186;2
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;44;380;4;49;31;17;3;104;2;210;3
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;45;382;0;30;24;25;7;97;0;183;5
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;46;376;2;23;18;27;6;86;0;162;6
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;47;372;3;32;42;17;3;84;1;182;4
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;48;365;5;54;24;14;6;86;0;189;3
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;49;363;5;32;27;27;8;87;1;187;10
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;50;378;4;41;24;20;5;98;0;192;0
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;51;375;0;35;33;28;7;91;2;196;7
138;Drummond-Bois-Francs;2022-10-03;G;Saint-Cyrille-de-Wendover, m;1;;52;385;2;44;18;13;12;94;0;183;4
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, p;1;;53;353;2;39;19;21;6;83;1;171;9
