Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champagne Jourdain Kateri C.A.Q.-E.F.L.;Gélineau Jacques C.Q.;Khuon Chamroeun P.L.Q./Q.L.P.;Mestokosho Uapukun Q.S.;Stea Roberto P.C.Q-E.E.D.;Vanier Marilou P.Q.;B.V.;B.R.
902;Duplessis;2022-10-03;G;L'Île-d'Anticosti, m;1;;1;164;42;1;1;15;1;17;77;2
902;Duplessis;2022-10-03;G;Blanc-Sablon, m;1;;2;303;14;3;27;3;18;2;67;2
902;Duplessis;2022-10-03;G;Blanc-Sablon, m;1;;3;300;21;3;13;11;14;8;70;1
902;Duplessis;2022-10-03;G;Blanc-Sablon, m;1;;4;299;20;2;13;6;11;5;57;0
902;Duplessis;2022-10-03;G;Bonne-Espérance, m;1;;5;256;3;1;18;3;4;0;29;0
902;Duplessis;2022-10-03;G;Bonne-Espérance, m;2;;6;382;4;2;33;2;5;2;48;1
902;Duplessis;2022-10-03;G;Saint-Augustin, m;1;;7;424;9;1;39;0;5;1;55;2
902;Duplessis;2022-10-03;G;Pakuashipi, ei;1;;8;192;1;0;0;12;0;2;15;1
902;Duplessis;2022-10-03;G;Gros-Mécatina, m;1;;9;77;1;0;11;1;4;0;17;0
902;Duplessis;2022-10-03;G;Gros-Mécatina, m;2;;10;280;5;0;24;0;8;2;39;3
902;Duplessis;2022-10-03;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;Regr. BVDS-1;11;111;0;0;0;0;0;0;0;0
902;Duplessis;2022-10-03;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;2;Regr. BVO-16;12;80;0;0;0;0;0;0;0;0
902;Duplessis;2022-10-03;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;3;;13;188;14;0;27;3;9;1;54;0
902;Duplessis;2022-10-03;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;4;;14;177;3;0;48;1;1;5;58;0
902;Duplessis;2022-10-03;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;5;;15;122;22;1;0;3;0;12;38;2
902;Duplessis;2022-10-03;G;La Romaine, r;1;;16;249;7;1;5;18;3;8;42;2
902;Duplessis;2022-10-03;G;La Romaine, r;1;;17;266;10;0;1;6;6;6;29;0
902;Duplessis;2022-10-03;G;Nutashkuan, r;1;Regr. BVDS-1;18;308;0;0;0;0;0;0;0;0
