Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonnier Viger Yv Q.S.;Bouchard Pier-Luc P.C.Q-E.E.D.;Marin Michel P.L.Q./Q.L.P.;Perry Mélançon Méganne P.Q.;Sainte-Croix Stéphane C.A.Q.-E.F.L.;B.V.;B.R.
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;1;308;6;15;8;34;48;111;1
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;2;286;1;8;3;22;33;67;0
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;3;312;11;3;3;41;32;90;1
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;4;295;9;4;1;40;44;98;2
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;5;301;17;7;6;43;35;108;0
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;6;290;4;13;4;25;24;70;3
854;Gaspé;2022-10-03;G;Cap-Chat, v;1;;7;307;8;8;3;38;46;103;0
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;8;344;12;7;10;38;44;111;3
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;9;345;11;8;19;22;46;106;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;10;338;15;9;14;37;39;114;2
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;11;347;18;7;5;49;35;114;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;12;354;17;9;9;41;39;115;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;13;369;8;2;8;41;46;105;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;14;351;9;11;11;38;30;99;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;15;326;14;7;9;26;26;82;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;16;346;10;6;8;29;46;99;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;17;346;12;7;7;45;55;126;2
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;18;342;8;7;8;28;47;98;2
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;1;;19;364;13;8;11;45;42;119;5
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;2;;20;335;11;7;4;26;55;103;1
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;2;;21;334;8;13;3;41;45;110;4
854;Gaspé;2022-10-03;G;Sainte-Anne-des-Monts, v;2;;22;315;20;4;6;32;40;102;2
