Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Avalos Laura Q.S.;Bussière Robert C.A.Q.-E.F.L.;Déry Raphaël P.Q.;Dupuis Robert D.D.;Green Caryl P.L.Q./Q.L.P.;Jammal Joëlle P.C.Q-E.E.D.;Velasquez Danilo P.C.Q./C.P.Q;B.V.;B.R.
614;Gatineau;2022-10-03;G;La Pêche, m;1;;1;355;12;85;13;0;27;34;2;173;1
614;Gatineau;2022-10-03;G;La Pêche, m;2;;2;287;5;67;10;0;18;16;0;116;1
614;Gatineau;2022-10-03;G;La Pêche, m;2;;3;290;5;49;5;0;16;18;2;95;0
614;Gatineau;2022-10-03;G;La Pêche, m;3;;4;377;20;91;12;0;15;18;0;156;1
614;Gatineau;2022-10-03;G;La Pêche, m;3;;5;402;13;108;4;0;40;18;1;184;3
614;Gatineau;2022-10-03;G;La Pêche, m;3;;6;387;17;79;18;0;23;17;0;154;2
614;Gatineau;2022-10-03;G;La Pêche, m;3;;7;397;11;76;7;1;18;16;3;132;0
614;Gatineau;2022-10-03;G;La Pêche, m;3;;8;394;12;73;9;0;13;15;0;122;2
614;Gatineau;2022-10-03;G;La Pêche, m;3;;9;415;17;36;8;1;67;19;5;153;2
614;Gatineau;2022-10-03;G;La Pêche, m;4;;10;362;25;26;2;1;72;15;3;144;2
614;Gatineau;2022-10-03;G;La Pêche, m;4;;11;347;22;36;5;0;68;19;4;154;4
614;Gatineau;2022-10-03;G;La Pêche, m;4;;12;354;26;11;2;1;89;18;8;155;2
614;Gatineau;2022-10-03;G;La Pêche, m;5;;13;345;11;9;7;1;102;22;8;160;1
614;Gatineau;2022-10-03;G;La Pêche, m;5;;14;348;13;42;9;0;48;24;2;138;0
614;Gatineau;2022-10-03;G;La Pêche, m;5;;15;365;12;26;3;0;85;27;4;157;1
614;Gatineau;2022-10-03;G;La Pêche, m;5;;16;377;26;27;5;0;90;17;8;173;1
614;Gatineau;2022-10-03;G;La Pêche, m;5;;17;387;19;12;7;1;115;15;9;178;3
614;Gatineau;2022-10-03;G;La Pêche, m;5;;18;357;22;9;1;0;120;25;1;178;1
614;Gatineau;2022-10-03;G;Chelsea, m;1;;19;286;16;41;3;2;47;19;2;130;2
614;Gatineau;2022-10-03;G;Chelsea, m;1;;20;297;23;26;12;0;55;15;10;141;1
614;Gatineau;2022-10-03;G;Chelsea, m;1;;21;283;15;25;4;0;86;11;2;143;0
614;Gatineau;2022-10-03;G;Chelsea, m;2;;22;424;19;15;2;0;122;11;2;171;2
614;Gatineau;2022-10-03;G;Chelsea, m;2;;23;394;31;13;7;0;96;20;7;174;0
614;Gatineau;2022-10-03;G;Chelsea, m;2;;24;404;37;15;12;0;107;11;3;185;1
614;Gatineau;2022-10-03;G;Chelsea, m;2;;25;419;19;26;9;1;106;10;3;174;3
614;Gatineau;2022-10-03;G;Chelsea, m;2;;26;419;17;48;10;0;100;15;1;191;0
614;Gatineau;2022-10-03;G;Chelsea, m;3;;27;260;18;16;2;0;67;9;4;116;0
614;Gatineau;2022-10-03;G;Chelsea, m;3;;28;250;19;33;4;0;37;10;1;104;1
614;Gatineau;2022-10-03;G;Chelsea, m;3;;29;261;20;22;8;0;46;4;1;101;1
614;Gatineau;2022-10-03;G;Chelsea, m;4;;30A;306;16;25;9;0;60;5;0;115;3
614;Gatineau;2022-10-03;G;Chelsea, m;4;;30B;341;23;28;4;0;91;16;3;165;1
614;Gatineau;2022-10-03;G;Chelsea, m;4;;31;422;25;43;12;0;53;20;1;154;0
614;Gatineau;2022-10-03;G;Chelsea, m;4;;32;339;13;44;4;0;58;16;1;136;1
614;Gatineau;2022-10-03;G;Chelsea, m;4;;33;337;20;44;4;0;33;12;0;113;2
614;Gatineau;2022-10-03;G;Chelsea, m;4;;34;329;23;21;5;0;67;16;3;135;0
614;Gatineau;2022-10-03;G;Cantley, m;1;;35;355;14;54;8;0;28;38;1;143;1
614;Gatineau;2022-10-03;G;Cantley, m;1;;36;359;22;46;12;0;26;18;0;124;5
614;Gatineau;2022-10-03;G;Cantley, m;1;;37;377;21;56;24;0;20;16;0;137;2
614;Gatineau;2022-10-03;G;Cantley, m;1;;38;364;24;44;28;0;31;35;0;162;0
614;Gatineau;2022-10-03;G;Cantley, m;1;;39;352;14;61;11;0;19;30;3;138;4
614;Gatineau;2022-10-03;G;Cantley, m;1;;40;357;17;47;17;0;28;11;3;123;0
614;Gatineau;2022-10-03;G;Cantley, m;1;;41;393;24;78;17;0;26;19;0;164;1
614;Gatineau;2022-10-03;G;Cantley, m;1;;42;381;18;52;17;0;24;13;1;125;0
614;Gatineau;2022-10-03;G;Cantley, m;1;;43;401;30;51;16;0;43;11;1;152;2
614;Gatineau;2022-10-03;G;Cantley, m;1;;44;372;40;38;16;0;43;14;4;155;3
614;Gatineau;2022-10-03;G;Cantley, m;1;;45;365;16;38;9;0;30;36;0;129;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;46A;226;12;49;8;0;12;15;0;96;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;46B;232;12;34;5;0;8;12;1;72;0
614;Gatineau;2022-10-03;G;Cantley, m;2;;47A;219;15;45;7;0;11;11;0;89;0
614;Gatineau;2022-10-03;G;Cantley, m;2;;47B;219;9;44;7;0;12;16;1;89;0
614;Gatineau;2022-10-03;G;Cantley, m;2;;48;421;26;85;19;1;24;26;0;181;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;49A;231;14;33;9;0;9;11;0;76;0
614;Gatineau;2022-10-03;G;Cantley, m;2;;49B;206;13;37;10;0;8;8;3;79;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;50;410;30;79;22;0;12;21;1;165;3
614;Gatineau;2022-10-03;G;Cantley, m;2;;51;422;33;102;19;1;31;19;1;206;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;52;421;45;81;19;0;28;27;0;200;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;53;398;27;69;19;0;37;14;3;169;1
614;Gatineau;2022-10-03;G;Cantley, m;2;;54;429;27;89;17;1;24;23;1;182;2
614;Gatineau;2022-10-03;G;Cantley, m;2;;55;407;18;85;12;0;17;23;1;156;2
614;Gatineau;2022-10-03;G;Gatineau, v;23;;56;405;33;75;15;0;16;18;0;157;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;57;412;24;63;22;0;29;12;0;150;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;58;394;22;100;12;1;25;9;0;169;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;59;415;26;66;18;0;36;11;1;158;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;60;411;30;76;18;0;26;8;0;158;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;61;402;20;65;24;0;17;14;1;141;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;62;419;36;71;21;0;23;11;0;162;2
614;Gatineau;2022-10-03;G;Gatineau, v;23;;63A;240;13;39;6;0;17;9;0;84;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;63B;217;13;38;8;0;13;6;0;78;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;64;418;23;45;17;1;23;15;0;124;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;65;401;31;53;21;0;24;7;0;136;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;66;401;29;55;46;0;19;8;0;157;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;67;410;11;71;25;0;18;5;0;130;0
614;Gatineau;2022-10-03;G;Gatineau, v;23;;68;411;34;69;23;0;27;8;0;161;1
614;Gatineau;2022-10-03;G;Gatineau, v;23;;69;406;31;52;28;0;53;14;1;179;3
614;Gatineau;2022-10-03;G;Gatineau, v;23;;70;406;33;59;10;1;38;6;4;151;0
614;Gatineau;2022-10-03;G;Gatineau, v;24;;71;399;14;50;16;1;42;15;0;138;1
614;Gatineau;2022-10-03;G;Gatineau, v;24;;72;410;33;69;26;0;44;20;2;194;3
614;Gatineau;2022-10-03;G;Gatineau, v;24;;73;377;19;78;19;0;45;9;0;170;2
614;Gatineau;2022-10-03;G;Gatineau, v;24;;74;397;24;72;19;0;44;12;0;171;2
614;Gatineau;2022-10-03;G;Gatineau, v;24;;75;398;37;68;16;1;39;10;1;172;1
614;Gatineau;2022-10-03;G;Gatineau, v;24;;76;385;36;61;29;0;25;14;2;167;1
614;Gatineau;2022-10-03;G;Gatineau, v;24;;77;413;26;61;15;0;35;15;0;152;6
614;Gatineau;2022-10-03;G;Gatineau, v;24;;78;391;16;57;19;1;48;20;0;161;1
614;Gatineau;2022-10-03;G;Gatineau, v;25;;79;391;18;61;13;0;31;14;1;138;2
614;Gatineau;2022-10-03;G;Gatineau, v;25;;80;377;34;65;24;0;31;14;1;169;1
614;Gatineau;2022-10-03;G;Gatineau, v;25;;81;369;32;88;27;2;24;14;1;188;1
614;Gatineau;2022-10-03;G;Gatineau, v;25;;82;365;25;77;11;0;16;17;0;146;2
614;Gatineau;2022-10-03;G;Gatineau, v;25;;83;351;19;51;13;0;14;33;1;131;2
614;Gatineau;2022-10-03;G;Gatineau, v;25;;84;367;18;80;6;0;19;23;0;146;5
614;Gatineau;2022-10-03;G;Gatineau, v;25;;85;379;17;49;10;1;10;32;0;119;2
614;Gatineau;2022-10-03;G;Gatineau, v;25;;86;369;16;64;17;0;18;12;1;128;1
614;Gatineau;2022-10-03;G;Gatineau, v;25;;87;376;25;72;18;0;11;14;0;140;3
614;Gatineau;2022-10-03;G;Gatineau, v;26;;88;414;19;89;19;1;19;10;0;157;4
614;Gatineau;2022-10-03;G;Gatineau, v;26;;89;390;16;60;15;0;25;18;0;134;2
614;Gatineau;2022-10-03;G;Gatineau, v;26;;90;408;18;61;22;0;10;21;0;132;0
614;Gatineau;2022-10-03;G;Gatineau, v;26;;91;391;22;68;8;0;23;21;0;142;3
614;Gatineau;2022-10-03;G;Gatineau, v;26;;92;424;23;64;28;1;14;26;0;156;6
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;93;400;18;58;14;0;7;32;0;129;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;94;415;18;59;7;1;25;40;0;150;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;95A;213;10;49;17;0;12;10;0;98;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;95B;217;14;47;10;0;7;20;2;100;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;96;411;28;57;18;0;26;29;2;160;0
