Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Delorme Vincent P.Q.;Garneau-Bédard Jean-Benoit P.N.;Ikhouane Rita P.L.Q./Q.L.P.;Nadeau-Dubois Gabriel Q.S.;Paquette Gendron Jayson P.C.Q-E.E.D.;Pelletier Catherine C.A.Q.-E.F.L.;Thémis Chef P.Cu.Q.;Vedrines Valérie P.V.Q./G.P.Q.;B.V.;B.R.
346;Gouin;2022-10-03;G;Montréal, v;189;;1;321;8;0;34;79;6;8;1;7;143;1
346;Gouin;2022-10-03;G;Montréal, v;189;;2;350;7;0;32;85;8;13;0;7;152;1
346;Gouin;2022-10-03;G;Montréal, v;189;;3;345;17;0;34;92;2;8;0;3;156;2
346;Gouin;2022-10-03;G;Montréal, v;189;;4;352;12;2;22;71;7;19;4;7;144;1
346;Gouin;2022-10-03;G;Montréal, v;189;;5;334;9;1;31;77;9;17;2;2;148;0
346;Gouin;2022-10-03;G;Montréal, v;189;;6;365;16;1;20;73;16;15;2;5;148;1
346;Gouin;2022-10-03;G;Montréal, v;189;;7;353;7;2;34;82;12;15;0;12;164;1
346;Gouin;2022-10-03;G;Montréal, v;189;;8;362;22;1;17;68;10;19;3;7;147;3
346;Gouin;2022-10-03;G;Montréal, v;189;;9;326;11;1;26;53;8;14;2;1;116;4
346;Gouin;2022-10-03;G;Montréal, v;189;;10;352;13;0;21;94;4;5;0;7;144;4
346;Gouin;2022-10-03;G;Montréal, v;190;;11;380;15;2;34;57;6;32;1;3;150;2
346;Gouin;2022-10-03;G;Montréal, v;190;;12;330;19;0;18;93;5;15;4;3;157;1
346;Gouin;2022-10-03;G;Montréal, v;190;;13;375;21;0;18;78;11;29;3;7;167;3
346;Gouin;2022-10-03;G;Montréal, v;190;;14;352;22;2;14;84;5;16;2;4;149;2
346;Gouin;2022-10-03;G;Montréal, v;190;;15;384;18;2;17;84;7;29;0;8;165;2
346;Gouin;2022-10-03;G;Montréal, v;190;;16;372;23;0;10;85;10;8;1;2;139;1
346;Gouin;2022-10-03;G;Montréal, v;190;;17;344;12;1;22;72;6;9;0;5;127;2
346;Gouin;2022-10-03;G;Montréal, v;191;;18;329;18;0;15;98;2;7;1;5;146;1
346;Gouin;2022-10-03;G;Montréal, v;191;;19;337;17;0;14;87;5;22;1;6;152;0
346;Gouin;2022-10-03;G;Montréal, v;191;;20;324;7;0;26;81;7;13;3;5;142;0
346;Gouin;2022-10-03;G;Montréal, v;191;;21;363;10;1;20;75;11;12;0;3;132;5
346;Gouin;2022-10-03;G;Montréal, v;191;;22;317;13;0;11;74;6;8;1;5;118;2
346;Gouin;2022-10-03;G;Montréal, v;191;;23;350;16;0;20;61;12;10;0;8;127;2
346;Gouin;2022-10-03;G;Montréal, v;191;;24;358;15;0;20;115;5;10;1;3;169;4
346;Gouin;2022-10-03;G;Montréal, v;192;;25;334;16;0;26;65;10;5;2;9;133;1
346;Gouin;2022-10-03;G;Montréal, v;192;;26;308;9;0;11;87;4;7;1;2;121;1
346;Gouin;2022-10-03;G;Montréal, v;192;;27;310;22;0;7;97;4;27;3;6;166;0
346;Gouin;2022-10-03;G;Montréal, v;192;;28;344;20;1;14;91;9;11;1;5;152;4
346;Gouin;2022-10-03;G;Montréal, v;193;;29;396;8;0;18;114;2;3;0;3;148;1
346;Gouin;2022-10-03;G;Montréal, v;193;;30;392;18;0;15;103;6;19;1;6;168;6
346;Gouin;2022-10-03;G;Montréal, v;193;;31;386;30;1;16;118;6;18;1;2;192;2
346;Gouin;2022-10-03;G;Montréal, v;193;;32;375;31;1;13;127;5;25;0;3;205;4
346;Gouin;2022-10-03;G;Montréal, v;193;;33;386;27;0;16;124;9;16;1;6;199;5
346;Gouin;2022-10-03;G;Montréal, v;193;;34;370;23;0;16;95;3;19;1;6;163;0
346;Gouin;2022-10-03;G;Montréal, v;193;;35;384;24;0;22;69;7;20;1;3;146;0
346;Gouin;2022-10-03;G;Montréal, v;194;;36;376;28;0;20;107;2;13;1;1;172;3
346;Gouin;2022-10-03;G;Montréal, v;194;;37;371;13;1;15;98;2;19;3;4;155;0
346;Gouin;2022-10-03;G;Montréal, v;194;;38;371;14;0;14;66;3;15;0;6;118;1
346;Gouin;2022-10-03;G;Montréal, v;194;;39;352;12;0;8;77;3;14;4;2;120;1
346;Gouin;2022-10-03;G;Montréal, v;194;;40;382;11;1;14;86;0;22;3;5;142;2
346;Gouin;2022-10-03;G;Montréal, v;194;;41;356;17;0;10;82;8;8;0;9;134;3
346;Gouin;2022-10-03;G;Montréal, v;194;;42;391;24;1;17;105;7;10;4;1;169;1
346;Gouin;2022-10-03;G;Montréal, v;194;;43;367;21;0;25;119;0;25;0;6;196;3
346;Gouin;2022-10-03;G;Montréal, v;194;;44;377;27;0;12;122;10;15;2;5;193;5
346;Gouin;2022-10-03;G;Montréal, v;194;;45;418;14;1;19;97;9;20;2;5;167;1
346;Gouin;2022-10-03;G;Montréal, v;195;;46;340;15;3;21;70;2;15;3;1;130;3
346;Gouin;2022-10-03;G;Montréal, v;195;;47;340;11;0;5;84;3;13;1;3;120;0
346;Gouin;2022-10-03;G;Montréal, v;195;;48;366;24;2;9;109;8;26;3;5;186;4
346;Gouin;2022-10-03;G;Montréal, v;195;;49;349;16;1;15;112;2;9;3;6;164;1
346;Gouin;2022-10-03;G;Montréal, v;195;;50;349;19;0;8;81;4;8;1;4;125;1
346;Gouin;2022-10-03;G;Montréal, v;195;;51;319;16;0;8;91;4;12;0;6;137;1
346;Gouin;2022-10-03;G;Montréal, v;196;;52;341;22;0;14;80;7;13;2;6;144;3
346;Gouin;2022-10-03;G;Montréal, v;196;;53;381;27;1;14;83;4;20;3;3;155;0
346;Gouin;2022-10-03;G;Montréal, v;196;;54;364;23;0;14;74;11;14;2;3;141;0
346;Gouin;2022-10-03;G;Montréal, v;196;;55;378;29;2;13;96;4;27;3;5;179;0
346;Gouin;2022-10-03;G;Montréal, v;196;;56;329;16;0;10;94;5;17;0;2;144;2
346;Gouin;2022-10-03;G;Montréal, v;196;;57;383;14;0;10;98;3;11;2;6;144;0
346;Gouin;2022-10-03;G;Montréal, v;196;;58;334;18;0;19;84;8;11;3;2;145;0
346;Gouin;2022-10-03;G;Montréal, v;196;;59;375;10;0;14;105;6;17;1;2;155;4
346;Gouin;2022-10-03;G;Montréal, v;197;;60;330;19;0;15;72;2;8;1;3;120;0
346;Gouin;2022-10-03;G;Montréal, v;197;;61;340;16;1;7;98;4;8;1;0;135;1
346;Gouin;2022-10-03;G;Montréal, v;197;;62;354;24;1;15;105;1;9;0;4;159;2
346;Gouin;2022-10-03;G;Montréal, v;197;;63;323;8;0;17;66;6;12;1;3;113;2
346;Gouin;2022-10-03;G;Montréal, v;197;;64;386;17;1;28;93;9;18;1;6;173;1
346;Gouin;2022-10-03;G;Montréal, v;197;;65;347;23;0;26;76;4;26;1;8;164;1
346;Gouin;2022-10-03;G;Montréal, v;197;;66;323;15;2;19;62;2;12;2;3;117;0
346;Gouin;2022-10-03;G;Montréal, v;197;;67;343;19;0;4;89;5;25;2;3;147;1
346;Gouin;2022-10-03;G;Montréal, v;197;;68;352;25;1;12;96;3;19;1;5;162;2
346;Gouin;2022-10-03;G;Montréal, v;197;;69;354;27;2;7;115;4;11;0;2;168;0
346;Gouin;2022-10-03;G;Montréal, v;198;;70;367;15;0;4;134;4;20;1;2;180;3
346;Gouin;2022-10-03;G;Montréal, v;198;;71;370;15;0;16;93;5;19;2;2;152;1
346;Gouin;2022-10-03;G;Montréal, v;198;;72;431;19;1;12;115;12;22;0;1;182;4
346;Gouin;2022-10-03;G;Montréal, v;198;;73;415;30;0;16;87;2;41;1;4;181;2
346;Gouin;2022-10-03;G;Montréal, v;198;;74;385;28;0;18;116;5;26;0;5;198;2
346;Gouin;2022-10-03;G;Montréal, v;198;;75;378;14;2;10;114;4;18;2;5;169;0
346;Gouin;2022-10-03;G;Montréal, v;198;;76;373;21;0;12;110;9;19;0;4;175;1
346;Gouin;2022-10-03;G;Montréal, v;198;;77;385;30;0;15;122;5;27;2;8;209;1
346;Gouin;2022-10-03;G;Montréal, v;199;;78;345;12;0;23;81;5;22;1;7;151;0
346;Gouin;2022-10-03;G;Montréal, v;199;;79;345;14;0;20;88;6;17;1;2;148;3
346;Gouin;2022-10-03;G;Montréal, v;199;;80;326;19;0;22;60;11;38;1;3;154;0
346;Gouin;2022-10-03;G;Montréal, v;199;;81;341;15;0;20;87;6;26;3;2;159;3
346;Gouin;2022-10-03;G;Montréal, v;199;;82;370;21;0;32;105;7;32;1;3;201;4
346;Gouin;2022-10-03;G;Montréal, v;199;;83;347;23;0;20;114;8;21;2;3;191;1
346;Gouin;2022-10-03;G;Montréal, v;199;;84;337;19;1;18;89;1;22;2;3;155;0
346;Gouin;2022-10-03;G;Montréal, v;199;;85;347;26;0;21;82;8;24;2;2;165;2
346;Gouin;2022-10-03;G;Montréal, v;200;;86;354;33;1;23;90;6;17;3;5;178;1
