Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chouchene Wejden P.V.Q./G.P.Q.;Dandenault Christine P.M.L.Q.;Fogaing Stephan P.Q.;Leduc Alexandre Q.S.;McCann Rebecca C.A.Q.-E.F.L.;Poudrier Louise P.C.Q-E.E.D.;Strayer James C.Q.;Tchetmi Line Flore P.L.Q./Q.L.P.;B.V.;B.R.
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;1;409;5;0;26;64;26;3;2;11;137;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;2;400;1;0;23;59;21;7;1;25;137;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;3;396;1;0;27;62;17;15;1;26;149;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;4;403;0;1;19;66;42;10;1;8;147;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;5;400;3;1;19;95;21;11;0;10;160;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;6;397;1;0;21;85;21;14;0;16;158;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;7;406;1;0;21;96;14;4;0;18;154;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;8;393;4;0;25;65;19;5;0;9;127;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;9;398;7;0;15;74;17;7;0;17;137;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;10;406;3;2;10;70;18;6;1;8;118;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;11;391;2;0;23;33;23;3;0;38;122;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;12;397;2;0;21;72;8;14;0;19;136;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;13;400;3;0;26;72;16;10;0;12;139;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;14;405;5;0;26;53;23;2;1;24;134;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;326;;15;408;5;2;14;69;16;9;2;19;136;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;327;;16;358;2;0;27;22;66;4;2;24;147;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;327;;17;344;3;0;24;34;77;7;0;13;158;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;327;;18;339;1;0;25;29;64;6;0;19;144;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;328;;19;340;2;0;19;40;30;15;3;8;117;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;328;;20;365;3;3;22;95;14;8;2;9;156;6
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;328;;21;349;4;0;16;92;19;7;0;7;145;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;328;;22;353;2;1;15;82;23;6;0;25;154;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;328;;23;354;4;1;26;80;40;4;2;14;171;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;24;365;7;0;23;89;24;7;3;11;164;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;25;372;1;1;29;108;17;5;1;9;171;7
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;26;366;3;2;19;78;90;6;0;15;213;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;27;378;3;1;15;72;20;8;2;28;149;7
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;28;325;4;0;26;53;37;12;1;12;145;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;29;367;2;0;26;93;29;11;0;11;172;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;30;365;4;0;28;99;22;9;0;9;171;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;31;355;2;0;18;87;20;12;0;8;147;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;32;378;3;0;34;103;29;4;1;4;178;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;33;382;2;2;23;78;34;10;0;24;173;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;34;370;1;2;23;110;18;8;0;6;168;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;35;347;5;0;27;90;28;10;1;7;168;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;329;;36;370;2;0;16;116;13;14;1;6;168;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;37;386;1;0;27;130;40;9;2;5;214;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;38;393;0;1;27;98;31;2;0;13;172;5
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;39;396;1;0;32;87;21;13;0;12;166;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;40;411;3;0;23;105;35;7;0;19;192;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;41;390;4;0;21;110;18;2;0;6;161;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;42;396;6;0;35;91;25;4;0;10;171;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;43;410;4;1;28;94;14;9;1;10;161;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;44;395;1;0;19;85;30;11;1;12;159;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;45;387;1;1;25;99;27;9;0;9;171;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;46;380;3;0;34;90;32;9;0;15;183;6
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;330;;47;387;8;1;36;103;20;4;2;25;199;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;48;379;0;1;33;81;36;6;1;12;170;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;49;362;4;0;18;84;29;6;0;16;157;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;50;369;2;1;31;83;23;6;1;17;164;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;51;376;1;0;25;71;24;6;0;24;151;5
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;52;364;2;1;23;74;18;4;1;10;133;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;53;376;2;1;15;86;24;4;0;12;144;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;54;365;0;1;31;72;14;9;2;8;137;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;331;;55;349;1;0;19;72;19;8;0;23;142;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;56;384;2;0;11;57;23;10;0;19;122;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;57;379;1;0;25;55;20;8;0;9;118;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;58;380;3;0;29;86;17;8;0;15;158;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;59;374;5;0;27;66;25;8;0;8;139;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;60;383;2;1;16;63;12;6;1;9;110;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;61;388;2;0;25;76;38;4;1;14;160;5
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;62;360;3;0;21;72;23;9;0;13;141;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;63;371;4;1;25;60;40;8;1;20;159;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;64;363;5;0;17;70;20;8;2;8;130;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;65;380;1;1;17;66;23;11;2;18;139;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;66;361;1;1;18;77;17;5;0;11;130;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;67;361;4;0;21;84;23;14;1;7;154;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;332;;68;377;1;0;17;82;21;8;0;2;131;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;69;406;3;2;26;87;26;11;0;9;164;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;70;415;4;0;19;101;18;10;0;5;157;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;71;406;0;1;17;84;15;5;0;11;133;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;72;396;4;0;28;89;21;4;0;15;161;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;73;394;1;1;21;79;33;4;2;8;149;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;74;397;1;1;23;55;49;6;0;9;144;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;75;401;0;1;36;77;24;17;0;9;164;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;76;427;6;0;22;56;16;9;0;11;120;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;77;404;3;0;28;68;37;9;1;13;159;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;78;408;3;1;29;99;29;4;2;19;186;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;333;;79;410;1;0;31;97;22;7;0;6;164;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;80;346;2;0;15;60;16;5;0;6;104;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;81;361;3;2;33;79;15;4;0;2;138;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;82;350;1;0;28;89;17;7;0;6;148;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;83;350;1;0;23;92;21;6;0;3;146;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;84;358;5;2;21;71;19;6;1;10;135;3
