Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Martino Julie C.A.Q.-E.F.L.;Forget Marie-Josée Q.S.;Manfredi Giovanni P.C.Q./C.P.Q;Massey Laurence P.Q.;Rotiroti Filomena P.L.Q./Q.L.P.;Saad Chakib P.C.Q-E.E.D.;Szilagyi Alessandra P.V.Q./G.P.Q.;B.V.;B.R.
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;1;369;19;14;4;14;96;18;3;168;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;2;373;18;19;5;8;119;30;2;201;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;3;361;20;13;3;4;107;27;1;175;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;4;347;20;8;5;3;104;13;5;158;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;5;360;30;20;2;10;97;22;3;184;4
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;6;351;23;17;3;4;95;24;4;170;1
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;7;369;9;2;9;0;117;13;1;151;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;8;369;15;24;5;6;88;20;0;158;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;9;348;16;13;8;3;76;19;2;137;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;10;346;11;9;7;3;117;22;3;172;2
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;299;;11;362;16;9;2;3;99;27;0;156;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;12;370;9;24;3;7;86;21;0;150;5
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;13;371;24;15;4;3;101;15;1;163;6
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;14;386;8;27;0;2;90;21;5;153;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;15;376;15;12;3;8;104;26;3;171;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;16;373;29;10;3;3;100;22;2;169;0
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;17;357;14;25;7;3;98;20;0;167;3
364;Jeanne-Mance-Viger;2022-10-03;G;Montréal, v;300;;18;389;12;15;2;3;96;30;0;158;7
