Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Crispin Diana Mélissa P.L.Q./Q.L.P.;Laurin Pascal P.C.Q-E.E.D.;St-Louis François C.A.Q.-E.F.L.;Trudel Flavie Q.S.;Venne Véronique P.Q.;B.V.;B.R.
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;1;383;4;14;62;23;50;153;1
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;2;377;4;33;58;34;42;171;3
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;3;382;3;20;67;20;39;149;6
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;4;349;5;11;55;13;30;114;3
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;5;364;1;14;70;26;59;170;2
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;6;365;2;20;67;16;41;146;0
570;Joliette;2022-10-03;G;Sainte-Mélanie, m;1;;7;367;5;37;56;25;56;179;6
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;8;343;1;14;59;16;47;137;5
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;9;368;0;24;51;20;66;161;2
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;10;375;4;37;50;17;59;167;7
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;11;381;2;19;63;15;63;162;1
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;12;409;5;12;58;19;57;151;4
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;13A;205;1;23;60;20;71;175;5
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;Regr. BVDS-1;13B;230;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;14;344;1;20;54;15;39;129;0
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;15;349;3;25;58;15;70;171;3
570;Joliette;2022-10-03;G;Saint-Ambroise-de-Kildare, m;1;;16;356;2;16;75;27;48;168;4
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;17;408;4;39;79;18;58;198;1
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;18;405;2;42;45;23;59;171;8
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;19;411;1;24;80;17;64;186;5
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;20;410;6;27;74;25;73;205;4
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;21;410;4;33;72;30;53;192;8
570;Joliette;2022-10-03;G;Notre-Dame-de-Lourdes, m;1;;22;400;5;27;74;20;56;182;5
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;23;360;1;17;59;18;63;158;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;24;340;3;10;53;14;44;124;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;25;344;3;17;65;29;55;169;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;26;371;2;12;65;27;44;150;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;27;357;2;12;57;13;49;133;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;28;360;2;4;66;18;45;135;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;29;339;2;11;67;7;53;140;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;30;341;1;20;60;20;52;153;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;1;;31;332;3;10;42;5;45;105;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;32;395;2;12;32;21;38;105;0
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;33;386;5;16;40;15;75;151;5
