Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Line P.N.;Champagne Isabelle P.C.Q-E.E.D.;Dubé Caroline P.Q.;Gagnon Yannick C.A.Q.-E.F.L.;Garcia Martinez Karla Cynthia Q.S.;Solon Wilda P.L.Q./Q.L.P.;B.V.;B.R.
922;Jonquière;2022-10-03;G;Saguenay, v;1;;1;423;3;36;48;128;19;1;235;2
922;Jonquière;2022-10-03;G;Saguenay, v;1;;2;390;3;19;32;114;9;6;183;4
922;Jonquière;2022-10-03;G;Saguenay, v;1;;3;389;0;20;35;114;9;5;183;2
922;Jonquière;2022-10-03;G;Saguenay, v;1;;4;372;1;19;29;81;16;7;153;4
922;Jonquière;2022-10-03;G;Saguenay, v;1;;5;386;1;15;26;127;24;7;200;1
922;Jonquière;2022-10-03;G;Saguenay, v;1;;6;380;1;7;36;106;18;4;172;18
922;Jonquière;2022-10-03;G;Saguenay, v;1;;7;374;0;18;29;119;14;1;181;2
922;Jonquière;2022-10-03;G;Saguenay, v;1;;8;387;1;11;32;118;18;1;181;1
922;Jonquière;2022-10-03;G;Saguenay, v;2;;9;398;1;20;46;124;20;1;212;1
922;Jonquière;2022-10-03;G;Saguenay, v;2;;10;374;0;11;36;100;14;3;164;1
922;Jonquière;2022-10-03;G;Saguenay, v;2;;11;378;3;23;39;105;15;3;188;4
922;Jonquière;2022-10-03;G;Saguenay, v;2;;12;382;0;25;42;82;24;0;173;2
922;Jonquière;2022-10-03;G;Saguenay, v;2;;13;387;2;19;35;105;14;5;180;3
922;Jonquière;2022-10-03;G;Saguenay, v;2;;14;378;0;35;34;78;17;3;167;0
922;Jonquière;2022-10-03;G;Saguenay, v;2;;15;404;1;8;38;82;19;10;158;3
922;Jonquière;2022-10-03;G;Saguenay, v;3;;16;380;1;13;25;80;10;3;132;3
922;Jonquière;2022-10-03;G;Saguenay, v;3;;17;387;5;13;41;114;21;4;198;3
922;Jonquière;2022-10-03;G;Saguenay, v;3;;18;391;0;24;40;116;23;5;208;0
922;Jonquière;2022-10-03;G;Saguenay, v;3;;19;407;6;25;42;145;21;1;240;5
922;Jonquière;2022-10-03;G;Saguenay, v;3;;20;366;4;26;25;90;14;4;163;3
922;Jonquière;2022-10-03;G;Saguenay, v;3;;21;391;1;28;32;115;25;4;205;5
922;Jonquière;2022-10-03;G;Saguenay, v;4;;22;372;1;21;43;93;19;4;181;2
