Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bacchi Loredana C.A.Q.-E.F.L.;B-Godbout Anne Q.S.;Brunet Quinn P.V.Q./G.P.Q.;Madih Yassir P.C.Q-E.E.D.;Tanguay Marc P.L.Q./Q.L.P.;Vermette-Tassoni Shawn P.Q.;B.V.;B.R.
390;LaFontaine;2022-10-03;G;Montréal, v;375;;1;388;43;27;4;19;57;18;168;1
390;LaFontaine;2022-10-03;G;Montréal, v;375;;2;403;35;29;1;14;38;15;132;1
390;LaFontaine;2022-10-03;G;Montréal, v;375;;3;392;28;18;0;14;81;10;151;1
390;LaFontaine;2022-10-03;G;Montréal, v;376;;4;366;15;11;0;10;80;6;122;5
390;LaFontaine;2022-10-03;G;Montréal, v;376;;5;381;1;13;4;22;73;0;113;2
390;LaFontaine;2022-10-03;G;Montréal, v;376;;6;372;20;10;0;10;61;1;102;0
390;LaFontaine;2022-10-03;G;Montréal, v;376;;7;365;21;14;2;20;45;2;104;5
390;LaFontaine;2022-10-03;G;Montréal, v;376;;8;368;10;15;1;6;75;1;108;0
390;LaFontaine;2022-10-03;G;Montréal, v;376;;9;366;14;10;1;19;77;2;123;0
390;LaFontaine;2022-10-03;G;Montréal, v;376;;10;382;18;9;0;23;65;3;118;1
390;LaFontaine;2022-10-03;G;Montréal, v;377;;11;388;28;7;2;18;104;5;164;0
390;LaFontaine;2022-10-03;G;Montréal, v;377;;12;392;22;11;3;31;96;6;169;3
390;LaFontaine;2022-10-03;G;Montréal, v;377;;13;387;14;8;2;22;111;1;158;1
390;LaFontaine;2022-10-03;G;Montréal, v;377;;14;397;16;13;5;22;129;2;187;0
390;LaFontaine;2022-10-03;G;Montréal, v;377;;15;384;20;9;2;30;78;3;142;2
390;LaFontaine;2022-10-03;G;Montréal, v;377;;16;390;22;5;2;35;113;1;178;2
390;LaFontaine;2022-10-03;G;Montréal, v;377;;17;393;13;14;1;9;88;6;131;3
390;LaFontaine;2022-10-03;G;Montréal, v;377;;18;406;21;20;1;17;72;7;138;1
390;LaFontaine;2022-10-03;G;Montréal, v;378;;19;370;13;8;1;14;94;4;134;5
390;LaFontaine;2022-10-03;G;Montréal, v;378;;20;372;23;18;3;24;73;3;144;4
390;LaFontaine;2022-10-03;G;Montréal, v;378;;21;374;25;8;3;25;68;4;133;2
390;LaFontaine;2022-10-03;G;Montréal, v;378;;22;374;18;24;4;12;67;13;138;2
390;LaFontaine;2022-10-03;G;Montréal, v;378;;23;363;17;17;1;22;57;5;119;3
390;LaFontaine;2022-10-03;G;Montréal, v;378;;24;365;28;32;1;11;71;6;149;0
390;LaFontaine;2022-10-03;G;Montréal, v;378;;25;377;25;14;0;19;67;7;132;0
390;LaFontaine;2022-10-03;G;Montréal, v;378;;26;366;8;9;1;30;125;6;179;1
390;LaFontaine;2022-10-03;G;Montréal, v;379;;27;374;11;17;1;21;78;6;134;0
390;LaFontaine;2022-10-03;G;Montréal, v;379;;28;363;17;2;3;32;86;7;147;2
390;LaFontaine;2022-10-03;G;Montréal, v;379;;29;368;14;22;3;17;95;9;160;4
390;LaFontaine;2022-10-03;G;Montréal, v;379;;30;383;32;14;3;5;76;12;142;3
390;LaFontaine;2022-10-03;G;Montréal, v;379;;31;385;34;14;0;29;131;8;216;4
390;LaFontaine;2022-10-03;G;Montréal, v;379;;32;387;27;16;0;23;122;6;194;4
390;LaFontaine;2022-10-03;G;Montréal, v;379;;33;369;20;21;2;15;105;13;176;5
390;LaFontaine;2022-10-03;G;Montréal, v;379;;34;391;18;24;1;25;100;1;169;2
390;LaFontaine;2022-10-03;G;Montréal, v;379;;35;383;25;12;2;14;67;12;132;5
390;LaFontaine;2022-10-03;G;Montréal, v;380;;36;363;15;22;1;7;74;4;123;4
390;LaFontaine;2022-10-03;G;Montréal, v;380;;37;370;24;10;0;25;80;3;142;4
390;LaFontaine;2022-10-03;G;Montréal, v;380;;38;379;41;30;3;27;77;15;193;3
390;LaFontaine;2022-10-03;G;Montréal, v;380;;39;368;40;22;4;33;81;10;190;3
390;LaFontaine;2022-10-03;G;Montréal, v;380;;40;373;11;9;2;28;102;13;165;2
390;LaFontaine;2022-10-03;G;Montréal, v;380;;41;378;29;17;1;39;112;5;203;0
390;LaFontaine;2022-10-03;G;Montréal, v;380;;42;386;28;21;2;32;76;5;164;2
390;LaFontaine;2022-10-03;G;Montréal, v;380;;43;376;13;13;2;23;119;6;176;1
390;LaFontaine;2022-10-03;G;Montréal, v;381;;44;385;25;11;2;29;113;6;186;3
390;LaFontaine;2022-10-03;G;Montréal, v;381;;45;389;22;4;1;26;154;1;208;3
390;LaFontaine;2022-10-03;G;Montréal, v;381;;46;386;14;11;1;25;100;1;152;3
390;LaFontaine;2022-10-03;G;Montréal, v;381;;47;385;14;12;3;25;98;4;156;14
390;LaFontaine;2022-10-03;G;Montréal, v;381;;48;386;19;11;0;36;106;4;176;3
390;LaFontaine;2022-10-03;G;Montréal, v;381;;49;390;24;7;3;32;109;4;179;1
390;LaFontaine;2022-10-03;G;Montréal, v;381;;50;372;22;8;4;26;103;3;166;3
390;LaFontaine;2022-10-03;G;Montréal, v;381;;51;372;9;5;2;31;127;0;174;2
390;LaFontaine;2022-10-03;G;Montréal, v;382;;52;370;12;8;0;31;100;4;155;1
390;LaFontaine;2022-10-03;G;Montréal, v;382;;53;357;22;15;4;22;45;4;112;3
390;LaFontaine;2022-10-03;G;Montréal, v;382;;54;373;22;26;4;11;82;8;153;0
390;LaFontaine;2022-10-03;G;Montréal, v;382;;55;372;19;14;4;29;101;5;172;6
390;LaFontaine;2022-10-03;G;Montréal, v;383;;56;378;7;2;2;42;138;0;191;1
390;LaFontaine;2022-10-03;G;Montréal, v;383;;57;363;11;6;0;24;86;1;128;0
390;LaFontaine;2022-10-03;G;Montréal, v;383;;58;379;20;20;1;19;85;6;151;1
390;LaFontaine;2022-10-03;G;Montréal, v;383;;59;376;25;23;1;14;83;3;149;1
390;LaFontaine;2022-10-03;G;Montréal, v;383;;60;380;22;15;0;15;65;8;125;1
390;LaFontaine;2022-10-03;G;Montréal, v;384;;61;417;13;14;5;46;111;1;190;6
390;LaFontaine;2022-10-03;G;Montréal, v;384;;62;404;22;14;0;30;122;3;191;5
390;LaFontaine;2022-10-03;G;Montréal, v;384;;63;399;19;16;1;32;97;6;171;3
390;LaFontaine;2022-10-03;G;Montréal, v;384;;64;399;15;14;1;29;127;0;186;4
390;LaFontaine;2022-10-03;G;Montréal, v;384;;65;401;7;8;1;32;108;1;157;2
390;LaFontaine;2022-10-03;G;Montréal, v;384;;66;405;16;4;4;54;140;0;218;5
390;LaFontaine;2022-10-03;G;Montréal, v;434;;67;372;27;15;1;21;98;3;165;2
390;LaFontaine;2022-10-03;G;Montréal, v;434;;68;368;29;15;3;16;92;7;162;0
390;LaFontaine;2022-10-03;G;Montréal, v;434;;69;371;34;15;3;33;86;14;185;3
390;LaFontaine;2022-10-03;G;Montréal, v;434;;70;386;24;27;6;19;96;9;181;1
390;LaFontaine;2022-10-03;G;Montréal, v;434;;71;367;16;16;3;28;78;10;151;1
390;LaFontaine;2022-10-03;G;Montréal, v;434;;72;364;25;13;4;19;88;9;158;1
390;LaFontaine;2022-10-03;G;Montréal, v;434;;73;366;10;19;2;18;90;5;144;2
390;LaFontaine;2022-10-03;G;Montréal, v;434;;74;369;22;14;2;32;62;12;144;1
390;LaFontaine;2022-10-03;G;Montréal, v;435;;75;376;26;21;0;23;75;9;154;3
390;LaFontaine;2022-10-03;G;Montréal, v;435;;76;375;35;23;3;9;91;10;171;3
390;LaFontaine;2022-10-03;G;Montréal, v;435;;77;377;12;7;2;32;111;7;171;2
390;LaFontaine;2022-10-03;G;Montréal, v;435;;78;381;34;13;4;33;125;6;215;3
390;LaFontaine;2022-10-03;G;Montréal, v;435;;79;388;28;14;1;22;93;15;173;4
390;LaFontaine;2022-10-03;G;Montréal, v;435;;80;369;24;14;5;19;88;5;155;2
390;LaFontaine;2022-10-03;G;Montréal, v;435;;81;391;18;15;3;7;112;2;157;1
390;LaFontaine;2022-10-03;G;Montréal, v;435;;82;386;25;13;1;21;76;4;140;2
390;LaFontaine;2022-10-03;G;Montréal, v;436;;83;394;14;26;2;21;90;8;161;2
