Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caire Éric C.A.Q.-E.F.L.;Doumalin Frédéric P.L.Q./Q.L.P.;Fortin Alain C.Q.;Grand'Maison Martin D.D.;Grondin Olivier P.N.;Lachance Stéphane P.C.Q-E.E.D.;Riedo Sandra Mara P.V.Q./G.P.Q.;Trudel Martin P.Q.;Villeneuve Lucie Q.S.;B.V.;B.R.
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;1;391;52;10;0;1;0;54;3;24;13;157;3
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;2;386;42;12;0;0;1;42;1;12;20;130;2
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;3;390;68;5;0;1;3;41;4;11;29;162;3
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;4;382;96;12;0;0;0;31;3;24;18;184;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;5;383;79;11;2;0;0;30;1;29;20;172;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;6;387;78;13;1;0;0;46;0;24;22;184;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;7;379;78;20;1;1;0;35;0;22;13;170;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;8;387;71;9;0;0;0;39;4;14;20;157;2
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;9;378;65;17;0;0;2;35;2;24;19;164;4
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;1;;10;389;84;7;0;0;2;42;0;27;16;178;8
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;11;404;66;11;0;0;0;47;1;27;21;173;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;12;390;65;14;0;1;0;31;1;20;38;170;3
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;13;401;78;13;1;0;1;42;0;32;17;184;3
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;14;401;57;8;0;0;2;23;5;16;31;142;2
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;15;403;76;25;0;0;0;41;2;18;12;174;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;16;416;76;8;0;1;0;49;3;24;15;176;4
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;17;407;72;12;0;0;1;36;2;16;14;153;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;18;403;88;13;0;0;1;33;0;23;13;171;4
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;19;399;111;16;0;0;0;34;1;18;15;195;3
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;20;405;85;12;1;0;1;37;2;31;25;194;7
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;2;;21;408;62;12;0;0;2;48;0;22;16;162;4
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;22;394;71;10;0;0;0;42;1;16;20;160;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;23;391;91;19;0;0;0;35;1;28;27;201;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;24;393;84;19;0;1;2;46;1;9;23;185;2
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;25;390;86;8;1;0;0;50;1;26;19;191;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;26;388;86;8;2;0;0;30;3;39;20;188;5
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;27;394;109;5;1;0;0;32;0;32;19;198;1
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;28;389;102;15;1;1;1;51;1;27;38;237;5
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;29;395;72;20;0;0;1;51;0;27;26;197;4
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;30;385;103;14;0;0;0;42;0;23;23;205;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;31;383;97;16;0;0;1;44;1;18;14;191;0
720;La Peltrie;2022-10-03;G;L'Ancienne-Lorette, v;3;;32;391;80;18;0;0;0;50;1;22;16;187;6
720;La Peltrie;2022-10-03;G;Québec, v;1;;33;369;71;7;0;0;0;30;0;18;25;151;1
720;La Peltrie;2022-10-03;G;Québec, v;1;;34;369;85;9;0;2;0;44;2;38;33;213;0
720;La Peltrie;2022-10-03;G;Québec, v;1;;35;371;82;14;0;0;0;46;1;15;21;179;4
720;La Peltrie;2022-10-03;G;Québec, v;1;;36;358;94;16;0;0;0;40;1;34;18;203;0
720;La Peltrie;2022-10-03;G;Québec, v;1;;37;358;99;9;0;0;0;42;2;34;11;197;3
720;La Peltrie;2022-10-03;G;Québec, v;1;;38;370;81;26;0;1;0;55;2;27;22;214;4
720;La Peltrie;2022-10-03;G;Québec, v;2;;39;383;63;11;0;0;0;38;2;15;15;144;3
720;La Peltrie;2022-10-03;G;Québec, v;2;;40;381;57;9;0;0;2;60;1;18;11;158;4
720;La Peltrie;2022-10-03;G;Québec, v;2;;41;383;52;14;0;1;0;36;1;15;16;135;7
720;La Peltrie;2022-10-03;G;Québec, v;2;;42;375;70;14;0;0;0;32;0;19;21;156;2
720;La Peltrie;2022-10-03;G;Québec, v;2;;43;394;72;11;0;0;2;37;2;18;28;170;5
720;La Peltrie;2022-10-03;G;Québec, v;2;;44;381;63;15;2;0;1;43;1;18;22;165;3
720;La Peltrie;2022-10-03;G;Québec, v;2;;45;380;51;11;0;0;0;38;3;22;19;144;4
720;La Peltrie;2022-10-03;G;Québec, v;2;;46;376;65;9;2;0;1;48;1;13;19;158;0
720;La Peltrie;2022-10-03;G;Québec, v;3;;47;400;63;6;0;0;1;51;3;22;17;163;2
720;La Peltrie;2022-10-03;G;Québec, v;3;;48;399;61;12;0;0;0;55;2;25;20;175;1
720;La Peltrie;2022-10-03;G;Québec, v;3;;49;404;105;14;1;0;2;52;2;27;17;220;1
720;La Peltrie;2022-10-03;G;Québec, v;3;;50;407;71;7;1;0;1;51;3;23;24;181;2
720;La Peltrie;2022-10-03;G;Québec, v;3;;51;407;52;16;0;0;0;35;1;16;21;141;5
720;La Peltrie;2022-10-03;G;Québec, v;3;;52;411;69;12;0;0;2;49;2;24;8;166;3
720;La Peltrie;2022-10-03;G;Québec, v;3;;53;398;71;9;0;0;0;47;2;30;25;184;1
720;La Peltrie;2022-10-03;G;Québec, v;3;;54;405;86;18;0;0;0;48;2;34;20;208;0
720;La Peltrie;2022-10-03;G;Québec, v;3;;55;413;98;22;0;0;1;53;0;22;23;219;3
720;La Peltrie;2022-10-03;G;Québec, v;3;;56;400;93;9;0;0;2;57;2;28;28;219;3
720;La Peltrie;2022-10-03;G;Québec, v;3;;57;405;73;15;1;0;0;43;2;22;25;181;0
720;La Peltrie;2022-10-03;G;Québec, v;3;;58;403;87;12;0;0;0;44;1;30;38;212;2
720;La Peltrie;2022-10-03;G;Québec, v;4;;59;389;66;2;1;0;0;55;0;18;20;162;0
720;La Peltrie;2022-10-03;G;Québec, v;4;;60;375;73;5;1;0;1;39;0;18;16;153;3
720;La Peltrie;2022-10-03;G;Québec, v;4;;61;390;68;11;0;0;0;46;1;17;14;157;3
720;La Peltrie;2022-10-03;G;Québec, v;4;;62;398;32;9;0;0;1;55;4;17;10;128;6
720;La Peltrie;2022-10-03;G;Québec, v;4;;63;386;58;11;0;0;2;35;1;24;16;147;0
720;La Peltrie;2022-10-03;G;Québec, v;4;;64;376;49;8;0;0;0;53;2;18;12;142;2
720;La Peltrie;2022-10-03;G;Québec, v;4;;65;381;63;10;0;0;0;52;2;16;10;153;3
720;La Peltrie;2022-10-03;G;Québec, v;4;;66;387;59;4;0;0;1;49;1;14;11;139;2
720;La Peltrie;2022-10-03;G;Québec, v;4;;67;376;52;3;0;0;0;45;1;16;14;131;0
720;La Peltrie;2022-10-03;G;Québec, v;4;;68;388;51;6;1;0;2;39;1;12;16;128;1
720;La Peltrie;2022-10-03;G;Québec, v;4;;69;375;66;10;1;0;1;48;1;15;18;160;3
720;La Peltrie;2022-10-03;G;Québec, v;5;;70;404;53;13;0;0;1;48;2;14;11;142;2
720;La Peltrie;2022-10-03;G;Québec, v;5;;71;413;39;15;0;2;0;58;1;12;24;151;0
720;La Peltrie;2022-10-03;G;Québec, v;5;;72;418;50;14;0;1;1;41;2;17;22;148;3
720;La Peltrie;2022-10-03;G;Québec, v;5;;73;415;79;16;0;0;1;48;4;10;18;176;2
720;La Peltrie;2022-10-03;G;Québec, v;5;;74;385;79;11;1;0;1;52;0;19;26;189;2
720;La Peltrie;2022-10-03;G;Québec, v;5;;75;392;67;10;0;0;0;47;1;26;18;169;1
720;La Peltrie;2022-10-03;G;Québec, v;5;;76;397;64;13;0;0;0;49;0;15;18;159;0
720;La Peltrie;2022-10-03;G;Québec, v;5;;77;390;66;13;0;0;0;44;0;16;19;158;0
720;La Peltrie;2022-10-03;G;Québec, v;5;;78;401;62;4;0;0;1;50;1;26;22;166;2
720;La Peltrie;2022-10-03;G;Québec, v;5;;79;389;63;17;0;0;0;55;2;22;26;185;1
720;La Peltrie;2022-10-03;G;Québec, v;5;;80;400;58;10;0;0;3;23;3;15;13;125;3
720;La Peltrie;2022-10-03;G;Québec, v;5;;81;396;56;9;0;0;0;56;1;8;22;152;7
720;La Peltrie;2022-10-03;G;Québec, v;5;;82;390;82;9;0;0;1;54;1;23;8;178;1
720;La Peltrie;2022-10-03;G;Québec, v;5;;83;402;70;7;0;0;0;61;2;20;17;177;2
720;La Peltrie;2022-10-03;G;Québec, v;6;;84;389;79;10;0;0;1;53;0;13;7;163;6
720;La Peltrie;2022-10-03;G;Québec, v;6;;85;407;51;7;0;1;0;52;0;9;31;151;9
720;La Peltrie;2022-10-03;G;Québec, v;6;;86;381;50;5;0;0;0;81;0;13;25;174;2
720;La Peltrie;2022-10-03;G;Québec, v;6;;87;390;45;7;0;0;0;59;2;11;6;130;2
720;La Peltrie;2022-10-03;G;Québec, v;6;;88;397;76;8;0;0;1;42;0;8;23;158;1
720;La Peltrie;2022-10-03;G;Québec, v;6;;89;396;64;8;0;0;1;57;2;26;22;180;6
720;La Peltrie;2022-10-03;G;Québec, v;6;;90;405;81;12;0;0;0;51;0;18;16;178;0
720;La Peltrie;2022-10-03;G;Québec, v;6;;91;398;65;10;0;0;0;62;2;18;18;175;2
720;La Peltrie;2022-10-03;G;Québec, v;6;;92;391;69;14;0;0;0;60;1;9;9;162;6
720;La Peltrie;2022-10-03;G;Québec, v;6;;93;403;71;11;0;0;3;62;0;21;11;179;0
720;La Peltrie;2022-10-03;G;Québec, v;6;;94;425;64;16;0;0;1;60;0;19;16;176;3
720;La Peltrie;2022-10-03;G;Québec, v;6;;95;386;54;9;1;0;1;38;2;7;10;122;3
720;La Peltrie;2022-10-03;G;Québec, v;7;;96;372;58;10;0;0;1;61;0;11;10;151;2
720;La Peltrie;2022-10-03;G;Québec, v;7;;97;371;58;6;0;0;3;46;2;12;14;141;3
720;La Peltrie;2022-10-03;G;Québec, v;7;;98;372;81;13;0;1;4;66;1;8;7;181;4
