Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fradette William P.Q.;Girard Eric C.A.Q.-E.F.L.;Lavoie Martin C.Q.;Martel Luc P.C.Q-E.E.D.;Moulin Elsa Q.S.;Murray Tricia P.L.Q./Q.L.P.;Villeneuve Chantale P.Li.Q.;B.V.;B.R.
926;Lac-Saint-Jean;2022-10-03;G;Passes-Dangereuses, no;2;Regr. BVO-2;1;25;0;0;0;0;0;0;0;0;0
926;Lac-Saint-Jean;2022-10-03;G;Saint-Ludger-de-Milot, m;1;;2;283;29;105;2;15;7;3;3;164;5
926;Lac-Saint-Jean;2022-10-03;G;Saint-Ludger-de-Milot, m;1;;3;283;22;94;0;12;12;8;0;148;2
926;Lac-Saint-Jean;2022-10-03;G;Sainte-Monique, m;1;;4;366;34;84;1;37;12;4;0;172;6
926;Lac-Saint-Jean;2022-10-03;G;Sainte-Monique, m;1;;5;347;41;95;0;24;7;5;0;172;0
926;Lac-Saint-Jean;2022-10-03;G;Saint-Henri-de-Taillon, m;1;;6;332;55;61;2;12;17;3;2;152;1
926;Lac-Saint-Jean;2022-10-03;G;Saint-Henri-de-Taillon, m;1;;7;345;39;59;0;18;13;8;1;138;0
926;Lac-Saint-Jean;2022-10-03;G;L'Ascension-de-Notre-Seigneur, p;1;;8;322;38;48;1;26;10;4;0;127;1
926;Lac-Saint-Jean;2022-10-03;G;L'Ascension-de-Notre-Seigneur, p;1;;9;337;38;66;0;35;7;7;0;153;2
926;Lac-Saint-Jean;2022-10-03;G;L'Ascension-de-Notre-Seigneur, p;1;;10;334;40;81;1;21;4;2;0;149;1
926;Lac-Saint-Jean;2022-10-03;G;L'Ascension-de-Notre-Seigneur, p;1;;11;326;30;72;1;32;10;7;0;152;1
926;Lac-Saint-Jean;2022-10-03;G;L'Ascension-de-Notre-Seigneur, p;1;;12;352;42;98;0;16;7;5;2;170;3
