Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastarache Pascal P.Q.;Berthiaume Jean-Patrick Ind;Lavigne France Q.S.;Nzoula-Mendome Kévin P.L.Q./Q.L.P.;Parent Raoul U.F.F.;St-Georges Josée A.F.C.;Tardif Marie-Louise C.A.Q.-E.F.L.;Tremblay Pierre-David P.C.Q-E.E.D.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2022-10-03;G;Obedjiwan, r;1;;1;992;1;0;10;2;1;0;0;0;14;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Wemotaci, r;1;;2;719;4;2;59;18;0;4;1;5;93;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Lac-Édouard, m;1;;3;161;15;1;5;0;2;0;57;13;93;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Bostonnais, m;1;;4;231;15;0;18;3;0;0;52;20;108;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Bostonnais, m;1;;5;239;15;0;6;3;1;0;67;21;113;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;1;;6;274;21;0;2;3;1;0;61;16;104;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;2;;7;294;27;0;11;6;0;0;59;22;125;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;2;;8;265;13;1;9;2;0;0;67;37;129;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;9;385;27;0;9;4;0;0;87;45;172;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;10;350;20;2;9;7;0;1;80;22;141;3
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;11;374;16;1;11;4;0;0;70;33;135;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;12;364;18;1;16;10;0;0;64;23;132;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;13;371;21;1;7;6;1;0;60;24;120;5
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;14;356;24;0;11;8;1;0;61;15;120;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;15;363;25;1;8;14;0;0;68;20;136;5
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;3;;16;328;12;0;6;2;0;0;59;25;104;2
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;4;;17;315;8;0;7;2;0;0;62;17;96;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;4;;18;325;24;1;8;4;0;0;65;13;115;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;5;;19;380;24;1;9;2;0;0;69;19;124;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;5;;20;338;39;1;8;3;0;1;96;22;170;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;5;;21;345;25;1;8;6;2;0;79;24;145;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;22;386;20;1;14;2;0;1;60;16;114;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;23;422;16;0;7;12;0;1;58;23;117;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;24;408;21;1;11;8;1;1;61;14;118;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;25;416;32;0;11;3;0;1;101;24;172;0
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;26;393;33;0;15;4;0;0;91;19;162;3
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;27;409;17;0;12;6;3;0;90;28;156;1
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;28;394;27;3;6;4;0;0;56;26;122;4
670;Laviolette-Saint-Maurice;2022-10-03;G;La Tuque, v;6;;29;407;37;1;8;8;0;0;109;31;194;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;1;;30;379;39;0;37;11;0;0;62;78;227;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;1;;31;352;34;0;28;8;1;1;89;42;203;5
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;1;;32;374;24;0;20;3;1;0;90;54;192;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;1;;33;358;29;0;15;5;0;0;81;66;196;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;1;;34;360;22;1;21;13;0;2;76;49;184;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;2;;35;398;44;0;16;14;0;1;107;36;218;5
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;2;;36;367;39;0;15;11;1;0;90;24;180;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;2;;37;406;37;0;20;9;2;0;97;40;205;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;2;;38;374;38;1;19;9;0;1;98;38;204;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;2;;39;419;24;0;20;14;1;1;96;39;195;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;40;402;26;0;17;9;3;0;69;21;145;4
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;41;397;13;3;20;9;0;0;48;17;110;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;42;382;12;0;12;7;4;1;48;28;112;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;43;388;16;0;19;4;1;1;60;23;124;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;44;391;23;2;17;6;2;3;61;27;141;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;3;;45;363;22;0;17;7;1;1;54;27;129;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;46;369;15;0;8;5;5;1;35;18;87;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;47;366;15;0;9;3;2;0;49;23;101;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;48;364;16;0;12;6;0;0;31;28;93;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;49;389;23;1;15;5;0;0;76;18;138;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;50;366;22;0;12;12;0;1;58;30;135;5
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;4;;51;379;26;0;10;7;0;1;52;24;120;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;5;;52;362;30;0;22;4;2;1;44;23;126;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;5;;53;387;19;3;14;4;0;0;66;39;145;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;5;;54;368;23;0;16;6;0;1;55;18;119;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;5;;55;378;28;1;25;7;0;0;56;26;143;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;5;;56;354;33;0;13;10;0;0;67;21;144;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;6;;57;386;28;0;15;1;0;2;71;30;147;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;6;;58;410;36;1;14;5;0;0;63;32;151;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;6;;59;375;27;1;13;3;0;0;32;36;112;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;6;;60;399;27;1;15;5;0;2;66;23;139;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;6;;61;386;20;3;20;2;0;0;50;23;118;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;62A;213;20;0;26;3;1;1;22;16;89;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;62B;216;25;1;17;4;0;0;41;12;100;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;63;405;31;1;23;13;0;1;68;16;153;4
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;64;423;32;0;36;10;2;1;57;19;157;7
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;65;404;17;0;33;8;0;1;55;21;135;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;66;405;24;1;31;9;0;2;59;26;152;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;7;;67;392;26;0;34;18;0;2;60;23;163;4
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;68;377;21;1;18;2;3;2;55;31;133;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;69;402;24;2;14;9;0;1;57;25;132;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;70;366;18;0;20;7;1;2;56;25;129;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;71;354;24;1;20;5;1;1;54;16;122;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;72;376;18;0;16;9;0;0;70;24;137;2
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;8;;73;387;21;2;30;7;0;0;50;24;134;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;9;;74;380;16;0;28;5;1;0;60;40;150;1
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;9;;75;372;38;0;18;2;1;1;49;27;136;0
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;9;;76;378;43;0;24;7;1;0;61;30;166;3
670;Laviolette-Saint-Maurice;2022-10-03;G;Shawinigan, v;9;;77;363;38;3;26;7;0;1;65;32;172;0
