Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;1;;1;377;6;55;16;54;8;139;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;1;;2;367;6;57;31;48;18;160;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;1;;3;372;2;54;25;58;20;159;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;1;;4;379;2;52;14;62;18;148;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;2;;5;370;5;47;19;65;22;158;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;2;;6;373;3;24;16;72;12;127;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;2;;7;390;7;61;21;76;20;185;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;2;;8;367;8;49;18;69;18;162;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;9;378;1;39;9;61;18;128;5
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;10;376;4;44;16;66;19;149;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;11;362;7;44;12;65;12;140;5
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;12;387;6;40;28;46;13;133;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;13;393;6;42;28;58;19;153;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;3;;14;418;2;46;18;70;15;151;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;;15;368;3;42;22;42;12;121;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;;16;358;5;43;22;54;16;140;8
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;;17;360;8;43;24;34;16;125;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;;18;386;10;40;32;53;14;149;5
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;;19;391;6;54;29;54;20;163;7
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;5;;20;376;14;58;30;59;17;178;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;5;;21;332;7;53;16;73;12;161;5
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;5;;22;360;4;49;25;84;17;179;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;6;;23;369;10;42;21;59;20;152;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;6;;24;388;9;37;24;73;10;153;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;6;;25;383;13;49;24;66;19;171;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;7;;26;391;9;46;24;54;18;151;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;7;;27;401;13;62;13;69;12;169;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;7;;28;407;3;44;23;51;27;148;7
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;7;;29;384;10;37;22;67;15;151;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;8;;30;353;13;43;15;73;23;167;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;8;;31;350;9;47;22;55;16;149;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;8;;32;357;6;26;14;68;29;143;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;8;;33;376;6;42;21;59;14;142;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;8;;34;361;4;37;22;79;16;158;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;9;;35;385;4;27;18;71;21;141;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;9;;36;356;10;35;10;62;10;127;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;9;;37;384;5;40;29;90;14;178;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;38;382;4;51;22;55;16;148;6
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;39;371;12;42;15;52;15;136;5
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;40;383;7;42;17;61;13;140;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;41;359;3;41;25;48;21;138;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;42;349;7;27;14;50;9;107;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;10;;43;370;12;40;14;45;18;129;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;44A;232;3;22;10;44;19;98;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;44B;215;5;16;18;24;10;73;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;45A;215;7;20;14;25;3;69;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;45B;227;4;17;9;22;9;61;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;46;396;3;46;18;73;12;152;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;11;;47;411;10;59;22;82;8;181;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;12;;48;326;6;41;9;43;14;113;4
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;12;;49;352;3;50;14;36;5;108;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;12;;50;340;4;49;12;54;7;126;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;12;;51;332;3;37;31;88;11;170;2
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;13;;52;369;5;59;24;71;28;187;3
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;13;;53;385;7;91;26;74;19;217;4
