Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brochu Yolaine E.A.;Cardinal Dominic P.L.Q./Q.L.P.;Dubuc Victor P.Q.;Guilbault Geneviève C.A.Q.-E.F.L.;Hamel Jean-Pierre D.D.;Lachance Steven Q.S.;Robitaille Marika P.C.Q-E.E.D.;Vendette Daydree P.V.Q./G.P.Q.;B.V.;B.R.
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;1;406;1;6;17;69;0;17;58;2;170;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;2;368;0;10;17;54;0;9;44;1;135;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;3;393;0;8;20;83;0;18;46;2;177;4
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;4;386;1;8;23;60;0;19;41;3;155;3
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;5;397;0;19;17;49;0;18;40;2;145;5
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;6;391;0;9;17;70;0;16;39;0;151;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;7;388;0;9;23;57;1;13;21;3;127;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;8;377;0;3;16;79;0;25;33;1;157;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;9;412;0;18;19;89;0;18;52;2;198;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;1;;10;373;0;14;26;83;0;17;28;3;171;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;11;380;0;17;22;71;0;16;25;0;151;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;12;395;0;12;19;73;0;14;29;3;150;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;13;383;0;9;11;56;0;18;28;1;123;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;14;371;1;9;25;80;0;15;23;1;154;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;15;393;0;6;24;80;1;14;29;1;155;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;16;378;1;9;23;83;0;22;34;2;174;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;17;396;0;13;21;79;0;15;45;3;176;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;18;384;0;11;29;63;0;30;10;7;150;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;2;;19;380;0;10;19;76;0;11;18;0;134;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;20;379;0;16;27;71;0;8;38;2;162;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;21;410;0;11;16;66;0;34;66;1;194;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;22A;214;0;6;15;36;0;10;28;1;96;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;22B;214;0;7;15;28;0;23;21;0;94;4
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;23;372;0;12;30;88;0;22;35;1;188;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;3;;24;370;0;24;32;65;0;24;21;1;167;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;25;408;0;18;15;54;0;14;11;1;113;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;26;404;0;11;15;61;0;15;9;0;111;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;27;414;1;8;14;72;0;12;27;1;135;3
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;28A;404;0;5;15;57;0;3;10;0;90;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;28B;398;0;8;15;68;0;12;5;3;111;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;29;397;0;16;19;71;0;8;7;1;122;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;30;400;0;8;15;49;0;12;10;0;94;0
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;4;;31;399;0;26;36;91;0;16;30;1;200;3
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;32;377;0;19;35;69;1;23;27;0;174;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;33;405;0;16;28;82;0;19;28;0;173;3
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;34;383;0;17;26;63;0;31;20;3;160;3
