Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cayouette-Guilloteau Valérie Q.S.;Drainville Bernard C.A.Q.-E.F.L.;Garon Richard P.L.Q./Q.L.P.;Laflamme Karine P.C.Q-E.E.D.;Lahlou Mehdi P.V.Q./G.P.Q.;Morel Pierre-Gilles P.Q.;Voyer André C.Q.;B.V.;B.R.
818;Lévis;2022-10-03;G;Lévis, v;20;;1A;297;20;46;13;20;3;22;1;125;1
818;Lévis;2022-10-03;G;Lévis, v;20;;1B;294;28;47;11;40;3;31;1;161;3
818;Lévis;2022-10-03;G;Lévis, v;20;;2;300;8;52;13;22;0;10;0;105;1
818;Lévis;2022-10-03;G;Lévis, v;20;;3;339;7;65;5;19;0;15;0;111;1
818;Lévis;2022-10-03;G;Lévis, v;20;;4A;318;14;63;12;24;1;14;0;128;2
818;Lévis;2022-10-03;G;Lévis, v;20;;4B;305;25;57;8;15;0;14;0;119;1
818;Lévis;2022-10-03;G;Lévis, v;20;;5A;220;2;45;5;4;0;14;0;70;0
818;Lévis;2022-10-03;G;Lévis, v;20;;5B;234;10;36;8;8;1;22;1;86;1
818;Lévis;2022-10-03;G;Lévis, v;20;;6;376;12;57;4;22;0;19;1;115;1
818;Lévis;2022-10-03;G;Lévis, v;20;;7;369;22;86;13;46;1;24;0;192;3
818;Lévis;2022-10-03;G;Lévis, v;20;;8;384;28;60;14;45;4;36;1;188;1
818;Lévis;2022-10-03;G;Lévis, v;20;;9;372;34;45;8;44;5;23;0;159;2
818;Lévis;2022-10-03;G;Lévis, v;20;;10;388;27;56;12;32;2;23;1;153;1
818;Lévis;2022-10-03;G;Lévis, v;20;;11;343;16;73;8;29;1;15;2;144;2
818;Lévis;2022-10-03;G;Lévis, v;20;;12;386;22;80;12;39;1;26;0;180;2
818;Lévis;2022-10-03;G;Lévis, v;20;;13;371;23;30;7;42;2;15;1;120;5
818;Lévis;2022-10-03;G;Lévis, v;20;;14;382;21;78;11;43;1;26;0;180;3
818;Lévis;2022-10-03;G;Lévis, v;20;;15;394;28;77;6;32;2;40;0;185;4
818;Lévis;2022-10-03;G;Lévis, v;21;;16;373;18;60;6;37;2;29;2;154;2
818;Lévis;2022-10-03;G;Lévis, v;21;;17;374;20;60;4;27;2;16;2;131;1
818;Lévis;2022-10-03;G;Lévis, v;21;;18;386;11;74;12;46;1;19;1;164;4
818;Lévis;2022-10-03;G;Lévis, v;21;;19;373;22;70;13;39;2;12;2;160;3
818;Lévis;2022-10-03;G;Lévis, v;21;;20;385;32;71;4;39;1;28;0;175;2
818;Lévis;2022-10-03;G;Lévis, v;21;;21;371;23;57;4;33;1;21;2;141;4
818;Lévis;2022-10-03;G;Lévis, v;21;;22;387;25;57;9;46;0;27;0;164;0
818;Lévis;2022-10-03;G;Lévis, v;21;;23;378;32;53;7;31;1;20;0;144;3
818;Lévis;2022-10-03;G;Lévis, v;22;;24;403;33;56;14;36;1;27;0;167;0
