Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aquin-Belleau Vincent P.V.Q./G.P.Q.;Chekal Lyes P.L.Q./Q.L.P.;Chénier Pierre P.M.L.Q.;Dorismond Shirley C.A.Q.-E.F.L.;Nantel Pierre P.Q.;Ouellet Martine C.Q.;Portron Florent E.A.;Stillo Lara P.C.Q-E.E.D.;Vaithyanathasarma Shophika Q.S.;B.V.;B.R.
246;Marie-Victorin;2022-10-03;G;Longueuil, v;16;;1;389;3;16;0;45;35;2;0;20;53;174;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;16;;2;379;1;15;1;34;55;3;0;20;49;178;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;16;;3;373;2;25;0;43;33;2;1;15;34;155;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;17;;4;350;3;12;0;20;25;0;0;13;39;112;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;17;;5;334;1;15;2;32;21;0;0;14;31;116;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;17;;6;368;2;17;0;38;35;4;0;7;54;157;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;17;;7;331;1;18;0;41;28;0;0;8;60;156;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;17;;8;362;3;6;1;35;45;2;0;5;50;147;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;9;408;3;17;0;38;50;1;0;9;55;173;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;10;387;3;11;1;41;28;1;0;19;45;149;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;11;405;2;15;0;35;30;1;1;11;40;135;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;12;401;0;14;0;34;28;1;0;13;33;123;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;13;398;2;11;0;38;33;0;0;16;52;152;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;14;395;3;15;1;40;37;0;0;11;57;164;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;15;383;1;18;1;39;30;0;0;17;36;142;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;16;387;6;21;0;51;40;0;0;18;54;190;3
