Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-E.F.L.;Bélanger Alain Ind;Boisvert Françoise U.F.F.;Brodeur Gilles P51;Gélinas Dominique P.Q.;Malenfant-Veilleux Alexandra P.L.Q./Q.L.P.;Noël Serge P.C.Q-E.E.D.;Piotte Simon Q.S.;Simon Daniel P.V.Q./G.P.Q.;B.V.;B.R.
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;1;366;91;0;0;0;22;15;25;15;3;171;2
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;2;363;94;0;0;1;30;0;19;13;2;159;0
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;3;372;117;0;0;0;16;9;32;16;0;190;1
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;4;379;124;0;0;0;23;7;18;8;1;181;3
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;5;397;120;0;0;0;23;7;19;18;1;188;2
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;6;378;77;0;0;0;36;4;25;19;4;165;1
666;Maskinongé;2022-10-03;G;Saint-Alexis-des-Monts, p;1;;7;384;103;0;0;0;20;3;28;10;0;164;5
666;Maskinongé;2022-10-03;G;Sainte-Angèle-de-Prémont, m;1;;8;273;68;0;0;0;18;4;26;15;1;132;3
666;Maskinongé;2022-10-03;G;Sainte-Angèle-de-Prémont, m;1;;9;264;68;0;0;0;31;2;19;9;1;130;3
666;Maskinongé;2022-10-03;G;Saint-Paulin, m;1;;10;403;85;0;3;0;19;13;31;9;1;161;3
666;Maskinongé;2022-10-03;G;Saint-Paulin, m;1;;11;418;70;1;1;1;23;12;21;26;1;156;2
666;Maskinongé;2022-10-03;G;Saint-Paulin, m;1;;12;426;73;1;0;0;26;10;27;17;2;156;0
666;Maskinongé;2022-10-03;G;Charette, m;1;;13;414;79;0;0;0;31;8;51;32;3;204;6
666;Maskinongé;2022-10-03;G;Charette, m;1;;14;430;109;2;0;0;32;10;45;31;3;232;2
666;Maskinongé;2022-10-03;G;Saint-Élie-de-Caxton, m;1;;15;398;72;0;1;0;17;6;29;17;2;144;1
666;Maskinongé;2022-10-03;G;Saint-Élie-de-Caxton, m;1;;16;409;69;0;0;0;22;10;30;29;5;165;3
666;Maskinongé;2022-10-03;G;Saint-Élie-de-Caxton, m;1;;17;368;64;0;0;0;17;1;18;36;1;137;4
666;Maskinongé;2022-10-03;G;Saint-Élie-de-Caxton, m;1;;18;391;82;0;0;0;28;7;22;24;2;165;0
666;Maskinongé;2022-10-03;G;Saint-Mathieu-du-Parc, m;1;;19;418;87;0;2;0;55;5;25;38;1;213;3
666;Maskinongé;2022-10-03;G;Saint-Mathieu-du-Parc, m;1;;20;413;70;1;1;0;32;11;61;39;2;217;4
666;Maskinongé;2022-10-03;G;Saint-Mathieu-du-Parc, m;1;;21;419;76;0;0;1;47;14;36;58;5;237;4
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;22;416;84;0;0;0;27;15;43;38;1;208;1
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;23;392;51;0;0;0;30;1;43;27;5;157;0
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;24;420;68;0;3;0;36;7;36;18;1;169;4
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;25;417;97;2;0;0;19;6;47;27;6;204;12
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;26;418;85;0;0;0;31;5;39;25;2;187;0
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;27;396;74;0;1;0;25;3;28;20;4;155;4
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;28;398;71;0;3;0;16;9;31;15;1;146;1
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;29;374;48;0;1;0;23;9;28;17;0;126;6
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;30;372;74;0;0;0;15;3;43;17;1;153;7
666;Maskinongé;2022-10-03;G;Saint-Boniface, m;1;;31;379;79;1;1;0;21;10;48;22;1;183;2
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;32;400;77;2;0;0;23;3;34;21;3;163;2
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;33;390;68;0;0;0;37;4;46;11;1;167;5
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;34;397;66;1;0;0;31;7;47;21;1;174;1
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;35;396;86;0;3;0;21;10;38;17;0;175;2
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;36;405;69;2;3;1;17;7;55;12;4;170;4
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;37;399;72;0;0;0;40;11;49;21;0;193;4
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;38;384;84;0;1;0;20;5;38;25;3;176;1
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;39;395;71;1;0;0;19;8;54;13;0;166;1
666;Maskinongé;2022-10-03;G;Saint-Étienne-des-Grès, p;1;;40;376;58;1;0;0;31;6;46;15;0;157;2
666;Maskinongé;2022-10-03;G;Saint-Barnabé, p;1;;41;299;68;1;0;0;23;10;30;9;1;142;2
666;Maskinongé;2022-10-03;G;Saint-Barnabé, p;1;;42;306;74;1;2;0;29;15;36;20;2;179;2
666;Maskinongé;2022-10-03;G;Saint-Barnabé, p;1;;43;307;73;1;0;1;32;9;35;16;0;167;1
666;Maskinongé;2022-10-03;G;Saint-Sévère, p;1;;44;250;41;1;0;0;51;16;22;14;3;148;0
666;Maskinongé;2022-10-03;G;Saint-Léon-le-Grand, p;1;;45;377;135;0;0;0;19;8;25;17;0;204;1
666;Maskinongé;2022-10-03;G;Saint-Léon-le-Grand, p;1;;46;400;107;0;0;0;38;5;38;17;0;205;2
666;Maskinongé;2022-10-03;G;Sainte-Ursule, m;1;;47;367;83;0;0;0;18;16;27;4;2;150;2
666;Maskinongé;2022-10-03;G;Sainte-Ursule, m;1;;48;384;82;0;0;0;18;6;40;4;3;153;2
666;Maskinongé;2022-10-03;G;Sainte-Ursule, m;1;;49;379;86;0;2;2;33;5;31;22;1;182;6
