Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amours Sylvie C.A.Q.-E.F.L.;Durand Gala P.C.Q-E.E.D.;Giosi Isabella P.L.Q./Q.L.P.;Goudreau Marjolaine Q.S.;Larouche Pierre U.F.F.;Lavoie Rémi D.D.;Savoie Carole P.Q.;B.V.;B.R.
514;Mirabel;2022-10-03;G;Saint-Placide, m;1;;1;354;106;28;7;16;0;0;29;186;2
514;Mirabel;2022-10-03;G;Saint-Placide, m;1;;2;378;85;21;6;30;2;0;57;201;3
514;Mirabel;2022-10-03;G;Saint-Placide, m;1;;3;365;95;17;14;33;0;0;31;190;2
514;Mirabel;2022-10-03;G;Saint-Placide, m;1;;4;368;80;24;8;23;0;0;43;178;1
514;Mirabel;2022-10-03;G;Oka, m;1;;5;397;68;17;7;30;2;1;23;148;2
514;Mirabel;2022-10-03;G;Oka, m;1;;6;380;86;11;8;37;0;0;30;172;2
514;Mirabel;2022-10-03;G;Oka, m;1;;7;405;69;14;18;33;0;0;50;184;1
514;Mirabel;2022-10-03;G;Oka, m;1;;8;390;96;23;8;35;2;0;46;210;1
514;Mirabel;2022-10-03;G;Oka, m;1;;9;404;80;16;9;31;1;0;47;184;3
514;Mirabel;2022-10-03;G;Oka, m;1;;10;396;60;17;13;26;0;0;53;169;3
514;Mirabel;2022-10-03;G;Oka, m;1;;11;394;114;36;6;33;0;0;44;233;4
514;Mirabel;2022-10-03;G;Oka, m;1;;12;397;101;25;11;33;1;1;48;220;2
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;13;354;76;21;14;24;0;0;30;165;4
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;14;365;68;23;11;19;1;0;24;146;5
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;15;357;63;25;7;25;2;1;21;144;6
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;16;366;69;22;3;23;2;0;19;138;3
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;17;356;65;15;10;37;4;0;36;167;6
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;18;352;82;18;12;45;4;0;30;191;1
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;1;;19;380;90;29;10;28;0;1;48;206;3
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;20;367;73;19;10;17;1;2;40;162;2
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;21;384;74;25;5;20;2;0;25;151;2
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;22;390;73;17;12;23;2;0;31;158;2
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;23;377;96;24;9;24;0;0;21;174;0
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;24;359;68;33;5;28;1;1;30;166;6
514;Mirabel;2022-10-03;G;Pointe-Calumet, m;2;;25;386;61;34;10;32;2;0;17;156;10
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;26;348;41;25;7;20;0;0;25;118;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;27;376;73;13;9;13;0;0;35;143;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;28;341;72;18;7;29;1;1;27;155;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;29;359;57;30;7;30;0;0;28;152;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;30;359;57;29;11;24;2;0;23;146;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;31;350;59;31;9;19;0;0;25;143;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;1;;32;337;52;14;10;35;0;0;34;145;2
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;33;370;64;26;24;31;3;1;36;185;6
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;34;367;84;20;17;36;0;0;49;206;4
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;35;419;80;37;55;35;0;0;22;229;2
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;36;391;66;18;24;28;0;0;25;161;0
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;37;385;83;18;22;33;1;1;46;204;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;38;379;76;22;24;29;1;2;33;187;7
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;39;374;93;14;32;31;0;0;42;212;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;40;373;74;19;28;18;0;0;26;165;4
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;41;385;69;22;38;32;4;1;32;198;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;42;392;78;29;27;27;0;1;42;204;2
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;2;;43;431;69;23;16;42;1;0;37;188;7
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;44;374;89;9;13;23;0;0;30;164;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;45;381;54;25;16;25;2;1;25;148;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;46;390;97;17;26;30;1;0;26;197;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;47;376;73;15;19;14;1;0;30;152;2
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;48;380;56;16;25;23;0;1;27;148;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;49;374;85;24;21;33;0;0;24;187;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;50;393;85;23;26;41;0;0;43;218;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;51;394;80;15;25;20;1;0;34;175;4
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;52;371;69;19;17;26;0;0;29;160;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;53;387;61;25;49;21;0;0;19;175;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;3;;54;393;77;35;25;39;0;1;30;207;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;55;379;62;23;14;30;0;0;27;156;1
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;56;377;60;17;12;28;0;0;34;151;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;57;378;73;23;9;30;0;0;16;151;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;58;374;78;27;20;27;0;0;22;174;0
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;59;390;60;20;9;31;1;1;39;161;3
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;60;384;64;14;9;19;6;0;38;150;5
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;61;387;74;28;16;28;1;0;30;177;2
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;62;391;70;18;14;22;5;0;18;147;6
514;Mirabel;2022-10-03;G;Sainte-Marthe-sur-le-Lac, v;4;;63;383;80;19;18;30;2;1;28;178;6
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;64;401;87;18;16;19;1;0;37;178;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;65;381;106;24;12;30;1;1;30;204;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;66;361;84;17;10;31;0;0;30;172;4
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;67;374;104;22;15;17;0;0;39;197;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;68;377;125;19;12;20;1;0;29;206;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;69;379;98;27;15;25;2;0;33;200;9
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;70;386;81;33;9;29;0;0;31;183;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;1;;71;378;63;32;12;37;0;0;23;167;2
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;72;404;89;17;10;20;0;0;23;159;0
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;73;394;64;15;10;24;1;0;29;143;0
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;74;407;78;18;9;27;0;0;21;153;3
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;75;405;114;17;12;37;0;1;44;225;4
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;76;394;77;26;7;24;0;2;35;171;4
514;Mirabel;2022-10-03;G;Saint-Joseph-du-Lac, m;2;;77;393;114;19;10;22;0;0;34;199;1
514;Mirabel;2022-10-03;G;Mirabel, v;1;;78;385;115;24;4;19;0;1;27;190;3
514;Mirabel;2022-10-03;G;Mirabel, v;1;;79;367;118;23;4;23;0;0;32;200;4
514;Mirabel;2022-10-03;G;Mirabel, v;1;;80;393;93;36;4;34;0;0;34;201;2
514;Mirabel;2022-10-03;G;Mirabel, v;1;;81;369;93;35;8;24;4;0;32;196;2
