Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dufour Jeanne P.V.Q./G.P.Q.;Gagnon Lucie P.L.Q./Q.L.P.;Henry Evans P.C.Q-E.E.D.;Lamouche Isadora C.Q.;Michelin Daniel P.Q.;Roy Nathalie C.A.Q.-E.F.L.;Veilleux Marie-Christine Q.S.;B.V.;B.R.
252;Montarville;2022-10-03;G;Boucherville, v;1;;1;391;1;19;22;1;68;64;53;228;3
252;Montarville;2022-10-03;G;Boucherville, v;1;;2;388;1;20;17;1;58;74;23;194;5
252;Montarville;2022-10-03;G;Boucherville, v;1;;3;346;3;19;7;2;30;61;21;143;4
252;Montarville;2022-10-03;G;Boucherville, v;1;;4;364;5;8;13;0;54;57;40;177;2
252;Montarville;2022-10-03;G;Boucherville, v;1;;5;382;1;13;18;2;50;91;49;224;2
252;Montarville;2022-10-03;G;Boucherville, v;1;;6;384;3;5;19;0;48;79;49;203;2
252;Montarville;2022-10-03;G;Boucherville, v;1;;7;357;2;16;9;0;49;72;40;188;5
252;Montarville;2022-10-03;G;Boucherville, v;1;;8;373;3;15;18;2;40;93;51;222;1
252;Montarville;2022-10-03;G;Boucherville, v;1;;9;379;1;11;13;2;73;81;49;230;3
252;Montarville;2022-10-03;G;Boucherville, v;1;;10;373;0;22;11;1;44;90;47;215;0
252;Montarville;2022-10-03;G;Boucherville, v;1;;11;383;1;17;20;1;48;81;37;205;1
252;Montarville;2022-10-03;G;Boucherville, v;1;;12;392;1;12;9;3;46;99;31;201;1
252;Montarville;2022-10-03;G;Boucherville, v;1;;13;366;1;13;5;1;35;81;21;157;1
252;Montarville;2022-10-03;G;Boucherville, v;2;;14;421;15;14;13;0;52;101;37;232;2
252;Montarville;2022-10-03;G;Boucherville, v;2;;15A;239;1;20;7;0;28;41;24;121;4
252;Montarville;2022-10-03;G;Boucherville, v;2;;15B;216;0;6;1;0;27;36;20;90;1
252;Montarville;2022-10-03;G;Boucherville, v;2;;16;414;5;15;13;0;29;97;63;222;3
252;Montarville;2022-10-03;G;Boucherville, v;2;;17;397;5;14;13;0;60;94;54;240;2
252;Montarville;2022-10-03;G;Boucherville, v;2;;18;399;9;25;7;0;48;78;46;213;0
252;Montarville;2022-10-03;G;Boucherville, v;2;;19;408;3;26;26;3;45;73;49;225;1
252;Montarville;2022-10-03;G;Boucherville, v;2;;20;385;1;16;12;2;44;72;33;180;1
252;Montarville;2022-10-03;G;Boucherville, v;2;;21;402;2;14;11;2;42;77;41;189;3
252;Montarville;2022-10-03;G;Boucherville, v;2;;22;392;7;9;9;1;42;96;37;201;1
252;Montarville;2022-10-03;G;Boucherville, v;3;;23;365;3;29;14;0;27;72;36;181;3
252;Montarville;2022-10-03;G;Boucherville, v;3;;24;386;8;22;11;0;44;93;40;218;0
252;Montarville;2022-10-03;G;Boucherville, v;3;;25;386;6;19;10;0;51;93;36;215;0
252;Montarville;2022-10-03;G;Boucherville, v;3;;26;379;5;33;9;4;40;70;29;190;1
252;Montarville;2022-10-03;G;Boucherville, v;3;;27;392;3;21;9;1;42;108;49;233;1
252;Montarville;2022-10-03;G;Boucherville, v;3;;28;382;3;25;8;0;52;93;36;217;1
252;Montarville;2022-10-03;G;Boucherville, v;3;;29;373;4;15;8;0;71;86;50;234;3
252;Montarville;2022-10-03;G;Boucherville, v;3;;30;378;4;15;9;1;36;76;41;182;2
252;Montarville;2022-10-03;G;Boucherville, v;3;;31;385;6;28;11;0;36;87;44;212;0
252;Montarville;2022-10-03;G;Boucherville, v;3;;32;389;5;26;6;0;38;80;42;197;1
252;Montarville;2022-10-03;G;Boucherville, v;3;;33;376;3;29;14;0;41;59;41;187;0
252;Montarville;2022-10-03;G;Boucherville, v;4;;34;399;6;20;5;0;48;85;34;198;2
252;Montarville;2022-10-03;G;Boucherville, v;4;;35;387;4;26;5;0;43;82;24;184;0
252;Montarville;2022-10-03;G;Boucherville, v;4;;36;402;7;30;11;1;44;81;28;202;2
252;Montarville;2022-10-03;G;Boucherville, v;4;;37;369;5;23;9;2;32;60;46;177;2
252;Montarville;2022-10-03;G;Boucherville, v;4;;38;393;4;9;7;0;15;79;40;154;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;39;386;6;15;8;0;42;69;40;180;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;40;404;3;11;17;0;41;51;39;162;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;41;384;5;18;8;0;44;65;41;181;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;42;383;5;21;15;0;55;75;26;197;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;43;393;4;22;4;0;43;78;44;195;2
252;Montarville;2022-10-03;G;Boucherville, v;4;;44;398;7;24;0;2;46;81;52;212;0
252;Montarville;2022-10-03;G;Boucherville, v;4;;45;378;5;8;15;3;24;77;43;175;4
252;Montarville;2022-10-03;G;Boucherville, v;4;;46;389;2;11;16;0;26;55;43;153;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;47;391;5;15;13;2;43;65;33;176;2
252;Montarville;2022-10-03;G;Boucherville, v;4;;48;402;1;28;9;0;37;59;41;175;0
252;Montarville;2022-10-03;G;Boucherville, v;4;;49;405;3;20;7;1;38;89;37;195;1
252;Montarville;2022-10-03;G;Boucherville, v;4;;50;395;8;18;9;2;54;72;27;190;2
252;Montarville;2022-10-03;G;Boucherville, v;5;;51;396;3;22;4;3;36;95;23;186;1
252;Montarville;2022-10-03;G;Boucherville, v;5;;52;377;3;20;6;1;35;71;34;170;0
252;Montarville;2022-10-03;G;Boucherville, v;5;;53;367;2;22;8;0;33;73;30;168;7
252;Montarville;2022-10-03;G;Boucherville, v;5;;54;370;1;16;4;0;45;88;32;186;2
252;Montarville;2022-10-03;G;Boucherville, v;5;;55;373;4;15;7;1;42;102;19;190;0
252;Montarville;2022-10-03;G;Boucherville, v;5;;56;384;3;29;15;1;28;96;37;209;2
252;Montarville;2022-10-03;G;Boucherville, v;5;;57;379;2;24;3;2;39;80;39;189;3
252;Montarville;2022-10-03;G;Boucherville, v;5;;58;376;3;18;8;0;40;87;26;182;3
252;Montarville;2022-10-03;G;Boucherville, v;5;;59;360;1;26;12;0;33;84;26;182;2
252;Montarville;2022-10-03;G;Boucherville, v;5;;60;379;1;20;12;0;26;81;28;168;1
252;Montarville;2022-10-03;G;Boucherville, v;5;;61;394;3;11;11;1;41;108;24;199;1
252;Montarville;2022-10-03;G;Boucherville, v;5;;62;374;3;23;7;0;24;99;31;187;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;63;372;0;21;1;0;31;64;8;125;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;64;386;0;22;2;0;22;51;8;105;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;65;393;1;21;0;0;20;75;11;128;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;66A;220;0;20;8;0;22;32;10;92;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;66B;220;0;9;9;0;11;35;6;70;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;67;391;0;17;4;0;34;95;19;169;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;68;417;4;43;13;0;35;115;27;237;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;69;401;1;29;27;0;27;97;25;206;2
252;Montarville;2022-10-03;G;Boucherville, v;6;;70;387;5;33;27;1;23;93;9;191;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;71;391;4;29;8;0;25;93;18;177;2
252;Montarville;2022-10-03;G;Boucherville, v;6;;72;371;0;19;14;0;34;75;27;169;2
252;Montarville;2022-10-03;G;Boucherville, v;6;;73;376;0;20;11;0;34;84;24;173;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;74;363;3;12;11;0;33;60;18;137;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;75;371;3;23;9;0;25;86;30;176;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;76;388;7;27;11;1;29;65;25;165;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;77;373;2;9;6;0;33;86;20;156;3
252;Montarville;2022-10-03;G;Boucherville, v;6;;78;387;1;34;5;0;31;97;37;205;0
252;Montarville;2022-10-03;G;Boucherville, v;6;;79;343;2;16;2;0;25;80;24;149;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;80;372;6;30;9;0;29;81;27;182;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;81;387;6;20;4;0;27;103;40;200;1
252;Montarville;2022-10-03;G;Boucherville, v;6;;82;382;2;18;9;0;40;76;28;173;2
252;Montarville;2022-10-03;G;Boucherville, v;6;;83;358;3;17;18;0;22;71;22;153;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;84;394;2;33;10;0;39;98;29;211;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;85;407;7;51;13;0;25;90;36;222;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;86;372;4;19;20;3;37;71;31;185;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;87;391;2;31;13;1;29;69;56;201;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;88;382;2;56;14;1;38;73;28;212;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;89;409;1;29;13;0;32;94;21;190;4
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;90;391;0;23;20;1;45;81;52;222;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;91;383;6;39;11;1;39;87;38;221;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;92;388;3;40;9;0;27;69;38;186;5
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;1;;93;394;4;43;15;0;28;67;35;192;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;94;360;3;24;19;0;27;59;31;163;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;95;379;0;42;19;1;31;59;37;189;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;96;383;3;34;13;0;33;70;50;203;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;97;358;6;16;15;0;52;85;32;206;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;98;370;3;16;13;0;45;79;33;189;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;99;356;4;18;4;1;43;65;28;163;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;100;384;2;32;12;0;26;74;41;187;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;101;363;0;14;19;0;37;63;38;171;4
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;102;354;2;28;14;1;27;60;36;168;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;103;359;8;38;8;0;29;60;44;187;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;104;362;5;19;17;0;25;64;38;168;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;2;;105;389;4;32;17;1;25;59;30;168;7
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;106;389;4;29;16;2;30;68;48;197;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;107;383;3;39;16;1;30;69;42;200;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;108;407;6;32;18;1;32;76;38;203;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;109;398;6;22;9;0;40;66;27;170;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;110;380;3;14;6;2;29;67;26;147;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;111;372;1;22;13;1;25;65;28;155;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;112;396;0;40;12;0;33;64;33;182;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;113;396;2;21;14;0;17;119;18;191;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;114;396;4;43;17;0;28;86;36;214;4
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;3;;115;388;3;42;17;0;21;77;22;182;3
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;116;402;4;35;10;2;18;104;26;199;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;117;400;1;20;8;1;28;92;23;173;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;118;378;4;30;18;3;23;99;17;194;1
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;119;414;3;34;13;2;49;85;44;230;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;120;393;2;42;10;2;34;57;34;181;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;121;379;6;22;9;1;34;83;29;184;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;122;395;3;31;6;0;39;81;24;184;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;123;384;3;32;1;1;26;86;25;174;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;124;398;4;39;12;0;49;90;47;241;2
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;125;388;2;25;11;2;46;76;48;210;0
252;Montarville;2022-10-03;G;Saint-Bruno-de-Montarville, v;4;;126;392;5;41;9;5;32;78;37;207;2
