Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bédard Jean P.M.L.Q.;Bélanger Annie-Pierre Q.S.;Berri Mustapha P.L.Q./Q.L.P.;Bouchard Mylene P.C.Q-E.E.D.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François C.A.Q.-E.F.L.;Therrien Cynthia P.Q.;B.V.;B.R.
742;Montmorency;2022-10-03;G;Québec, v;128;;1;395;0;29;15;37;21;26;13;141;2
742;Montmorency;2022-10-03;G;Québec, v;128;;2;310;1;32;11;28;0;32;15;119;2
742;Montmorency;2022-10-03;G;Québec, v;128;;3;321;0;10;1;22;1;38;16;88;3
742;Montmorency;2022-10-03;G;Québec, v;128;;4;333;0;16;5;50;1;50;13;135;2
742;Montmorency;2022-10-03;G;Québec, v;128;;5;340;0;15;8;40;3;39;11;116;2
742;Montmorency;2022-10-03;G;Québec, v;128;;6;354;1;13;0;42;2;59;10;127;3
742;Montmorency;2022-10-03;G;Québec, v;128;;7;350;1;28;5;40;2;59;15;150;3
742;Montmorency;2022-10-03;G;Québec, v;128;;8;368;0;20;10;55;1;40;15;141;1
742;Montmorency;2022-10-03;G;Québec, v;128;;9A;256;0;8;3;11;1;41;10;74;1
742;Montmorency;2022-10-03;G;Québec, v;128;;9B;259;0;9;6;22;2;40;15;94;3
742;Montmorency;2022-10-03;G;Québec, v;128;;10;362;0;27;13;35;0;60;15;150;1
742;Montmorency;2022-10-03;G;Québec, v;128;;11;331;0;15;9;26;1;52;16;119;3
742;Montmorency;2022-10-03;G;Québec, v;128;;12;372;0;22;10;18;0;63;21;134;1
742;Montmorency;2022-10-03;G;Québec, v;129;;13;378;0;22;6;33;0;80;12;153;5
742;Montmorency;2022-10-03;G;Québec, v;129;;14;387;0;36;10;34;0;37;13;130;1
742;Montmorency;2022-10-03;G;Québec, v;129;;15;388;0;23;18;26;2;57;19;145;1
742;Montmorency;2022-10-03;G;Québec, v;129;;16;363;1;34;12;28;2;55;20;152;0
742;Montmorency;2022-10-03;G;Québec, v;129;;17;388;0;51;10;28;0;56;33;178;1
742;Montmorency;2022-10-03;G;Québec, v;129;;18;409;0;36;8;37;3;63;33;180;6
742;Montmorency;2022-10-03;G;Québec, v;129;;19;375;0;29;10;29;1;62;36;167;0
742;Montmorency;2022-10-03;G;Québec, v;129;;20;403;0;35;11;35;1;58;30;170;0
742;Montmorency;2022-10-03;G;Québec, v;129;;21;398;0;37;4;36;1;45;27;150;1
742;Montmorency;2022-10-03;G;Québec, v;129;;22;393;1;41;5;29;6;55;21;158;3
742;Montmorency;2022-10-03;G;Québec, v;129;;23;389;0;28;10;48;1;39;14;140;3
742;Montmorency;2022-10-03;G;Québec, v;129;;24;387;0;23;10;35;2;42;21;133;2
742;Montmorency;2022-10-03;G;Québec, v;129;;25;378;0;13;5;16;2;49;30;115;0
742;Montmorency;2022-10-03;G;Québec, v;129;;26;421;0;27;7;47;2;41;19;143;2
742;Montmorency;2022-10-03;G;Québec, v;129;;27;391;0;32;7;33;0;53;19;144;3
742;Montmorency;2022-10-03;G;Québec, v;130;;28;351;0;40;8;29;4;32;14;127;2
742;Montmorency;2022-10-03;G;Québec, v;130;;29;353;0;38;17;35;1;36;10;137;6
742;Montmorency;2022-10-03;G;Québec, v;130;;30;361;0;34;5;35;1;50;26;151;0
742;Montmorency;2022-10-03;G;Québec, v;130;;31A;305;0;20;9;14;0;41;7;91;0
742;Montmorency;2022-10-03;G;Québec, v;130;;31B;281;0;7;6;18;0;48;15;94;1
742;Montmorency;2022-10-03;G;Québec, v;130;;32;350;0;7;8;22;1;61;11;110;3
742;Montmorency;2022-10-03;G;Québec, v;130;;33;349;0;11;7;37;0;65;11;131;1
742;Montmorency;2022-10-03;G;Québec, v;130;;34;365;0;23;11;43;2;77;22;178;4
742;Montmorency;2022-10-03;G;Québec, v;130;;35;356;0;21;9;33;1;57;20;141;2
742;Montmorency;2022-10-03;G;Québec, v;130;;36;358;0;19;14;38;0;61;19;151;2
742;Montmorency;2022-10-03;G;Québec, v;130;;37;379;0;14;9;53;0;80;21;177;0
742;Montmorency;2022-10-03;G;Québec, v;130;;38;361;0;17;7;44;1;64;24;157;2
742;Montmorency;2022-10-03;G;Québec, v;130;;39;378;0;18;16;25;3;85;24;171;0
742;Montmorency;2022-10-03;G;Québec, v;130;;40;374;1;25;3;27;0;74;23;153;1
742;Montmorency;2022-10-03;G;Québec, v;130;;41;361;1;26;16;45;2;48;18;156;1
742;Montmorency;2022-10-03;G;Québec, v;130;;42;372;0;19;11;41;0;47;15;133;3
742;Montmorency;2022-10-03;G;Québec, v;130;;43;366;1;30;13;38;1;43;20;146;5
742;Montmorency;2022-10-03;G;Québec, v;130;;44;367;1;31;8;45;1;63;16;165;2
742;Montmorency;2022-10-03;G;Québec, v;130;;45;344;1;12;8;19;1;47;14;102;0
742;Montmorency;2022-10-03;G;Québec, v;130;;46;373;0;20;11;24;0;51;24;130;7
742;Montmorency;2022-10-03;G;Québec, v;131;;47;348;0;24;17;32;1;73;14;161;6
742;Montmorency;2022-10-03;G;Québec, v;131;;48;356;1;26;8;33;2;86;24;180;1
742;Montmorency;2022-10-03;G;Québec, v;131;;49;368;2;39;11;40;2;46;18;158;0
742;Montmorency;2022-10-03;G;Québec, v;131;;50;331;0;29;5;32;1;67;22;156;4
742;Montmorency;2022-10-03;G;Québec, v;131;;51;355;0;19;7;26;0;65;25;142;4
742;Montmorency;2022-10-03;G;Québec, v;131;;52;350;0;20;12;43;0;52;21;148;2
742;Montmorency;2022-10-03;G;Québec, v;131;;53;336;0;20;9;23;1;34;14;101;0
742;Montmorency;2022-10-03;G;Québec, v;132;;54;398;0;34;10;37;0;64;24;169;1
742;Montmorency;2022-10-03;G;Québec, v;132;;55;377;1;16;7;35;2;61;21;143;0
742;Montmorency;2022-10-03;G;Québec, v;132;;56;396;0;33;5;37;1;81;16;173;3
742;Montmorency;2022-10-03;G;Québec, v;132;;57;397;0;35;5;41;0;73;22;176;1
742;Montmorency;2022-10-03;G;Québec, v;132;;58;399;0;26;6;30;0;81;26;169;1
742;Montmorency;2022-10-03;G;Québec, v;132;;59;387;1;25;19;36;2;64;20;167;3
742;Montmorency;2022-10-03;G;Québec, v;132;;60;367;0;19;5;25;2;54;16;121;2
742;Montmorency;2022-10-03;G;Québec, v;132;;61;387;1;34;8;40;0;50;24;157;1
742;Montmorency;2022-10-03;G;Québec, v;132;;62;419;0;15;10;41;2;84;25;177;2
742;Montmorency;2022-10-03;G;Québec, v;132;;63;382;0;33;7;55;2;53;15;165;1
742;Montmorency;2022-10-03;G;Québec, v;132;;64;370;0;22;13;40;1;72;9;157;0
742;Montmorency;2022-10-03;G;Québec, v;132;;65;385;1;15;7;44;1;51;14;133;3
742;Montmorency;2022-10-03;G;Québec, v;132;;66;380;1;41;11;34;2;63;19;171;3
742;Montmorency;2022-10-03;G;Québec, v;133;;67;414;0;38;11;45;2;82;29;207;6
742;Montmorency;2022-10-03;G;Québec, v;133;;68A;218;0;17;5;21;0;32;14;89;1
742;Montmorency;2022-10-03;G;Québec, v;133;;68B;218;0;12;4;28;1;45;19;109;2
742;Montmorency;2022-10-03;G;Québec, v;133;;69;406;0;11;8;26;0;97;37;179;3
742;Montmorency;2022-10-03;G;Québec, v;133;;70;399;0;20;9;34;2;109;21;195;2
742;Montmorency;2022-10-03;G;Québec, v;133;;71;389;1;21;7;44;1;109;13;196;3
742;Montmorency;2022-10-03;G;Québec, v;133;;72;396;0;16;9;43;1;84;19;172;0
742;Montmorency;2022-10-03;G;Québec, v;133;;73;377;0;18;9;46;5;77;32;187;5
742;Montmorency;2022-10-03;G;Québec, v;133;;74;412;0;19;7;43;2;71;24;166;1
742;Montmorency;2022-10-03;G;Québec, v;134;;75;370;1;17;8;39;1;83;26;175;6
742;Montmorency;2022-10-03;G;Québec, v;134;;76;406;0;18;12;35;2;75;19;161;5
742;Montmorency;2022-10-03;G;Québec, v;134;;77;367;0;25;4;33;1;62;22;147;2
742;Montmorency;2022-10-03;G;Québec, v;134;;78;376;0;31;5;39;0;62;29;166;1
742;Montmorency;2022-10-03;G;Québec, v;134;;79;383;1;20;2;51;1;60;18;153;1
742;Montmorency;2022-10-03;G;Québec, v;134;;80;375;2;27;17;37;0;66;22;171;2
742;Montmorency;2022-10-03;G;Québec, v;134;;81;385;0;11;5;27;1;79;28;151;4
742;Montmorency;2022-10-03;G;Québec, v;135;;82;368;0;23;7;25;3;74;18;150;0
742;Montmorency;2022-10-03;G;Québec, v;135;;83;387;0;20;8;43;0;69;17;157;1
742;Montmorency;2022-10-03;G;Québec, v;135;;84;377;1;13;11;20;3;88;20;156;1
742;Montmorency;2022-10-03;G;Québec, v;135;;85;375;0;27;5;36;1;83;29;181;3
742;Montmorency;2022-10-03;G;Québec, v;135;;86;386;0;31;11;31;0;77;16;166;4
742;Montmorency;2022-10-03;G;Québec, v;135;;87;390;1;21;12;59;1;79;14;187;3
742;Montmorency;2022-10-03;G;Québec, v;136;;88;392;0;18;6;31;1;92;28;176;1
742;Montmorency;2022-10-03;G;Québec, v;136;;89;395;0;10;6;42;0;81;20;159;4
742;Montmorency;2022-10-03;G;Québec, v;136;;90;370;0;18;0;42;2;54;14;130;4
742;Montmorency;2022-10-03;G;Québec, v;136;;91;413;1;23;10;42;0;63;29;168;2
742;Montmorency;2022-10-03;G;Québec, v;136;;92;388;1;17;10;41;1;48;19;137;1
742;Montmorency;2022-10-03;G;Québec, v;136;;93;390;0;24;7;39;1;78;19;168;1
742;Montmorency;2022-10-03;G;Québec, v;137;;94;372;0;18;10;34;2;49;20;133;3
742;Montmorency;2022-10-03;G;Québec, v;137;;95;371;1;10;6;19;1;89;18;144;1
742;Montmorency;2022-10-03;G;Québec, v;137;;96;364;0;19;8;31;1;90;18;167;2
742;Montmorency;2022-10-03;G;Québec, v;137;;97;363;0;18;12;37;2;84;22;175;1
742;Montmorency;2022-10-03;G;Québec, v;137;;98;387;0;15;6;49;2;65;21;158;6
742;Montmorency;2022-10-03;G;Québec, v;137;;99;375;0;15;10;21;0;82;20;148;1
742;Montmorency;2022-10-03;G;Québec, v;137;;100;371;0;31;6;19;0;82;29;167;1
742;Montmorency;2022-10-03;G;Québec, v;137;;101;367;0;34;13;34;3;53;19;156;6
742;Montmorency;2022-10-03;G;Québec, v;137;;102;369;1;18;16;27;0;63;16;141;0
742;Montmorency;2022-10-03;G;Québec, v;138;;103;365;0;18;5;40;0;47;20;130;4
742;Montmorency;2022-10-03;G;Québec, v;138;;104;371;0;21;16;43;1;62;17;160;3
742;Montmorency;2022-10-03;G;Québec, v;138;;105;387;0;19;9;38;0;52;24;142;4
742;Montmorency;2022-10-03;G;Québec, v;138;;106;377;0;14;4;38;1;59;15;131;1
742;Montmorency;2022-10-03;G;Québec, v;138;;107;361;0;26;9;29;1;46;11;122;2
742;Montmorency;2022-10-03;G;Québec, v;139;;108;395;0;28;14;44;1;70;16;173;3
742;Montmorency;2022-10-03;G;Québec, v;139;;109A;277;0;27;1;41;2;49;17;137;0
742;Montmorency;2022-10-03;G;Québec, v;139;;109B;276;0;20;8;49;0;64;11;152;3
742;Montmorency;2022-10-03;G;Québec, v;139;;110;415;0;17;13;65;0;94;15;204;7
742;Montmorency;2022-10-03;G;Québec, v;139;;111;392;0;34;11;57;0;59;16;177;7
742;Montmorency;2022-10-03;G;Québec, v;139;;112;389;0;22;8;55;2;68;24;179;1
742;Montmorency;2022-10-03;G;Québec, v;139;;113;408;0;20;3;50;0;65;12;150;3
742;Montmorency;2022-10-03;G;Québec, v;139;;114;376;0;22;6;38;2;65;21;154;2
742;Montmorency;2022-10-03;G;Québec, v;139;;115;400;1;21;16;54;4;89;16;201;3
742;Montmorency;2022-10-03;G;Québec, v;139;;116;402;0;13;17;51;0;75;22;178;2
742;Montmorency;2022-10-03;G;Québec, v;140;;117;377;0;14;8;49;1;52;25;149;3
742;Montmorency;2022-10-03;G;Québec, v;140;;118;403;0;8;9;66;1;58;14;156;2
742;Montmorency;2022-10-03;G;Québec, v;140;;119;372;0;10;3;74;0;65;14;166;2
742;Montmorency;2022-10-03;G;Québec, v;140;;120A;217;0;13;4;32;1;19;11;80;3
742;Montmorency;2022-10-03;G;Québec, v;140;;120B;230;0;17;8;31;1;44;12;113;0
742;Montmorency;2022-10-03;G;Québec, v;140;;121;379;1;19;6;66;4;70;18;184;4
742;Montmorency;2022-10-03;G;Québec, v;140;;122;357;0;16;14;54;3;55;11;153;3
742;Montmorency;2022-10-03;G;Québec, v;140;;123;398;0;24;5;77;1;77;27;211;4
742;Montmorency;2022-10-03;G;Québec, v;140;;124;379;0;21;4;52;0;76;19;172;3
742;Montmorency;2022-10-03;G;Québec, v;140;;125;373;0;22;8;49;1;79;11;170;0
742;Montmorency;2022-10-03;G;Québec, v;141;;126;396;1;18;11;35;0;66;12;143;1
742;Montmorency;2022-10-03;G;Québec, v;141;;127A;229;0;12;1;30;0;47;17;107;0
742;Montmorency;2022-10-03;G;Québec, v;141;;127B;199;0;7;3;13;3;43;7;76;2
742;Montmorency;2022-10-03;G;Québec, v;141;;128;407;1;29;9;46;3;65;17;170;0
742;Montmorency;2022-10-03;G;Québec, v;141;;129;353;0;20;5;37;4;59;10;135;4
742;Montmorency;2022-10-03;G;Québec, v;141;;130;386;0;26;6;30;0;72;29;163;0
742;Montmorency;2022-10-03;G;Québec, v;141;;131;397;0;19;5;39;0;69;7;139;3
742;Montmorency;2022-10-03;G;Québec, v;141;;132;371;1;18;11;60;1;69;19;179;4
742;Montmorency;2022-10-03;G;Québec, v;141;;133;386;0;11;4;55;3;73;16;162;4
742;Montmorency;2022-10-03;G;Québec, v;141;;134;359;0;12;3;45;1;43;23;127;2
742;Montmorency;2022-10-03;G;Québec, v;141;;135;411;0;11;12;87;1;73;18;202;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;136;420;0;25;1;81;1;43;19;170;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;137;422;0;17;7;87;1;38;18;168;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;138A;221;1;12;7;38;0;35;7;100;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;138B;210;1;13;3;41;1;28;9;96;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;139A;222;0;12;1;41;1;28;11;94;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;139B;211;0;10;4;37;0;18;9;78;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;140;396;0;21;9;60;3;57;17;167;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;1;;141;411;0;26;2;58;0;50;16;152;4
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;142;402;1;22;3;79;1;38;21;165;2
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;143;356;0;23;4;71;1;69;14;182;2
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;144;372;2;16;3;63;1;41;9;135;3
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;145A;220;0;20;2;51;0;26;12;111;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;145B;210;0;11;2;37;0;20;5;75;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;146;376;0;21;5;83;0;41;9;159;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;147;384;0;10;11;81;4;41;11;158;9
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;148;376;0;21;7;51;3;50;16;148;0
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;149;365;1;12;4;60;1;45;12;135;1
742;Montmorency;2022-10-03;G;Sainte-Brigitte-de-Laval, v;2;;150;360;0;20;3;67;0;65;19;174;3
742;Montmorency;2022-10-03;G;Québec, v;129;Regr. BVO-16;500;28;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Québec, v;129;Regr. BVO-22;501;38;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Québec, v;132;Regr. BVO-61;502;76;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Québec, v;132;Regr. BVO-60;503;62;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Québec, v;135;Regr. BVO-85;504;67;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;Québec, v;138;Regr. BVO-106;505;45;0;0;0;0;0;0;0;0;0
742;Montmorency;2022-10-03;G;BVA1: SV no 1 à 7;;;;0;1;43;19;158;1;294;48;564;1
742;Montmorency;2022-10-03;G;BVA2: SV no 8 à 13;;;;0;1;51;49;86;3;396;101;687;3
742;Montmorency;2022-10-03;G;BVA3: SV no 14 à 19;;;;0;0;102;42;131;3;315;85;678;6
742;Montmorency;2022-10-03;G;BVA4: SV no 20 à 25;;;;0;1;67;36;134;0;350;85;673;7
742;Montmorency;2022-10-03;G;BVA5: SV no 26 à 31;;;;0;2;89;60;132;4;400;88;775;6
742;Montmorency;2022-10-03;G;BVA6: SV no 32 à 38;;;;0;0;40;19;175;3;414;75;726;3
742;Montmorency;2022-10-03;G;BVA7: SV no 39 à 44;;;;0;1;61;32;148;1;363;76;682;8
742;Montmorency;2022-10-03;G;BVA8: SV no 45 à 49;;;;0;0;61;22;117;4;258;67;529;1
742;Montmorency;2022-10-03;G;BVA9: SV no 50 à 55;;;;0;0;69;26;150;2;360;94;701;7
742;Montmorency;2022-10-03;G;BVA10: SV no 56 à 60;;;;0;0;62;6;116;5;338;62;589;4
742;Montmorency;2022-10-03;G;BVA11: SV no 61 à 65;;;;0;0;49;21;129;5;231;39;474;8
742;Montmorency;2022-10-03;G;BVA12: SV no 66 à 71;;;;0;0;52;21;129;3;395;79;679;0
742;Montmorency;2022-10-03;G;BVA13: SV no 72 à 77;;;;0;1;44;19;170;3;432;60;729;5
