Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumas Philippe P.Q.;Jacques Marie-Josée P.L.Q./Q.L.P.;Lyonnais Mario P.C.Q-E.E.D.;Martel Donald C.A.Q.-E.F.L.;Thériault Watso Jacques Q.S.;B.V.;B.R.
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;1A;241;18;3;25;58;18;122;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;1B;200;7;3;23;18;5;56;0
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;2A;250;17;3;21;39;24;104;2
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;2B;282;25;5;29;39;22;120;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;3;366;38;6;57;112;15;228;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;4;358;30;7;39;90;22;188;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;5A;221;23;5;15;56;17;116;2
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;1;;5B;223;17;5;17;59;16;114;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;6;405;42;17;29;109;21;218;3
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;7A;220;26;11;22;62;14;135;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;7B;206;23;6;19;59;12;119;2
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;8;414;46;5;44;99;17;211;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;9;382;27;12;31;83;33;186;3
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;10A;264;35;5;49;43;18;150;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;10B;286;32;13;25;77;12;159;3
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;11;409;37;12;56;116;30;251;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;12;408;54;10;49;97;32;242;5
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;13;380;40;9;44;109;10;212;7
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;2;;14;408;35;8;44;117;18;222;6
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;3;;15;396;43;11;41;87;10;192;1
