Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Eappen Roy P.C.Q-E.E.D.;Eliadis Constantine P.C.Q./C.P.Q;Hoffman Rachel P.M.L.Q.;Holness Balarama B.M.-E.B.H.;Jenneau Cloé Rose P.Q.;Labelle Élisabeth Q.S.;Lemay Geneviève C.A.Q.-E.F.L.;McGraw Désirée P.L.Q./Q.L.P.;Tyrrell Alex P.V.Q./G.P.Q.;B.V.;B.R.
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;1;326;16;16;1;22;1;4;0;120;2;182;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;2;321;26;5;0;8;0;8;7;76;8;138;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;3;327;24;15;0;6;1;14;13;122;4;199;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;4;302;15;6;0;11;3;4;7;92;4;142;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;5;302;26;6;1;16;2;7;2;90;5;155;2
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;1;;6;286;11;6;0;17;3;16;3;89;5;150;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;2;;7;374;11;7;0;9;4;13;9;109;13;175;3
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;2;;8;362;13;5;0;10;3;17;5;114;7;174;5
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;2;;9;380;18;13;0;19;3;22;8;110;6;199;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;2;;10;373;26;7;0;19;3;22;13;108;8;206;0
324;Notre-Dame-de-Grâce;2022-10-03;G;Montréal-Ouest, v;2;;11;356;15;10;0;14;1;7;5;97;3;152;2
