Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Yves P.C.Q-E.E.D.;Chandonnet Louis E.A.;Desjardins Jocelyn P.Q.;Di Pardo Alex P.V.Q./G.P.Q.;Jeune Byanca P.L.Q./Q.L.P.;Michaud Marc C.Q.;Rouleau Chantal C.A.Q.-E.F.L.;Royer Geneviève P.M.L.Q.;Tremblay-Pepin Simon Q.S.;B.V.;B.R.
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;1;386;11;0;29;2;19;0;77;0;25;163;1
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;2;359;14;0;15;4;22;1;43;0;33;132;3
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;3;388;14;0;16;1;24;1;22;0;20;98;3
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;4A;206;10;0;11;1;3;1;19;0;19;64;2
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;4B;228;6;1;30;0;5;1;27;0;26;96;0
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;5;384;23;0;24;4;13;0;59;0;35;158;0
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;6;411;27;0;20;2;21;0;41;0;36;147;6
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;7;368;10;0;27;2;15;2;57;1;28;142;2
380;Pointe-aux-Trembles;2022-10-03;G;Montréal-Est, v;1;;8;399;11;0;35;2;19;0;61;0;24;152;1
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;9;332;5;0;19;5;17;0;55;0;22;123;2
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;10;330;19;0;35;1;10;0;36;0;22;123;2
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;11;365;12;0;40;0;14;2;65;0;10;143;6
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;12;348;10;0;27;4;23;0;60;0;21;145;7
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;13;364;13;0;21;2;4;1;68;0;14;123;1
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;14;346;17;0;27;3;7;2;52;1;27;136;2
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;385;;15;352;18;0;21;2;6;0;58;0;28;133;4
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;386;;16;361;8;0;37;3;7;0;66;0;24;145;3
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;386;;17;364;16;0;42;1;16;1;53;0;25;154;5
380;Pointe-aux-Trembles;2022-10-03;G;Montréal, v;386;;18;356;12;0;36;4;33;0;51;0;29;165;4
