Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve P.C.Q-E.E.D.;Bourson Patrick Ind;Caron Vincent C.A.Q.-E.F.L.;Hayes Patrick P.L.Q./Q.L.P.;Mc Cabe Alexandre P.Q.;Melançon Anne-Marie Q.S.;Simard Karine D.D.;B.V.;B.R.
714;Portneuf;2022-10-03;G;Saint-Ubalde, m;1;;1;389;59;4;136;6;25;21;0;251;1
714;Portneuf;2022-10-03;G;Saint-Ubalde, m;1;;2;389;43;1;128;5;26;21;0;224;1
714;Portneuf;2022-10-03;G;Saint-Ubalde, m;1;;3;383;54;2;141;10;24;18;0;249;4
714;Portneuf;2022-10-03;G;Saint-Thuribe, p;1;;4;238;36;0;69;3;15;15;0;138;3
714;Portneuf;2022-10-03;G;Saint-Casimir, m;1;;5;374;49;2;76;8;19;13;0;167;0
714;Portneuf;2022-10-03;G;Saint-Casimir, m;1;;6;385;41;1;79;5;18;17;2;163;1
714;Portneuf;2022-10-03;G;Saint-Casimir, m;1;;7;377;43;1;70;1;24;31;0;170;2
714;Portneuf;2022-10-03;G;Deschambault-Grondines, m;1;;8;309;56;0;66;2;29;34;0;187;1
714;Portneuf;2022-10-03;G;Deschambault-Grondines, m;1;;9;301;50;1;58;2;25;45;1;182;2
714;Portneuf;2022-10-03;G;Deschambault-Grondines, m;2;;10;399;53;2;62;11;28;48;0;204;3
714;Portneuf;2022-10-03;G;Deschambault-Grondines, m;2;;11;399;77;0;83;6;20;49;0;235;0
714;Portneuf;2022-10-03;G;Deschambault-Grondines, m;2;;12;393;61;1;83;3;27;23;1;199;0
714;Portneuf;2022-10-03;G;Saint-Gilbert, p;1;;13;238;52;0;53;7;11;13;0;136;3
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;14;392;67;1;77;4;19;11;1;180;5
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;15;381;48;3;98;7;12;12;0;180;2
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;16;410;39;2;72;8;27;9;1;158;2
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;17;376;48;1;85;9;15;9;0;167;0
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;18;378;64;3;71;4;20;7;0;169;0
714;Portneuf;2022-10-03;G;Saint-Marc-des-Carrières, v;1;;19;392;39;2;97;2;19;8;1;168;0
714;Portneuf;2022-10-03;G;Saint-Alban, m;1;;20;334;48;2;80;4;12;12;0;158;2
714;Portneuf;2022-10-03;G;Saint-Alban, m;1;;21;339;50;1;61;0;23;18;0;153;7
714;Portneuf;2022-10-03;G;Saint-Alban, m;1;;22;327;74;1;50;1;7;20;0;153;3
714;Portneuf;2022-10-03;G;Saint-Alban, m;2;Regr. BVO-3;23;10;0;0;0;0;0;0;0;0;0
714;Portneuf;2022-10-03;G;Sainte-Christine-d'Auvergne, m;1;;24;274;44;1;69;0;17;13;0;144;0
714;Portneuf;2022-10-03;G;Sainte-Christine-d'Auvergne, m;1;;25;268;52;1;71;0;16;13;0;153;0
714;Portneuf;2022-10-03;G;Portneuf, v;1;;26;394;63;4;101;4;21;19;1;213;3
714;Portneuf;2022-10-03;G;Portneuf, v;1;;27;398;75;1;84;8;30;20;0;218;2
714;Portneuf;2022-10-03;G;Portneuf, v;1;;28;400;72;2;123;8;25;13;1;244;2
714;Portneuf;2022-10-03;G;Portneuf, v;1;;29;395;50;3;86;6;31;15;0;191;1
714;Portneuf;2022-10-03;G;Portneuf, v;1;;30;376;43;4;81;6;16;19;0;169;3
714;Portneuf;2022-10-03;G;Portneuf, v;1;;31;387;71;2;79;4;20;22;0;198;3
714;Portneuf;2022-10-03;G;Portneuf, v;1;;32;383;56;4;96;3;23;23;0;205;1
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;33;398;53;2;70;11;21;17;2;176;3
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;34;405;75;2;82;4;21;14;0;198;6
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;35;395;39;2;80;3;33;18;1;176;0
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;36;393;64;2;82;4;31;21;0;204;2
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;37;410;69;5;84;12;24;23;0;217;6
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;38;392;77;0;85;5;10;14;0;191;3
714;Portneuf;2022-10-03;G;Cap-Santé, v;1;;39;392;74;4;91;9;22;17;0;217;2
714;Portneuf;2022-10-03;G;Donnacona, v;1;;40;365;40;1;50;3;19;17;0;130;1
714;Portneuf;2022-10-03;G;Donnacona, v;1;;41;350;45;3;41;8;12;12;0;121;1
714;Portneuf;2022-10-03;G;Donnacona, v;1;;42;350;38;3;57;20;16;10;1;145;0
714;Portneuf;2022-10-03;G;Donnacona, v;1;;43;357;47;1;40;1;8;11;1;109;1
714;Portneuf;2022-10-03;G;Donnacona, v;1;;44;355;45;0;52;5;19;17;0;138;2
714;Portneuf;2022-10-03;G;Donnacona, v;1;;45;354;70;1;63;4;9;25;0;172;3
714;Portneuf;2022-10-03;G;Donnacona, v;1;;46;364;33;0;67;10;14;8;0;132;5
714;Portneuf;2022-10-03;G;Donnacona, v;2;;47;371;41;0;55;6;21;11;0;134;5
714;Portneuf;2022-10-03;G;Donnacona, v;2;;48;371;23;1;63;8;23;14;0;132;0
714;Portneuf;2022-10-03;G;Donnacona, v;2;;49;368;64;2;62;5;24;20;0;177;1
714;Portneuf;2022-10-03;G;Donnacona, v;2;;50;358;56;2;69;4;8;19;0;158;2
714;Portneuf;2022-10-03;G;Donnacona, v;2;;51;371;64;3;44;7;22;28;0;168;1
714;Portneuf;2022-10-03;G;Donnacona, v;2;;52;361;62;1;52;3;18;12;0;148;2
714;Portneuf;2022-10-03;G;Donnacona, v;2;;53;371;41;7;83;12;23;13;0;179;1
714;Portneuf;2022-10-03;G;Donnacona, v;2;;54;356;49;3;70;1;11;15;0;149;2
