Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Babin (Philippe) Gilles Ind;Delisle Richard C.Q.;Dufour Tremblay Jeff P.Q.;Duperron Marc P.L.Q./Q.L.P.;Givern-Héroux Audrey Q.S.;Montigny Yves C.A.Q.-E.F.L.;Raymond Marie Renée P.C.Q-E.E.D.;B.V.;B.R.
906;René-Lévesque;2022-10-03;G;Baie-Trinité, vl;1;;1;192;0;1;12;0;1;33;3;50;1
906;René-Lévesque;2022-10-03;G;Baie-Trinité, vl;1;;2;191;0;1;22;1;3;38;0;65;0
906;René-Lévesque;2022-10-03;G;Godbout, vl;1;;3;241;0;1;27;4;6;85;8;131;2
906;René-Lévesque;2022-10-03;G;Franquelin, m;1;;4;253;0;0;35;0;12;79;13;139;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;1;;5;406;1;0;34;0;15;84;21;155;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;1;;6;396;2;0;35;1;17;104;28;187;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;1;;7;394;0;1;38;0;16;93;34;182;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;1;;8;403;0;0;55;3;17;93;24;192;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;2;;9;340;0;0;36;2;18;82;16;154;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;2;;10;341;3;0;29;1;12;71;12;128;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;2;;11;349;0;0;27;1;19;86;14;147;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;2;;12;359;0;0;33;3;14;73;10;133;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;2;;13;350;0;1;29;3;16;73;23;145;4
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;3;;14;372;0;1;36;2;19;96;12;166;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;3;;15;381;0;0;31;1;11;107;11;161;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;3;;16;392;1;0;32;1;19;116;16;185;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;3;;17;379;0;0;30;2;7;91;21;151;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;3;;18;380;0;1;30;0;11;95;21;158;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;4;;19;396;0;0;47;2;17;95;18;179;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;4;;20;399;0;0;45;2;13;112;9;181;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;4;;21;397;0;0;32;3;14;143;8;200;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;4;;22;387;0;0;37;3;12;138;15;205;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;4;;23;388;0;0;29;3;9;114;26;181;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;5;;24;399;0;0;32;7;10;92;27;168;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;5;;25;415;1;1;52;3;22;87;21;187;4
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;5;;26;392;0;0;47;1;8;84;15;155;4
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;5;;27;391;0;0;40;2;17;70;12;141;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;5;;28;397;0;0;35;2;4;83;21;145;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;29;382;2;0;44;3;12;90;12;163;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;30;375;0;2;20;4;13;82;10;131;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;31;369;0;0;28;7;13;88;11;147;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;32;363;0;0;21;1;5;103;8;138;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;33;374;0;0;30;3;16;97;18;164;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;6;;34;370;0;1;25;3;10;101;6;146;2
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;35;373;0;0;35;2;27;75;26;165;5
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;36;360;0;1;36;4;10;94;16;161;1
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;37;358;0;1;28;0;10;105;19;163;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;38;359;0;0;29;2;8;83;28;150;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;39;354;0;0;42;1;15;64;8;130;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;7;;40;377;0;0;37;0;8;72;17;134;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;8;;41;350;1;0;35;2;14;99;15;166;3
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;8;;42;352;1;1;48;3;6;67;14;140;0
906;René-Lévesque;2022-10-03;G;Baie-Comeau, v;8;;43;347;0;0;37;0;12;93;10;152;1
