Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arpin Gabriel P.Q.;Blanchette André D.D.;Dionne David Q.S.;Dionne Marie-Ève P.C.Q-E.E.D.;Émond Jean-Bernard C.A.Q.-E.F.L.;Sauriol Anthony P.L.Q./Q.L.P.;Velasquez Alejandra C.Q.;B.V.;B.R.
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;1;401;21;0;16;18;29;4;2;90;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;2;373;30;0;10;6;49;3;0;98;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;3;344;24;1;26;12;57;3;0;123;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;4;357;19;0;7;7;32;10;0;75;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;5;370;20;0;12;12;44;5;0;93;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;6;362;11;0;23;9;25;4;1;73;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;7;382;23;0;19;10;57;3;2;114;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;1;;8;375;14;1;19;14;53;5;1;107;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;9;375;22;0;10;8;87;1;1;129;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;10A;238;17;0;6;8;57;0;0;88;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;10B;239;15;0;8;2;49;9;0;83;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;11;409;47;0;14;12;95;3;3;174;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;12;374;22;0;18;16;74;11;0;141;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;13;394;15;0;7;12;74;5;2;115;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;14;392;27;0;17;16;75;1;0;136;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;15A;214;17;0;10;12;29;0;1;69;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;2;;15B;214;12;0;6;8;37;3;1;67;4
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;16;368;18;0;18;15;54;7;2;114;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;17;354;31;0;8;19;59;5;0;122;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;18;359;25;1;12;19;80;3;1;141;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;19;354;33;1;13;9;58;3;0;117;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;20A;212;17;0;6;12;50;2;0;87;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;20B;215;24;0;8;9;39;4;0;84;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;21;373;22;0;13;17;73;3;0;128;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;22;344;34;1;17;9;53;1;0;115;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;3;;23;343;29;0;8;11;76;6;0;130;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;24;388;40;0;26;13;73;3;1;156;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;25;392;30;0;9;7;78;5;0;129;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;26;375;40;0;16;15;73;1;1;146;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;27;381;41;0;24;11;79;3;2;160;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;28;360;30;0;26;9;79;6;0;150;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;29;353;29;0;11;13;57;6;1;117;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;30;369;31;0;23;9;71;8;1;143;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;31;424;39;0;27;16;83;3;4;172;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;4;;32;362;28;0;21;16;1;61;2;129;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;33;383;22;0;3;11;74;6;0;116;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;34;417;36;1;23;16;70;6;1;153;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;35;395;44;0;13;18;75;10;1;161;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;36;392;14;0;11;17;63;6;2;113;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;37;402;35;0;20;18;61;5;2;141;7
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;38;405;25;0;19;16;74;6;1;141;4
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;5;;39;414;35;0;21;13;91;5;1;166;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;40;345;29;0;13;18;52;1;0;113;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;41;342;33;0;13;19;70;8;2;145;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;42;349;37;0;24;8;65;1;0;135;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;43;353;29;1;24;9;90;3;0;156;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;44;353;50;0;23;13;80;6;0;172;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;45;332;25;0;18;6;102;8;0;159;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;46;370;30;0;15;18;89;7;0;159;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;47;363;29;0;19;7;77;3;1;136;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;48A;214;20;0;13;11;35;2;1;82;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;6;;48B;216;29;2;6;11;38;0;0;86;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;49A;200;22;0;14;8;36;4;0;84;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;49B;239;22;0;9;12;62;5;0;110;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;50;369;31;0;10;8;103;11;1;164;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;51;402;43;1;22;15;84;5;0;170;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;52;376;47;0;19;15;84;8;0;173;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;53;374;17;1;10;4;54;4;0;90;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;54;342;36;1;14;16;56;12;2;137;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;55;345;30;0;21;11;36;5;2;105;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;56;337;31;0;34;10;55;2;1;133;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;57;381;51;0;24;8;70;5;1;159;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;7;;58;379;22;1;34;9;69;4;0;139;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;8;;59;423;37;1;24;12;90;5;0;169;4
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;8;;60;393;36;0;15;18;93;10;0;172;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;8;;61;408;34;0;20;14;79;8;1;156;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;8;;62;392;36;0;14;14;58;3;1;126;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;8;;63;380;30;0;11;25;80;5;0;151;5
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;9;;64;360;31;0;17;21;48;4;0;121;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;9;;65;358;40;0;28;7;79;5;0;159;4
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;9;;66;343;35;1;22;13;58;7;1;137;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;9;;67;351;29;0;15;12;54;8;0;118;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;9;;68;355;39;0;20;9;70;7;2;147;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;69;356;21;0;16;6;81;5;3;132;2
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;70A;225;15;1;9;9;22;0;0;56;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;70B;202;13;1;16;14;33;5;3;85;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;71;400;31;1;22;16;83;4;0;157;0
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;72;371;25;0;11;18;60;3;1;118;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;73;370;21;0;17;27;65;4;0;134;3
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;74;378;18;1;14;15;40;2;3;93;1
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;75;380;31;0;7;10;49;11;2;110;4
264;Richelieu;2022-10-03;G;Sorel-Tracy, v;10;;76;364;21;2;12;14;37;8;0;94;0
264;Richelieu;2022-10-03;G;Saint-Joseph-de-Sorel, v;1;;77;333;13;3;22;11;30;2;0;81;3
264;Richelieu;2022-10-03;G;Saint-Joseph-de-Sorel, v;1;;78;329;16;0;24;10;50;7;1;108;1
264;Richelieu;2022-10-03;G;Saint-Joseph-de-Sorel, v;1;;79;323;19;0;17;5;45;10;1;97;2
264;Richelieu;2022-10-03;G;Saint-Joseph-de-Sorel, v;1;;80;306;24;2;9;9;43;3;0;90;8
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;81;374;22;0;17;12;75;10;1;137;1
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;82;414;34;0;25;19;94;4;0;176;0
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;83;368;45;0;15;4;81;2;0;147;1
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;84;401;31;0;19;13;100;4;0;167;6
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;85;354;32;0;9;18;73;7;0;139;4
264;Richelieu;2022-10-03;G;Sainte-Anne-de-Sorel, m;1;;86;372;39;0;14;24;70;6;4;157;3
264;Richelieu;2022-10-03;G;Yamaska, m;1;;87;349;41;1;18;18;111;8;1;198;5
264;Richelieu;2022-10-03;G;Yamaska, m;1;;88;337;32;0;9;25;97;8;1;172;4
264;Richelieu;2022-10-03;G;Yamaska, m;1;;89;333;52;0;22;18;85;9;1;187;3
264;Richelieu;2022-10-03;G;Yamaska, m;1;;90;351;31;0;21;14;85;7;2;160;2
264;Richelieu;2022-10-03;G;Saint-Robert, m;1;;91;369;32;2;13;22;56;4;1;130;2
264;Richelieu;2022-10-03;G;Saint-Robert, m;1;;92;372;20;1;15;13;100;4;2;155;2
264;Richelieu;2022-10-03;G;Saint-Robert, m;1;;93;380;25;1;16;19;91;4;0;156;1
264;Richelieu;2022-10-03;G;Saint-Robert, m;1;;94;371;31;0;9;16;71;2;1;130;5
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;95A;197;24;0;11;8;36;3;1;83;2
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;95B;233;31;0;9;12;72;5;0;129;5
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;96;418;36;0;16;21;113;6;0;192;3
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;97;420;62;1;21;19;88;8;2;201;3
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;98;424;24;1;24;20;104;3;0;176;4
264;Richelieu;2022-10-03;G;Sainte-Victoire-de-Sorel, m;1;;99;393;34;0;16;14;65;3;0;132;2
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;100;395;43;0;22;20;75;6;1;167;2
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;101A;294;32;1;28;17;53;10;0;141;2
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;101B;305;29;0;17;22;54;4;2;128;1
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;102;375;46;2;15;21;68;9;0;161;4
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;103;392;38;1;21;26;78;3;2;169;2
264;Richelieu;2022-10-03;G;Saint-Roch-de-Richelieu, m;1;;104;382;34;0;24;21;77;9;4;169;1
264;Richelieu;2022-10-03;G;Saint-Ours, v;1;;105;363;53;0;27;15;91;11;4;201;3
264;Richelieu;2022-10-03;G;Saint-Ours, v;1;;106;388;50;1;24;14;108;10;4;211;0
264;Richelieu;2022-10-03;G;Saint-Ours, v;1;;107;341;43;0;22;18;84;12;1;180;4
