Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Pierre C.Q.;Blanchette Vézina Maïté C.A.Q.-E.F.L.;Du Mesnil Stéphanie P.C.Q-E.E.D.;Gaudreau Danielle Mélanie D.D.;Kack Carol-Ann Q.S.;Laroche Claude P.L.Q./Q.L.P.;Ouellet Samuel P.Q.;B.V.;B.R.
838;Rimouski;2022-10-03;G;Saint-Fabien, p;1;;1;354;1;86;5;0;33;4;54;183;2
838;Rimouski;2022-10-03;G;Saint-Fabien, p;1;;2;363;0;92;3;0;32;7;61;195;1
838;Rimouski;2022-10-03;G;Saint-Fabien, p;1;;3;348;1;64;17;0;24;6;44;156;1
838;Rimouski;2022-10-03;G;Saint-Fabien, p;1;;4;359;0;104;10;0;18;6;45;183;0
838;Rimouski;2022-10-03;G;Saint-Eugène-de-Ladrière, p;1;;5;339;0;85;14;1;19;12;45;176;1
838;Rimouski;2022-10-03;G;Esprit-Saint, m;1;;6;290;0;68;9;0;14;4;68;163;0
838;Rimouski;2022-10-03;G;Lac-Huron, no;1;Regr. BVO-123;7;14;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;La Trinité-des-Monts, p;1;;8;211;1;44;12;2;10;3;52;124;0
838;Rimouski;2022-10-03;G;Saint-Narcisse-de-Rimouski, p;1;;9;277;0;55;7;0;26;4;50;142;5
838;Rimouski;2022-10-03;G;Saint-Narcisse-de-Rimouski, p;1;;10;288;2;76;8;0;25;5;52;168;2
838;Rimouski;2022-10-03;G;Saint-Narcisse-de-Rimouski, p;1;;11;294;0;50;10;0;19;3;49;131;2
838;Rimouski;2022-10-03;G;Saint-Valérien, p;1;;12;357;0;73;16;0;40;4;56;189;3
838;Rimouski;2022-10-03;G;Saint-Valérien, p;1;;13;345;0;103;6;0;39;6;58;212;0
838;Rimouski;2022-10-03;G;Rimouski, v;1;;14;407;0;57;13;0;43;7;64;184;0
838;Rimouski;2022-10-03;G;Rimouski, v;1;;15;396;2;56;3;0;62;6;40;169;1
838;Rimouski;2022-10-03;G;Rimouski, v;1;;16;392;1;59;14;0;64;10;63;211;2
838;Rimouski;2022-10-03;G;Rimouski, v;1;;17;387;0;57;4;0;36;7;70;174;0
838;Rimouski;2022-10-03;G;Rimouski, v;1;;18;392;2;57;3;1;37;1;52;153;2
838;Rimouski;2022-10-03;G;Rimouski, v;1;;19;397;0;67;13;0;32;5;60;177;3
838;Rimouski;2022-10-03;G;Rimouski, v;2;;20;351;0;73;5;0;23;10;49;160;1
838;Rimouski;2022-10-03;G;Rimouski, v;2;;21;374;0;72;7;0;36;4;51;170;0
838;Rimouski;2022-10-03;G;Rimouski, v;2;;22;369;1;61;11;0;37;3;59;172;3
838;Rimouski;2022-10-03;G;Rimouski, v;2;;23;361;0;45;7;0;52;2;55;161;1
838;Rimouski;2022-10-03;G;Rimouski, v;2;;24;354;0;57;5;1;36;5;47;151;0
838;Rimouski;2022-10-03;G;Rimouski, v;2;;25;415;1;54;0;0;54;2;56;167;0
838;Rimouski;2022-10-03;G;Rimouski, v;3;;26;369;0;59;9;1;29;6;46;150;0
838;Rimouski;2022-10-03;G;Rimouski, v;3;;27;368;0;68;6;0;50;2;46;172;0
838;Rimouski;2022-10-03;G;Rimouski, v;3;;28;374;1;63;4;0;36;5;48;157;2
838;Rimouski;2022-10-03;G;Rimouski, v;3;;29;375;2;68;9;0;33;6;44;162;0
838;Rimouski;2022-10-03;G;Rimouski, v;3;;30;360;0;67;3;0;46;8;43;167;1
838;Rimouski;2022-10-03;G;Rimouski, v;4;;31;385;0;64;2;1;24;6;55;152;2
838;Rimouski;2022-10-03;G;Rimouski, v;4;;32;369;1;64;9;0;62;5;59;200;4
838;Rimouski;2022-10-03;G;Rimouski, v;4;;33;382;0;67;4;0;56;1;61;189;1
838;Rimouski;2022-10-03;G;Rimouski, v;4;;34;374;0;78;9;0;38;9;48;182;1
838;Rimouski;2022-10-03;G;Rimouski, v;5;;35;369;1;85;7;0;34;0;63;190;1
838;Rimouski;2022-10-03;G;Rimouski, v;5;;36;375;0;77;7;0;27;7;51;169;2
838;Rimouski;2022-10-03;G;Rimouski, v;5;;37;382;1;70;11;1;45;9;41;178;0
838;Rimouski;2022-10-03;G;Rimouski, v;5;;38;371;0;69;5;0;28;4;47;153;1
838;Rimouski;2022-10-03;G;Rimouski, v;6;;39;367;0;63;8;0;33;2;45;151;3
838;Rimouski;2022-10-03;G;Rimouski, v;6;;40;362;0;75;1;0;29;4;68;177;0
838;Rimouski;2022-10-03;G;Rimouski, v;6;;41;360;1;83;0;0;36;3;62;185;1
838;Rimouski;2022-10-03;G;Rimouski, v;6;;42;371;0;68;7;0;28;2;74;179;0
838;Rimouski;2022-10-03;G;Rimouski, v;6;;43;359;0;61;18;0;32;1;39;151;1
838;Rimouski;2022-10-03;G;Rimouski, v;6;;44;374;0;68;19;1;37;3;61;189;4
838;Rimouski;2022-10-03;G;Rimouski, v;6;;45;393;0;65;17;0;41;1;71;195;1
838;Rimouski;2022-10-03;G;Rimouski, v;7;;46;374;0;51;19;0;50;5;43;168;4
838;Rimouski;2022-10-03;G;Rimouski, v;7;;47;361;2;67;15;0;36;0;79;199;0
838;Rimouski;2022-10-03;G;Rimouski, v;7;;48;378;1;73;17;0;33;4;41;169;1
838;Rimouski;2022-10-03;G;Rimouski, v;7;;49;364;1;57;13;0;31;3;70;175;2
838;Rimouski;2022-10-03;G;Rimouski, v;7;;50;373;0;58;8;0;19;1;65;151;3
838;Rimouski;2022-10-03;G;Rimouski, v;8;;51;390;0;62;8;0;21;5;60;156;0
838;Rimouski;2022-10-03;G;Rimouski, v;8;;52;396;0;98;1;0;24;3;62;188;3
838;Rimouski;2022-10-03;G;Rimouski, v;8;;53;379;2;64;3;0;37;1;41;148;1
838;Rimouski;2022-10-03;G;Rimouski, v;8;;54;380;0;90;7;0;26;8;51;182;2
838;Rimouski;2022-10-03;G;Rimouski, v;8;;55;395;0;41;12;1;35;5;29;123;0
838;Rimouski;2022-10-03;G;Rimouski, v;8;;56;379;1;51;14;0;36;3;41;146;3
838;Rimouski;2022-10-03;G;Rimouski, v;8;;57;389;1;67;6;1;41;4;41;161;4
838;Rimouski;2022-10-03;G;Rimouski, v;9;;58;352;1;70;2;0;28;2;46;149;0
838;Rimouski;2022-10-03;G;Rimouski, v;9;;59;346;0;63;7;0;29;6;35;140;0
838;Rimouski;2022-10-03;G;Rimouski, v;9;;60;346;0;68;0;0;38;7;39;152;0
838;Rimouski;2022-10-03;G;Rimouski, v;10;;61;339;0;76;7;0;37;2;49;171;0
838;Rimouski;2022-10-03;G;Rimouski, v;10;;62;323;0;68;5;2;29;2;48;154;1
838;Rimouski;2022-10-03;G;Rimouski, v;10;;63;321;0;63;4;0;38;1;49;155;0
838;Rimouski;2022-10-03;G;Rimouski, v;10;;64;331;1;71;3;0;32;3;46;156;0
838;Rimouski;2022-10-03;G;Rimouski, v;10;;65;314;0;39;6;0;24;1;26;96;2
838;Rimouski;2022-10-03;G;Rimouski, v;11;;66;400;1;54;7;1;38;8;43;152;3
838;Rimouski;2022-10-03;G;Rimouski, v;11;;67;404;0;38;6;0;57;6;45;152;1
838;Rimouski;2022-10-03;G;Rimouski, v;11;;68;385;0;56;2;0;48;5;47;158;1
838;Rimouski;2022-10-03;G;Rimouski, v;11;;69;401;1;56;3;0;49;6;57;172;5
838;Rimouski;2022-10-03;G;Rimouski, v;11;;70;375;0;41;4;0;52;1;41;139;1
838;Rimouski;2022-10-03;G;Rimouski, v;11;;71;376;0;43;8;0;41;2;41;135;0
838;Rimouski;2022-10-03;G;Rimouski, v;12;;72;322;0;27;6;0;47;2;31;113;0
838;Rimouski;2022-10-03;G;Rimouski, v;12;;73;351;0;30;3;0;48;1;37;119;2
838;Rimouski;2022-10-03;G;Rimouski, v;12;;74;319;1;32;4;1;32;4;29;103;2
838;Rimouski;2022-10-03;G;Rimouski, v;12;;75;340;0;27;8;1;46;9;25;116;1
838;Rimouski;2022-10-03;G;Rimouski, v;12;;76;340;0;53;5;1;36;8;35;138;3
838;Rimouski;2022-10-03;G;Rimouski, v;13;;77;408;0;46;6;0;56;4;34;146;1
838;Rimouski;2022-10-03;G;Rimouski, v;13;;78;407;1;21;6;0;66;2;34;130;2
838;Rimouski;2022-10-03;G;Rimouski, v;13;;79;379;1;48;8;0;42;2;31;132;2
838;Rimouski;2022-10-03;G;Rimouski, v;13;;80;384;0;48;10;0;52;4;54;168;0
838;Rimouski;2022-10-03;G;Rimouski, v;13;;81;385;0;43;8;0;33;4;40;128;1
838;Rimouski;2022-10-03;G;Rimouski, v;13;;82;381;1;30;7;0;43;2;50;133;1
838;Rimouski;2022-10-03;G;Rimouski, v;14;;83;356;1;60;7;0;21;9;43;141;1
838;Rimouski;2022-10-03;G;Rimouski, v;14;;84;361;0;91;10;0;28;4;40;173;0
838;Rimouski;2022-10-03;G;Rimouski, v;14;;85;376;0;92;17;1;39;2;50;201;1
838;Rimouski;2022-10-03;G;Rimouski, v;14;;86;364;0;110;6;0;29;1;41;187;1
838;Rimouski;2022-10-03;G;Rimouski, v;14;;87;354;0;57;7;0;31;3;33;131;2
838;Rimouski;2022-10-03;G;Rimouski, v;14;;88;375;1;49;4;2;29;6;50;141;0
838;Rimouski;2022-10-03;G;Rimouski, v;14;;89;353;0;75;6;0;35;4;47;167;0
838;Rimouski;2022-10-03;G;Rimouski, v;14;;90;375;0;53;9;0;43;1;37;143;1
838;Rimouski;2022-10-03;G;Rimouski, v;14;;91;377;3;63;11;0;28;4;56;165;0
838;Rimouski;2022-10-03;G;Rimouski, v;15;;92;368;0;53;9;0;40;6;30;138;2
838;Rimouski;2022-10-03;G;Rimouski, v;15;;93;367;1;49;7;0;49;0;27;133;1
838;Rimouski;2022-10-03;G;Rimouski, v;15;;94;384;0;93;2;0;25;2;36;158;2
838;Rimouski;2022-10-03;G;Rimouski, v;15;;95;373;0;67;8;0;28;8;52;163;1
838;Rimouski;2022-10-03;G;Rimouski, v;15;;96;382;2;55;2;1;14;1;43;118;1
838;Rimouski;2022-10-03;G;Rimouski, v;15;;97;382;1;18;3;0;44;1;26;93;1
838;Rimouski;2022-10-03;G;Rimouski, v;15;;98;372;1;40;2;0;26;3;40;112;0
838;Rimouski;2022-10-03;G;Rimouski, v;16;;99;384;1;40;8;0;32;5;58;144;3
838;Rimouski;2022-10-03;G;Rimouski, v;16;;100;398;0;57;8;1;58;12;49;185;4
838;Rimouski;2022-10-03;G;Rimouski, v;16;;101;396;0;39;11;1;44;6;46;147;0
838;Rimouski;2022-10-03;G;Rimouski, v;16;;102;402;1;47;6;1;39;3;50;147;4
838;Rimouski;2022-10-03;G;Rimouski, v;16;;103;390;1;51;6;0;33;7;47;145;2
838;Rimouski;2022-10-03;G;Rimouski, v;17;;104;380;0;54;19;0;43;5;42;163;3
838;Rimouski;2022-10-03;G;Rimouski, v;17;;105;374;0;85;10;0;29;3;59;186;0
838;Rimouski;2022-10-03;G;Rimouski, v;17;;106;361;1;90;2;0;28;8;59;188;2
838;Rimouski;2022-10-03;G;Rimouski, v;17;;107;359;1;78;12;1;30;4;45;171;0
838;Rimouski;2022-10-03;G;Rimouski, v;18;;108;403;1;73;12;0;20;4;60;170;0
838;Rimouski;2022-10-03;G;Rimouski, v;18;;109;409;0;76;10;1;48;3;67;205;4
838;Rimouski;2022-10-03;G;Rimouski, v;18;;110;401;0;97;5;0;31;2;54;189;1
838;Rimouski;2022-10-03;G;Rimouski, v;18;;111;412;2;65;8;0;62;5;59;201;2
838;Rimouski;2022-10-03;G;Rimouski, v;18;;112;393;0;79;17;0;35;5;60;196;1
838;Rimouski;2022-10-03;G;Rimouski, v;19;;113;353;3;42;7;0;35;2;50;139;1
838;Rimouski;2022-10-03;G;Rimouski, v;19;;114;371;0;56;6;0;37;4;59;162;3
838;Rimouski;2022-10-03;G;Rimouski, v;19;;115;352;2;62;3;2;39;1;59;168;1
838;Rimouski;2022-10-03;G;Rimouski, v;19;;116;329;0;68;12;0;24;0;42;146;6
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;117;384;0;70;9;1;26;2;75;183;1
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;118;396;1;70;14;0;33;9;72;199;4
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;119;389;1;83;17;0;28;4;64;197;2
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;120;395;0;77;14;0;45;3;94;233;3
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;121;384;0;76;9;0;48;3;64;200;3
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;;122;392;2;58;18;2;36;2;64;182;2
838;Rimouski;2022-10-03;G;Saint-Marcellin, p;1;;123;363;1;77;15;0;24;2;61;180;0
838;Rimouski;2022-10-03;G;Saint-Fabien, p;1;Regr. BVO-1;500;39;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;3;Regr. BVO-30;501;197;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;4;Regr. BVO-32;502;34;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;6;Regr. BVO-40;503;37;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;12;Regr. BVO-72;504;68;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;12;Regr. BVO-76;505;394;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;12;Regr. BVO-74;506;147;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;13;Regr. BVO-79;507;47;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;15;Regr. BVO-97;508;339;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;16;Regr. BVO-99;509;51;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Rimouski, v;17;Regr. BVO-104;510;67;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;Saint-Anaclet-de-Lessard, p;1;Regr. BVO-117;511;31;0;0;0;0;0;0;0;0;0
838;Rimouski;2022-10-03;G;BVA1: SV no 1 à 5;;;;0;1;132;18;0;36;11;68;266;1
838;Rimouski;2022-10-03;G;BVA2: SV no 6 à 11, 123;;;;0;0;101;17;1;26;11;47;203;1
838;Rimouski;2022-10-03;G;BVA3: SV no 12 à 15;;;;0;0;133;21;0;75;7;74;310;2
838;Rimouski;2022-10-03;G;BVA4: SV no 16 à 19;;;;0;0;214;12;0;77;10;94;407;0
838;Rimouski;2022-10-03;G;BVA5: SV no 20 à 25;;;;0;1;302;11;1;137;21;162;635;1
838;Rimouski;2022-10-03;G;BVA6: SV no 26 à 30;;;;0;2;262;17;0;77;16;167;541;1
838;Rimouski;2022-10-03;G;BVA7: SV no 31 à 34;;;;0;1;142;16;2;57;7;122;347;2
838;Rimouski;2022-10-03;G;BVA8: SV no 35 à 38;;;;0;2;187;11;0;50;13;78;341;0
838;Rimouski;2022-10-03;G;BVA9: SV no 39 à 41;;;;0;0;157;8;0;51;7;78;301;1
838;Rimouski;2022-10-03;G;BVA10: SV no 42 à 45;;;;0;3;123;14;2;37;1;80;260;1
838;Rimouski;2022-10-03;G;BVA11: SV no 46 à 50;;;;0;3;161;21;0;41;8;86;320;0
838;Rimouski;2022-10-03;G;BVA12: SV no 51 à 56;;;;0;3;303;24;2;94;18;185;629;6
838;Rimouski;2022-10-03;G;BVA13: SV no 57 à 60;;;;0;0;263;14;0;43;16;103;439;2
838;Rimouski;2022-10-03;G;BVA14: SV no 61 à 65;;;;0;1;251;11;0;69;10;120;462;5
838;Rimouski;2022-10-03;G;BVA15: SV no 66 à 71;;;;0;1;260;31;1;144;23;151;611;3
838;Rimouski;2022-10-03;G;BVA16: SV no 72 à 76;;;;0;0;166;14;0;124;16;97;417;9
838;Rimouski;2022-10-03;G;BVA17: SV no 77 à 79;;;;0;2;119;9;1;77;5;78;291;2
838;Rimouski;2022-10-03;G;BVA18: SV no 80 à 82;;;;0;0;124;11;0;53;12;72;272;1
