Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellemare Louis P.L.Q./Q.L.P.;Dionne Amélie C.A.Q.-E.F.L.;Lapointe-Gagnon Myriam Q.S.;Moreault Louise P.C.Q-E.E.D.;Rioux Félix P.Q.;Sierpien Carole C.Q.;B.V.;B.R.
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-du-Portage, m;1;;1;347;10;84;24;17;42;0;177;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-du-Portage, m;1;;2;346;2;99;58;11;41;0;211;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-du-Portage, m;1;;3;356;8;110;50;14;39;1;222;6
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;4;371;6;89;22;20;42;1;180;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;5;370;2;70;37;24;26;1;160;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;6;362;4;100;25;14;28;3;174;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;7;374;1;75;27;18;29;1;151;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;8;357;9;76;35;10;25;0;155;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;1;;9;363;5;62;42;18;25;2;154;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;10;366;3;67;8;12;13;0;103;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;11;359;1;63;18;10;15;2;109;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;12;375;11;88;22;15;14;1;151;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;13;367;3;57;13;9;17;1;100;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;14;372;1;81;21;4;27;1;135;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;15;373;11;82;17;11;32;1;154;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;16;363;7;80;32;14;36;0;169;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;17;368;3;65;29;14;24;2;137;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;18;370;2;57;44;15;32;2;152;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;2;;19;356;1;60;39;17;16;0;133;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;20;390;8;80;37;15;31;3;174;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;21;406;9;69;26;10;27;1;142;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;22;382;3;89;29;13;37;0;171;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;23;397;3;85;24;13;34;0;159;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;24;385;7;57;42;15;22;1;144;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;3;;25;404;10;74;35;15;30;2;166;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;26;380;3;75;43;15;26;2;164;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Rivière-du-Loup, v;4;;27;414;3;80;31;30;35;1;180;2
