Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Cliche-Rivard Guillaume Q.S.;Daubois Julie P.Q.;Duford Jean-Pierre P.V.Q./G.P.Q.;Gaudreault Esther D.D.;Huard-Isabelle Nicolas C.A.Q.-E.F.L.;Kaczorowski Janusz B.M.-E.B.H.;White Mischa P.C.Q-E.E.D.;B.V.;B.R.
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;1;399;57;36;11;4;1;31;1;16;157;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;2;357;66;25;7;0;2;30;1;10;141;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;3;381;44;38;20;7;0;36;2;10;157;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;4;380;57;40;11;3;2;15;0;10;138;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;5;369;35;43;19;5;0;32;4;15;153;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;6;373;78;34;20;7;0;27;3;7;176;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;7;376;32;45;23;4;1;37;3;17;162;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;8;387;37;31;14;3;0;37;1;16;139;8
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;86;;9;374;43;35;18;1;0;25;0;14;136;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;10;381;35;19;11;3;1;21;0;14;104;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;11;376;60;20;6;3;0;16;1;24;130;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;12;383;73;12;14;2;1;33;0;17;152;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;13;390;48;24;20;3;0;23;2;4;124;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;14;368;37;43;11;6;0;18;3;14;132;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;15;372;47;50;8;5;0;23;5;6;144;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;16;393;42;42;12;2;0;27;2;12;139;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;87;;17;369;54;31;13;3;0;27;0;14;142;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;18;354;34;46;9;4;0;22;0;7;122;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;19;360;30;13;15;0;0;42;6;5;111;5
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;20;356;35;37;16;1;0;52;3;9;153;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;21;357;41;46;15;0;1;37;0;8;148;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;22;366;35;66;13;1;0;22;4;7;148;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;23;370;47;57;8;5;0;31;1;10;159;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;24;359;57;43;13;3;1;21;1;7;146;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;88;;25;359;41;45;17;6;0;31;4;4;148;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;26;353;45;34;16;0;0;23;0;5;123;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;27;350;33;38;11;4;2;21;1;18;128;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;28;365;57;25;15;0;0;39;1;8;145;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;29;352;54;29;17;1;1;15;1;16;134;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;30;360;53;29;11;0;0;34;1;9;137;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;31;357;53;43;17;4;0;51;0;7;175;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;32;348;36;39;11;2;2;25;1;13;129;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;33;362;31;52;17;5;0;24;2;21;152;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;34;368;48;52;18;0;0;33;1;6;158;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;89;;35;356;31;63;22;1;0;37;2;15;171;5
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;90;;36;359;39;54;17;3;2;28;2;11;156;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;90;;37;345;46;42;16;4;1;27;1;6;143;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;90;;38;361;33;42;10;4;2;39;1;12;143;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;90;;39;366;18;41;14;0;1;29;1;14;118;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;40;377;43;50;24;3;1;24;1;15;161;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;41;393;55;33;14;3;0;31;2;4;142;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;42;382;32;37;18;1;0;41;1;8;138;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;43;377;51;48;17;1;1;33;1;11;163;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;44;385;41;50;10;3;0;32;11;0;147;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;91;;45;393;42;47;23;5;0;42;3;7;169;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;46;370;48;59;13;4;0;27;1;11;163;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;47;414;30;30;7;8;1;16;1;13;106;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;48;405;55;27;12;4;1;18;4;14;135;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;49;389;48;55;18;2;0;22;2;25;172;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;50;382;39;49;7;1;0;36;0;7;139;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;51;382;41;48;19;2;0;30;2;12;154;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;52;392;37;52;15;2;0;20;2;12;140;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;53;374;40;41;12;2;1;22;4;13;135;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;92;;54;407;50;40;10;2;0;34;3;3;142;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;55;365;58;39;7;4;0;24;3;9;144;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;56;374;68;43;9;7;0;16;5;12;160;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;57;377;46;30;11;5;1;34;6;11;144;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;58;366;36;47;12;3;0;17;2;8;125;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;59;351;60;40;7;5;0;18;4;5;139;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;60;370;43;36;9;2;0;26;0;10;126;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;93;;61;353;35;38;14;1;1;16;4;6;115;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;62;364;35;51;4;3;1;5;2;7;108;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;63;362;36;37;8;6;0;7;5;11;110;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;64;377;45;34;8;5;1;23;1;9;126;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;65;372;33;59;4;1;0;5;4;14;120;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;66;374;59;65;6;4;1;12;0;6;153;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;94;;67;384;53;50;14;2;1;11;0;8;139;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;68;384;49;49;14;7;0;10;4;11;144;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;69;406;67;47;8;1;0;19;7;13;162;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;70;364;46;67;12;5;0;17;2;11;160;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;71;371;46;44;9;5;0;10;5;14;133;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;72;331;49;44;7;6;1;11;6;5;129;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;73;354;70;29;12;3;0;17;3;9;143;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;95;;74;359;58;27;8;0;0;16;2;11;122;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;96;;75;373;43;39;10;3;0;31;7;11;144;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;96;;76;384;53;55;12;1;0;15;4;8;148;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;96;;77;375;53;52;8;6;0;17;3;13;152;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;96;;78;393;76;28;11;1;4;20;3;9;152;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;96;;79;414;55;49;13;5;0;17;4;5;148;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;80;396;46;93;12;5;0;11;6;3;176;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;81;357;46;59;9;4;0;13;2;3;136;3
