Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;1;376;5;51;20;38;33;3;150;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;2;373;3;55;18;22;23;5;126;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;3;361;2;55;17;32;18;8;132;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;4;377;2;63;17;38;20;6;146;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;5;390;3;52;20;34;42;4;155;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;6;380;3;79;31;25;25;3;166;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;7;378;0;41;22;34;28;7;132;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;1;;8;380;5;66;21;24;26;1;143;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;9;400;3;77;33;34;33;10;190;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;10;388;2;88;18;53;42;9;212;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;11;389;2;96;16;36;27;13;190;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;12;406;1;68;18;37;36;9;169;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;13;393;1;78;21;33;27;13;173;6
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;2;;14;385;1;62;4;48;49;14;178;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;15;306;1;60;23;33;18;11;146;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;16;325;3;55;14;37;41;5;155;2
