Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benzekri Othmane P.V.Q./G.P.Q.;Briand Gérard Q.S.;Dugal Karl P.Q.;Fossey Myrtis-Eirene P.C.Q./C.P.Q;Gauthier Mélanie C.A.Q.-E.F.L.;Rajput Rizwan Muhammad B.M.-E.B.H.;Rizqy Marwah P.L.Q./Q.L.P.;St-Clair Catherine P.C.Q-E.E.D.;B.V.;B.R.
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;1;393;1;21;15;0;18;4;81;51;191;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;2;391;6;25;16;2;35;6;80;22;192;6
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;3;381;2;12;16;0;26;10;79;0;145;5
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;4;361;0;9;3;2;13;5;70;14;116;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;5;384;2;47;26;3;21;3;68;5;175;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;6;386;0;16;12;9;19;4;71;34;165;5
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;7;387;5;36;27;1;18;1;74;21;183;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;21;;8;400;5;27;36;0;19;3;62;15;167;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;9;378;2;36;22;1;26;4;56;8;155;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;10;341;4;23;24;1;20;0;31;6;109;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;11;342;0;25;16;0;17;6;41;6;111;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;12;387;3;10;3;0;13;4;16;5;54;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;13;364;1;11;1;1;19;9;78;14;134;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;22;;14;366;3;14;3;1;21;2;70;9;123;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;15;402;1;11;13;6;24;15;75;15;160;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;16;358;1;15;4;2;11;12;49;6;100;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;17;392;0;22;4;1;10;19;99;22;177;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;18;400;3;16;3;3;16;10;74;10;135;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;19;380;4;18;7;2;6;4;61;9;111;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;20;382;0;14;6;2;18;11;67;21;139;2
