Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asatsop Rodrigue P.L.Q./Q.L.P.;Bah Halimatou P.V.Q./G.P.Q.;Bernier Virginie Q.S.;Fréchette Christine C.A.Q.-E.F.L.;Gibeault François P.C.Q-E.E.D.;Héroux Hélène P.M.L.Q.;Lajoie Martine C.Q.;Paquin-Auger Daphnée P.Q.;B.V.;B.R.
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;1;337;17;1;12;70;18;0;0;21;139;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;2;342;13;2;24;56;21;0;1;25;142;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;3;360;18;1;28;51;24;0;0;15;137;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;4;384;16;6;20;60;19;0;1;25;147;5
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;5;354;9;0;19;75;14;0;1;32;150;6
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;6;338;14;1;33;68;18;0;0;29;163;1
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;1;;7;350;14;1;21;74;21;1;0;31;163;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;8;358;15;4;22;69;12;0;0;19;141;0
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;9;370;19;3;26;73;22;0;0;23;166;4
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;10;363;21;1;22;69;10;1;0;26;150;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;11;390;21;2;42;67;18;1;0;37;188;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;12;351;13;2;25;42;28;0;1;17;128;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;13;395;18;1;27;62;27;0;1;32;168;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;14;334;8;3;24;58;22;1;1;34;151;0
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;15;369;16;1;24;56;15;0;0;39;151;4
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;16;359;18;2;22;54;17;0;0;22;135;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;17;376;16;1;24;68;21;0;0;29;159;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;2;;18;378;13;3;44;66;15;0;0;23;164;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;19;382;21;4;30;79;18;0;2;40;194;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;20;376;19;0;32;67;23;0;0;39;180;5
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;21;398;17;10;34;64;16;2;1;35;179;1
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;22;391;22;1;30;65;15;0;0;28;161;4
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;23;401;18;1;35;56;21;0;0;33;164;5
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;24;407;31;2;28;75;39;2;1;16;194;0
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;25;371;17;1;38;59;17;0;0;42;174;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;26;385;17;1;21;70;19;0;0;28;156;6
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;3;;27;392;13;2;23;86;16;0;0;27;167;1
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;28;393;15;2;22;71;10;0;0;39;159;2
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;29;373;19;6;19;66;13;0;1;30;154;4
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;30;371;13;1;15;80;17;1;0;27;154;5
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;31;380;22;6;28;77;16;0;0;39;188;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;32;385;12;2;31;75;15;1;0;28;164;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;33A;221;12;3;22;36;10;0;0;23;106;3
230;Sanguinet;2022-10-03;G;Sainte-Catherine, v;4;;33B;209;7;0;12;50;9;0;0;16;94;3
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;34;378;12;1;18;71;24;0;0;33;159;8
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;35;407;11;1;26;66;27;0;2;25;158;3
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;36;374;11;1;25;61;25;1;0;19;143;5
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;37A;231;3;2;17;33;10;0;0;20;85;1
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;37B;207;3;1;7;31;4;0;0;12;58;0
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;38;382;15;4;23;84;26;1;0;33;186;0
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;39;383;23;0;29;61;30;0;1;34;178;3
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;40;361;20;4;41;59;25;0;0;32;181;0
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;41;378;18;3;24;69;14;0;0;34;162;4
230;Sanguinet;2022-10-03;G;Saint-Constant, v;1;;42;376;17;4;26;55;20;0;0;26;148;4
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;43;395;33;7;25;64;17;0;0;24;170;2
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;44;374;34;1;30;52;15;0;0;33;165;2
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;45;367;21;1;29;64;34;0;0;35;184;1
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;46;350;30;2;18;73;16;1;0;33;173;4
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;47;385;24;1;20;77;18;0;0;28;168;0
230;Sanguinet;2022-10-03;G;Saint-Constant, v;2;;48;400;19;1;29;59;25;0;0;32;165;2
