Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Bouvette-Turcot Andrée-Anne P.Q.;Boyer Pierre-Marc P.C.Q-E.E.D.;Carmant Lionel C.A.Q.-E.F.L.;Cissé Omar P.L.Q./Q.L.P.;Ouellet Frédéric C.Q.;Savignac Pierre U.F.F.;B.V.;B.R.
250;Taillon;2022-10-03;G;Longueuil, v;35;;1;338;28;18;6;50;49;2;0;153;0
250;Taillon;2022-10-03;G;Longueuil, v;35;;2;385;42;22;23;39;41;1;0;168;3
250;Taillon;2022-10-03;G;Longueuil, v;35;;3;341;28;12;10;46;34;1;0;131;2
250;Taillon;2022-10-03;G;Longueuil, v;35;;4;340;27;28;12;43;20;3;0;133;0
250;Taillon;2022-10-03;G;Longueuil, v;35;;5;362;38;28;16;49;17;4;0;152;1
250;Taillon;2022-10-03;G;Longueuil, v;35;;6;358;35;32;12;27;25;0;0;131;2
250;Taillon;2022-10-03;G;Longueuil, v;35;;7;371;48;26;7;59;20;3;0;163;3
250;Taillon;2022-10-03;G;Longueuil, v;35;;8;353;22;39;10;37;30;4;0;142;6
250;Taillon;2022-10-03;G;Longueuil, v;35;;9;358;33;23;12;34;26;0;0;128;2
250;Taillon;2022-10-03;G;Longueuil, v;35;;10;326;26;28;10;34;14;2;0;114;1
250;Taillon;2022-10-03;G;Longueuil, v;35;;11;365;22;38;10;43;20;1;0;134;1
250;Taillon;2022-10-03;G;Longueuil, v;35;;12;377;23;29;26;69;18;3;0;168;2
250;Taillon;2022-10-03;G;Longueuil, v;35;;13;344;30;19;9;63;25;0;0;146;0
250;Taillon;2022-10-03;G;Longueuil, v;36;;14;403;33;20;19;39;18;2;0;131;1
250;Taillon;2022-10-03;G;Longueuil, v;36;;15;394;23;21;8;30;24;2;0;108;1
250;Taillon;2022-10-03;G;Longueuil, v;36;;16;402;34;21;16;37;24;1;1;134;3
250;Taillon;2022-10-03;G;Longueuil, v;36;;17;347;17;15;13;48;25;0;0;118;2
250;Taillon;2022-10-03;G;Longueuil, v;36;;18;376;24;13;18;47;12;3;1;118;2
250;Taillon;2022-10-03;G;Longueuil, v;36;;19;393;29;28;8;29;17;0;2;113;8
250;Taillon;2022-10-03;G;Longueuil, v;36;;20;396;36;16;12;20;31;2;2;119;1
250;Taillon;2022-10-03;G;Longueuil, v;36;;21;400;20;20;7;25;23;3;1;99;1
250;Taillon;2022-10-03;G;Longueuil, v;36;;22;420;34;25;17;37;35;4;1;153;5
250;Taillon;2022-10-03;G;Longueuil, v;36;;23;407;41;33;12;44;41;5;2;178;2
250;Taillon;2022-10-03;G;Longueuil, v;36;;24;404;34;25;10;54;47;1;0;171;2
250;Taillon;2022-10-03;G;Longueuil, v;37;;25;357;27;21;11;37;37;2;3;138;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;26;320;27;20;14;38;21;3;0;123;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;27;369;35;17;16;31;17;1;0;117;3
250;Taillon;2022-10-03;G;Longueuil, v;37;;28;344;27;12;11;37;22;0;0;109;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;29;355;26;24;14;47;14;0;1;126;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;30;335;16;25;13;30;11;1;0;96;0
250;Taillon;2022-10-03;G;Longueuil, v;37;;31;331;30;10;8;41;20;4;1;114;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;32;372;31;24;10;45;21;2;0;133;3
250;Taillon;2022-10-03;G;Longueuil, v;37;;33;348;41;12;13;30;22;2;2;122;1
250;Taillon;2022-10-03;G;Longueuil, v;37;;34;385;28;19;19;41;18;1;2;128;2
250;Taillon;2022-10-03;G;Longueuil, v;37;;35;361;20;17;18;26;29;1;0;111;4
250;Taillon;2022-10-03;G;Longueuil, v;38;;36;405;39;16;16;38;18;3;0;130;1
250;Taillon;2022-10-03;G;Longueuil, v;38;;37;363;31;24;13;43;29;0;0;140;2
250;Taillon;2022-10-03;G;Longueuil, v;38;;38;387;34;29;22;49;23;2;1;160;2
250;Taillon;2022-10-03;G;Longueuil, v;38;;39;408;40;32;22;55;21;5;0;175;3
250;Taillon;2022-10-03;G;Longueuil, v;38;;40;380;41;17;17;33;26;5;2;141;1
250;Taillon;2022-10-03;G;Longueuil, v;38;;41;390;34;31;13;30;22;5;2;137;3
250;Taillon;2022-10-03;G;Longueuil, v;38;;42;384;38;23;14;39;33;2;0;149;2
250;Taillon;2022-10-03;G;Longueuil, v;39;;43;382;35;15;13;46;15;2;0;126;3
250;Taillon;2022-10-03;G;Longueuil, v;39;;44;387;38;26;18;61;18;3;0;164;1
250;Taillon;2022-10-03;G;Longueuil, v;39;;45;418;45;47;19;46;24;1;1;183;6
250;Taillon;2022-10-03;G;Longueuil, v;39;;46;359;28;26;16;72;10;0;2;154;5
250;Taillon;2022-10-03;G;Longueuil, v;39;;47;370;36;29;15;40;26;2;3;151;0
250;Taillon;2022-10-03;G;Longueuil, v;39;;48;406;47;22;13;48;16;1;0;147;5
250;Taillon;2022-10-03;G;Longueuil, v;39;;49;410;40;28;22;36;21;1;1;149;4
250;Taillon;2022-10-03;G;Longueuil, v;39;;50A;224;13;19;4;35;4;0;0;75;3
250;Taillon;2022-10-03;G;Longueuil, v;39;;50B;216;24;13;6;28;9;0;0;80;2
250;Taillon;2022-10-03;G;Longueuil, v;40;;51;325;31;16;11;33;9;2;1;103;1
250;Taillon;2022-10-03;G;Longueuil, v;40;;52;332;47;21;3;20;12;2;0;105;1
250;Taillon;2022-10-03;G;Longueuil, v;40;;53;374;24;23;7;26;25;1;0;106;3
250;Taillon;2022-10-03;G;Longueuil, v;40;;54;375;58;41;3;25;11;2;0;140;2
250;Taillon;2022-10-03;G;Longueuil, v;40;;55;356;22;39;3;38;12;1;0;115;3
250;Taillon;2022-10-03;G;Longueuil, v;40;;56;325;33;40;5;26;8;0;1;113;0
250;Taillon;2022-10-03;G;Longueuil, v;40;;57;329;43;35;7;41;12;0;0;138;1
250;Taillon;2022-10-03;G;Longueuil, v;40;;58;366;54;44;11;34;19;1;0;163;0
250;Taillon;2022-10-03;G;Longueuil, v;40;;59;323;14;22;17;38;13;1;0;105;4
250;Taillon;2022-10-03;G;Longueuil, v;41;;60;393;38;47;11;49;15;2;0;162;2
250;Taillon;2022-10-03;G;Longueuil, v;41;;61;377;44;38;11;41;25;2;0;161;1
250;Taillon;2022-10-03;G;Longueuil, v;41;;62;375;49;39;7;43;28;0;0;166;2
250;Taillon;2022-10-03;G;Longueuil, v;41;;63;379;32;49;20;32;23;3;0;159;2
250;Taillon;2022-10-03;G;Longueuil, v;41;;64;368;41;35;6;64;18;1;0;165;2
250;Taillon;2022-10-03;G;Longueuil, v;41;;65;401;34;24;11;82;42;0;0;193;0
250;Taillon;2022-10-03;G;Longueuil, v;41;;66;399;51;39;11;55;8;1;0;165;0
250;Taillon;2022-10-03;G;Longueuil, v;41;;67;378;21;39;6;70;20;2;0;158;1
250;Taillon;2022-10-03;G;Longueuil, v;41;;68;397;34;36;15;63;18;2;0;168;1
250;Taillon;2022-10-03;G;Longueuil, v;41;;69;391;39;42;14;53;20;0;0;168;1
250;Taillon;2022-10-03;G;Longueuil, v;41;;70;371;20;35;10;61;26;2;0;154;3
250;Taillon;2022-10-03;G;Longueuil, v;41;;71A;227;10;24;3;49;8;0;0;94;0
