Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andreeva Daniela P.C.Q-E.E.D.;Couture Geneviève P.Q.;Fitzgibbon Pierre C.A.Q.-E.F.L.;Jean Lindsay P.L.Q./Q.L.P.;Meloche Marie-France D.D.;Poirier Nadia Q.S.;Tarpinian Nazar P.V.Q./G.P.Q.;B.V.;B.R.
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;1;370;24;44;71;17;1;18;3;178;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;2;377;21;41;57;5;0;23;0;147;6
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;3;376;39;32;88;17;2;22;2;202;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;4;375;38;35;72;14;0;26;0;185;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;5;380;28;35;87;12;0;11;1;174;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;5;;6;385;25;38;62;16;0;12;2;155;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;7;411;7;28;68;58;0;33;5;199;8
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;8;422;13;40;81;50;1;21;1;207;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;9;395;12;34;86;33;0;26;0;191;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;10;413;30;35;77;24;1;25;2;194;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;11A;212;13;11;38;39;0;22;0;123;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;11B;221;10;17;45;31;0;16;1;120;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;12;416;19;33;73;60;0;31;2;218;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;13;419;18;32;80;36;0;16;1;183;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;14;410;25;31;70;63;1;29;0;219;4
