Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-E.F.L.;Pépin Karine P.C.Q-E.E.D.;Roy Cullen Steven Q.S.;Samman Georges U.F.F.;Tekougoum Adams P.L.Q./Q.L.P.;Trottier Éric C.Q.;Vézina Laurent P.Q.;B.V.;B.R.
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;1;374;69;17;10;2;5;0;16;119;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;2;354;67;9;36;0;13;1;31;157;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;3;399;73;16;27;0;12;1;31;160;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;4;370;53;29;23;0;10;0;21;136;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;5;384;76;18;34;0;13;0;32;173;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;6;370;69;17;32;0;13;1;41;173;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;7;374;81;28;46;0;16;0;29;200;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;4;;8;375;68;27;19;0;8;0;28;150;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;9;338;76;16;24;1;15;0;40;172;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;10;335;84;21;19;0;11;0;29;164;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;11;337;88;23;24;1;3;0;24;163;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;12;358;93;30;26;0;13;1;36;199;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;13;332;68;12;31;0;13;0;43;167;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;5;;14;341;74;12;20;0;13;1;33;153;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;6;;15;360;70;19;24;2;12;0;25;152;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;6;;16;367;62;22;25;0;7;0;24;140;2
