Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Martine P.C.Q-E.E.D.;Lacombe Jean-Pierre C.Q.;Lafrenière Ian C.A.Q.-E.F.L.;Mbattang Yves P.L.Q./Q.L.P.;Nino Caita Juan Carlos P.V.Q./G.P.Q.;Samson Jean-Philippe Q.S.;Wrzesien Adam P.Q.;B.V.;B.R.
240;Vachon;2022-10-03;G;Longueuil, v;48;;1;371;30;3;33;16;3;21;8;114;3
240;Vachon;2022-10-03;G;Longueuil, v;48;;2;363;16;0;55;28;0;20;26;145;1
240;Vachon;2022-10-03;G;Longueuil, v;48;;3;385;28;1;46;25;1;30;24;155;0
240;Vachon;2022-10-03;G;Longueuil, v;48;;4A;267;1;0;39;7;0;17;12;76;0
240;Vachon;2022-10-03;G;Longueuil, v;48;;4B;230;13;0;32;12;2;23;5;87;1
240;Vachon;2022-10-03;G;Longueuil, v;48;;5;374;6;1;54;22;1;16;11;111;2
240;Vachon;2022-10-03;G;Longueuil, v;48;;6;390;15;1;55;18;2;30;10;131;2
240;Vachon;2022-10-03;G;Longueuil, v;48;;7;413;19;3;34;20;1;42;21;140;3
240;Vachon;2022-10-03;G;Longueuil, v;48;;8;394;27;2;39;15;2;34;21;140;2
240;Vachon;2022-10-03;G;Longueuil, v;49;;9;371;10;0;80;7;2;22;13;134;2
240;Vachon;2022-10-03;G;Longueuil, v;49;;10;375;19;2;48;5;1;24;19;118;3
240;Vachon;2022-10-03;G;Longueuil, v;49;;11;399;22;1;41;30;2;39;20;155;2
240;Vachon;2022-10-03;G;Longueuil, v;49;;12;378;7;2;75;21;2;23;33;163;0
240;Vachon;2022-10-03;G;Longueuil, v;49;;13;361;16;1;53;35;3;27;17;152;0
240;Vachon;2022-10-03;G;Longueuil, v;49;;14;383;15;0;42;31;2;35;11;136;1
240;Vachon;2022-10-03;G;Longueuil, v;49;;15;390;14;0;51;35;2;32;27;161;1
240;Vachon;2022-10-03;G;Longueuil, v;49;;16;379;9;3;72;30;2;37;25;178;3
240;Vachon;2022-10-03;G;Longueuil, v;49;;17;385;6;1;48;45;4;37;20;161;0
240;Vachon;2022-10-03;G;Longueuil, v;50;;18;391;14;2;55;20;5;29;19;144;5
240;Vachon;2022-10-03;G;Longueuil, v;50;;19;401;19;2;64;34;1;21;24;165;1
240;Vachon;2022-10-03;G;Longueuil, v;50;;20;379;19;1;40;25;1;33;19;138;3
240;Vachon;2022-10-03;G;Longueuil, v;50;;21;392;11;1;62;24;1;29;20;148;2
240;Vachon;2022-10-03;G;Longueuil, v;51;;22;400;14;1;63;24;1;34;18;155;2
240;Vachon;2022-10-03;G;Longueuil, v;51;;23;392;8;1;61;27;0;24;28;149;1
240;Vachon;2022-10-03;G;Longueuil, v;51;;24;396;13;0;53;31;1;34;21;153;4
240;Vachon;2022-10-03;G;Longueuil, v;51;;25;391;17;0;28;37;0;32;19;133;1
240;Vachon;2022-10-03;G;Longueuil, v;51;;26;381;15;0;51;30;0;24;20;140;3
240;Vachon;2022-10-03;G;Longueuil, v;51;;27;389;9;1;63;23;1;29;33;159;1
240;Vachon;2022-10-03;G;Longueuil, v;51;;28;389;22;3;62;36;3;38;32;196;4
240;Vachon;2022-10-03;G;Longueuil, v;52;;29;371;15;1;69;17;4;40;20;166;1
240;Vachon;2022-10-03;G;Longueuil, v;52;;30;391;22;0;48;45;3;28;19;165;1
240;Vachon;2022-10-03;G;Longueuil, v;52;;31;375;22;1;58;32;0;19;21;153;0
240;Vachon;2022-10-03;G;Longueuil, v;52;;32;390;12;0;71;25;1;24;32;165;1
240;Vachon;2022-10-03;G;Longueuil, v;52;;33;398;11;1;59;38;3;41;25;178;4
240;Vachon;2022-10-03;G;Longueuil, v;52;;34;374;15;1;64;44;2;35;32;193;5
240;Vachon;2022-10-03;G;Longueuil, v;52;;35;387;14;3;58;28;4;30;24;161;1
240;Vachon;2022-10-03;G;Longueuil, v;52;;36;354;12;3;64;19;0;23;15;136;0
240;Vachon;2022-10-03;G;Longueuil, v;52;;37;376;18;1;72;10;1;26;26;154;0
240;Vachon;2022-10-03;G;Longueuil, v;52;;38;389;10;1;63;21;4;36;25;160;2
240;Vachon;2022-10-03;G;Longueuil, v;52;;39;372;15;0;72;23;5;27;27;169;3
240;Vachon;2022-10-03;G;Longueuil, v;53;;40;399;11;1;60;16;4;32;14;138;0
240;Vachon;2022-10-03;G;Longueuil, v;53;;41;382;14;0;41;21;2;32;14;124;4
240;Vachon;2022-10-03;G;Longueuil, v;53;;42;357;12;0;62;24;1;29;27;155;2
240;Vachon;2022-10-03;G;Longueuil, v;53;;43;347;5;1;66;17;3;29;31;152;4
240;Vachon;2022-10-03;G;Longueuil, v;54;;44;400;18;1;38;35;4;30;35;161;2
240;Vachon;2022-10-03;G;Longueuil, v;54;;45;402;13;5;63;21;3;25;30;160;0
240;Vachon;2022-10-03;G;Longueuil, v;54;;46;408;11;1;56;43;2;24;20;157;3
240;Vachon;2022-10-03;G;Longueuil, v;54;;47;390;19;0;63;36;1;28;24;171;1
240;Vachon;2022-10-03;G;Longueuil, v;54;;48;417;19;0;56;20;1;30;20;146;4
240;Vachon;2022-10-03;G;Longueuil, v;54;;49;369;9;3;39;23;5;30;14;123;3
