Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahluwalia Jaspal Singh B.M.-E.B.H.;Bélec Eve C.A.Q.-E.F.L.;Bilodeau Cynthia Q.S.;Boileau Kelley P.V.Q./G.P.Q.;Hamelin-Schuilenburg David P.C.Q./C.P.Q;Lynes Paul D.D.;Massé Christopher P.Q.;Nichols Marie-Claude P.L.Q./Q.L.P.;Théoret Eve P.C.Q-E.E.D.;B.V.;B.R.
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;1;396;0;30;7;3;4;0;11;37;10;102;4
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;2;402;4;45;12;3;0;0;14;53;18;149;5
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;3;393;2;37;7;6;3;1;13;70;28;167;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;4;407;3;25;18;3;15;0;3;83;23;173;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;5A;223;2;18;9;1;5;1;8;28;20;92;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;1;;5B;214;0;31;8;3;1;0;4;22;7;76;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;6;387;0;23;10;2;5;0;11;56;39;146;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;7;411;1;36;16;5;1;1;2;93;32;187;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;8;391;2;27;14;4;5;0;7;41;20;120;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;9;414;3;39;6;5;2;0;2;75;49;181;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;10;403;0;44;16;3;6;0;12;62;24;167;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;11;391;2;35;17;5;6;0;2;72;41;180;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;12;419;1;24;18;0;8;0;9;66;20;146;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;13;408;11;21;14;4;10;0;12;91;27;190;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;2;;14;407;2;26;5;4;16;0;6;104;21;184;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;15;388;2;26;18;3;16;1;13;64;26;169;3
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;16;390;2;21;18;5;7;0;19;66;15;153;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;17;397;1;30;16;3;14;0;9;79;27;179;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;18;411;4;19;9;3;8;1;6;89;30;169;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;19;397;7;20;9;2;6;0;1;94;19;158;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;20;391;0;29;12;7;5;0;11;69;28;161;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;21;379;1;32;16;2;4;0;11;56;25;147;1
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;22;398;1;32;20;4;5;0;12;31;22;127;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;23;393;1;34;14;2;8;0;6;64;22;151;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;24;406;1;37;13;3;0;0;9;75;26;164;2
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;25;391;0;18;10;0;8;0;5;87;33;161;6
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;26A;205;0;19;7;4;5;1;8;27;19;90;0
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;26B;248;3;17;12;1;3;0;12;38;13;99;4
