Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Lucien Ind;Boisvert Pauline D.D.;Dallaire Germain C.Q.;Déry Pascal P.C.Q-E.E.D.;Gagnon-Ducharme Cédric P.Q.;Harvey Manon Q.S.;Lévesque Gabriel P.L.Q./Q.L.P.;Roy Suzanne C.A.Q.-E.F.L.;Saikali Nadim P.V.Q./G.P.Q.;B.V.;B.R.
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;1;330;0;2;0;15;37;27;14;66;1;162;5
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;2;362;0;0;0;22;27;28;24;60;2;163;4
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;3;334;0;0;0;20;48;24;20;52;2;166;0
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;4;336;0;0;0;12;47;18;5;71;2;155;2
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;5;336;0;0;1;20;35;25;21;58;2;162;8
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;6;342;0;0;0;18;28;33;14;59;0;152;3
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;7;334;0;0;1;20;39;20;9;41;2;132;4
256;Verchères;2022-10-03;G;Contrecoeur, v;1;;8;339;0;0;1;12;37;27;19;53;0;149;7
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;9;385;0;1;1;16;47;23;1;87;1;177;2
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;10;377;0;1;1;7;36;18;1;79;1;144;2
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;11;387;1;0;0;9;37;21;7;73;0;148;4
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;12;391;0;0;0;25;41;19;2;57;0;144;4
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;13;386;1;0;0;23;33;18;4;46;2;127;2
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;14;375;1;0;0;31;49;22;3;64;2;172;3
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;15;382;0;2;0;20;28;31;2;60;1;144;4
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;16;391;0;0;0;19;38;27;10;63;1;158;0
256;Verchères;2022-10-03;G;Contrecoeur, v;2;;17;359;0;0;0;10;45;19;10;69;0;153;0
256;Verchères;2022-10-03;G;Contrecoeur, v;3;;18;386;1;0;1;28;44;14;3;65;1;157;3
256;Verchères;2022-10-03;G;Contrecoeur, v;3;;19;392;1;0;0;20;49;26;6;88;4;194;4
256;Verchères;2022-10-03;G;Contrecoeur, v;3;;20;405;1;0;0;22;57;30;7;91;2;210;5
256;Verchères;2022-10-03;G;Calixa-Lavallée, m;1;;21;211;0;2;0;13;38;23;4;59;1;140;0
256;Verchères;2022-10-03;G;Calixa-Lavallée, m;1;;22;218;0;1;1;11;43;10;4;48;2;120;4
256;Verchères;2022-10-03;G;Verchères, m;1;;23;401;0;0;1;13;82;33;8;73;1;211;2
256;Verchères;2022-10-03;G;Verchères, m;1;;24;397;0;0;0;19;60;32;7;97;0;215;2
256;Verchères;2022-10-03;G;Verchères, m;1;;25;403;0;1;1;11;44;24;5;74;4;164;2
256;Verchères;2022-10-03;G;Verchères, m;1;;26;399;0;4;2;20;43;25;0;50;5;149;0
256;Verchères;2022-10-03;G;Verchères, m;1;;27;403;0;1;1;14;42;32;11;54;2;157;3
256;Verchères;2022-10-03;G;Verchères, m;1;;28;404;0;1;0;16;51;34;4;91;0;197;2
256;Verchères;2022-10-03;G;Verchères, m;1;;29;395;0;0;0;17;55;27;4;65;1;169;2
256;Verchères;2022-10-03;G;Verchères, m;1;;30;395;0;0;0;13;53;30;5;95;2;198;2
256;Verchères;2022-10-03;G;Verchères, m;1;;31;397;0;0;1;16;50;49;7;83;2;208;2
256;Verchères;2022-10-03;G;Verchères, m;1;;32;397;0;0;1;13;49;30;8;78;2;181;3
256;Verchères;2022-10-03;G;Verchères, m;1;;33;397;0;1;0;15;58;26;8;85;3;196;0
256;Verchères;2022-10-03;G;Varennes, v;1;;34;374;0;0;0;9;47;28;7;79;1;171;1
256;Verchères;2022-10-03;G;Varennes, v;1;;35;415;1;0;0;6;40;31;20;75;4;177;6
256;Verchères;2022-10-03;G;Varennes, v;1;;36;381;0;0;1;17;48;29;9;87;0;191;1
256;Verchères;2022-10-03;G;Varennes, v;1;;37;372;1;0;1;17;37;39;7;75;2;179;0
256;Verchères;2022-10-03;G;Varennes, v;1;;38;376;0;1;0;12;40;29;8;67;3;160;1
256;Verchères;2022-10-03;G;Varennes, v;1;;39;376;1;1;1;16;41;41;4;79;1;185;7
256;Verchères;2022-10-03;G;Varennes, v;2;;40;374;1;0;0;12;26;20;3;65;1;128;1
256;Verchères;2022-10-03;G;Varennes, v;2;;41;365;0;0;0;11;41;40;5;62;3;162;3
256;Verchères;2022-10-03;G;Varennes, v;2;;42;373;1;0;0;9;49;32;2;73;1;167;0
256;Verchères;2022-10-03;G;Varennes, v;2;;43;369;2;0;0;11;39;25;8;69;1;155;3
256;Verchères;2022-10-03;G;Varennes, v;2;;44;371;0;0;1;8;44;40;6;72;2;173;3
256;Verchères;2022-10-03;G;Varennes, v;2;;45;363;1;0;1;16;28;35;11;72;3;167;2
256;Verchères;2022-10-03;G;Varennes, v;2;;46;359;0;0;2;13;39;30;2;94;4;184;0
256;Verchères;2022-10-03;G;Varennes, v;3;;47;363;1;0;1;12;36;38;5;99;4;196;2
256;Verchères;2022-10-03;G;Varennes, v;3;;48;364;0;0;0;7;49;38;13;69;2;178;1
256;Verchères;2022-10-03;G;Varennes, v;3;;49;354;0;0;0;9;37;33;0;54;1;134;3
256;Verchères;2022-10-03;G;Varennes, v;3;;50;365;0;0;0;7;47;28;12;43;0;137;4
256;Verchères;2022-10-03;G;Varennes, v;3;;51;366;0;0;1;6;45;21;9;84;1;167;0
256;Verchères;2022-10-03;G;Varennes, v;3;;52;364;1;0;1;11;31;29;4;87;0;164;4
256;Verchères;2022-10-03;G;Varennes, v;3;;53;367;0;0;0;6;47;35;7;67;2;164;0
256;Verchères;2022-10-03;G;Varennes, v;3;;54;371;2;0;0;9;51;16;10;58;1;147;1
256;Verchères;2022-10-03;G;Varennes, v;4;;55;380;1;0;0;19;43;44;7;56;2;172;2
256;Verchères;2022-10-03;G;Varennes, v;4;;56;378;0;0;0;9;36;35;11;71;0;162;1
256;Verchères;2022-10-03;G;Varennes, v;4;;57;385;0;0;3;13;45;25;11;85;1;183;0
256;Verchères;2022-10-03;G;Varennes, v;4;;58;377;1;0;0;15;44;28;11;85;0;184;2
256;Verchères;2022-10-03;G;Varennes, v;4;;59;377;0;0;0;6;44;30;11;94;4;189;4
256;Verchères;2022-10-03;G;Varennes, v;4;;60;374;0;0;0;6;42;37;8;75;1;169;1
256;Verchères;2022-10-03;G;Varennes, v;4;;61;379;0;1;0;14;37;20;14;72;1;159;0
256;Verchères;2022-10-03;G;Varennes, v;5;;62;363;0;2;0;18;33;23;5;84;2;167;2
