Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deschamps Fernand P.M.L.Q.;Desmarais Alexandre C.Q.;Kilbride Scott P.C.Q./C.P.Q;Koty Lucien P.C.Q-E.E.D.;Melançon Isabelle P.L.Q./Q.L.P.;Milette Marc-André P.N.;Pellerin Jannie P.V.Q./G.P.Q.;Rioux Alain A.F.C.;Tremblay Véronique C.A.Q.-E.F.L.;Valdivia Claudia P.Q.;Zaga Mendez Alejandra Q.S.;B.V.;B.R.
300;Verdun;2022-10-03;G;Montréal, v;69;;1;345;0;0;7;9;62;0;2;0;31;12;52;175;1
300;Verdun;2022-10-03;G;Montréal, v;69;;2;345;0;1;3;5;61;0;4;0;25;22;49;170;0
300;Verdun;2022-10-03;G;Montréal, v;69;;3;352;0;0;1;6;67;0;4;1;26;27;45;177;0
300;Verdun;2022-10-03;G;Montréal, v;69;;4;344;0;0;2;11;65;0;3;0;40;23;64;208;3
300;Verdun;2022-10-03;G;Montréal, v;69;;5;344;0;0;2;1;27;0;1;0;14;9;23;77;1
300;Verdun;2022-10-03;G;Montréal, v;70;;6;372;0;1;1;7;49;0;2;1;45;12;42;160;1
300;Verdun;2022-10-03;G;Montréal, v;70;;7;388;0;0;5;12;63;1;3;0;52;9;43;188;1
300;Verdun;2022-10-03;G;Montréal, v;70;;8;391;0;0;5;7;40;1;5;0;26;9;46;139;1
300;Verdun;2022-10-03;G;Montréal, v;70;;9;398;0;0;2;12;61;0;1;0;33;15;62;186;1
300;Verdun;2022-10-03;G;Montréal, v;70;;10;407;0;1;6;8;56;0;6;0;34;21;49;181;1
300;Verdun;2022-10-03;G;Montréal, v;70;;11;392;0;1;17;17;53;1;3;0;27;15;69;203;0
300;Verdun;2022-10-03;G;Montréal, v;70;;12;381;0;0;2;15;47;0;3;0;17;15;66;165;1
300;Verdun;2022-10-03;G;Montréal, v;71;;13;354;0;0;1;9;55;1;4;0;34;14;46;164;1
300;Verdun;2022-10-03;G;Montréal, v;71;;14;375;1;0;2;5;31;1;5;0;36;27;67;175;3
300;Verdun;2022-10-03;G;Montréal, v;71;;15;365;1;0;1;5;31;2;0;0;28;11;35;114;1
300;Verdun;2022-10-03;G;Montréal, v;71;;16;360;0;0;1;3;47;0;2;0;31;18;42;144;1
300;Verdun;2022-10-03;G;Montréal, v;71;;17;370;0;1;1;10;38;1;3;0;39;8;44;145;0
300;Verdun;2022-10-03;G;Montréal, v;72;;18;381;0;0;3;11;22;0;4;0;17;10;64;131;6
300;Verdun;2022-10-03;G;Montréal, v;72;;19;376;0;0;4;7;44;0;8;0;26;14;49;152;0
300;Verdun;2022-10-03;G;Montréal, v;72;;20;385;0;0;1;9;37;1;2;0;18;12;61;141;2
300;Verdun;2022-10-03;G;Montréal, v;72;;21;388;0;1;5;17;35;1;3;0;37;16;77;192;3
300;Verdun;2022-10-03;G;Montréal, v;72;;22;377;0;1;2;7;51;0;6;0;41;23;61;192;2
300;Verdun;2022-10-03;G;Montréal, v;72;;23;377;0;0;5;9;57;1;1;0;46;12;40;171;5
300;Verdun;2022-10-03;G;Montréal, v;72;;24;383;0;0;1;7;51;1;5;0;33;16;54;168;8
300;Verdun;2022-10-03;G;Montréal, v;73;;25;390;1;1;1;2;26;0;1;0;48;16;55;151;3
300;Verdun;2022-10-03;G;Montréal, v;73;;26;404;0;1;1;7;49;0;2;0;39;15;77;191;1
300;Verdun;2022-10-03;G;Montréal, v;73;;27;381;0;0;1;9;28;1;2;0;37;16;61;155;1
300;Verdun;2022-10-03;G;Montréal, v;73;;28;411;0;1;0;11;33;0;4;0;22;12;65;148;1
300;Verdun;2022-10-03;G;Montréal, v;73;;29;392;3;1;3;8;47;1;3;1;56;18;28;169;2
300;Verdun;2022-10-03;G;Montréal, v;74;;30;354;0;0;2;4;40;1;5;0;23;10;29;114;1
300;Verdun;2022-10-03;G;Montréal, v;74;;31;359;0;0;1;5;36;0;5;0;18;9;57;131;1
300;Verdun;2022-10-03;G;Montréal, v;74;;32;371;0;0;3;7;35;0;3;0;13;4;58;123;1
300;Verdun;2022-10-03;G;Montréal, v;74;;33;360;0;1;2;3;35;0;5;0;27;8;50;131;0
300;Verdun;2022-10-03;G;Montréal, v;75;;34;362;0;0;3;14;40;1;6;0;18;7;46;135;2
300;Verdun;2022-10-03;G;Montréal, v;75;;35;370;0;0;3;3;32;1;3;0;37;9;67;155;1
300;Verdun;2022-10-03;G;Montréal, v;75;;36;359;2;0;3;12;25;0;3;0;22;8;52;127;4
300;Verdun;2022-10-03;G;Montréal, v;75;;37;372;1;1;3;5;34;0;3;0;19;12;54;132;0
300;Verdun;2022-10-03;G;Montréal, v;75;;38;361;0;0;2;12;40;1;3;0;23;15;66;162;3
300;Verdun;2022-10-03;G;Montréal, v;75;;39;371;0;0;1;7;27;0;3;0;28;17;48;131;3
300;Verdun;2022-10-03;G;Montréal, v;75;;40;353;1;2;5;4;29;0;3;0;16;6;76;142;1
300;Verdun;2022-10-03;G;Montréal, v;75;;41;362;0;0;0;13;31;1;2;0;21;5;56;129;4
300;Verdun;2022-10-03;G;Montréal, v;76;;42;376;0;0;2;8;23;0;6;0;25;9;79;152;2
300;Verdun;2022-10-03;G;Montréal, v;76;;43;389;0;0;4;7;26;0;5;0;31;12;73;158;2
300;Verdun;2022-10-03;G;Montréal, v;76;;44;378;0;1;0;4;13;0;9;0;19;17;74;137;1
300;Verdun;2022-10-03;G;Montréal, v;76;;45;375;0;1;2;13;29;1;2;0;14;9;61;132;3
300;Verdun;2022-10-03;G;Montréal, v;76;;46;379;2;0;1;12;24;0;3;1;20;8;61;132;4
