Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Josée Q.S.;Lavigne Nathalie P.Q.;Lo Cicero Rita P.V.Q./G.P.Q.;Monteiro Anabela P.L.Q./Q.L.P.;Piscitelli Stefano P.C.Q-E.E.D.;Schmaltz Valérie C.A.Q.-E.F.L.;B.V.;B.R.
476;Vimont;2022-10-03;G;Laval, v;63;;1;376;19;18;2;66;19;57;181;5
476;Vimont;2022-10-03;G;Laval, v;63;;2;377;15;15;3;66;20;48;167;3
476;Vimont;2022-10-03;G;Laval, v;63;;3;382;31;16;0;64;14;69;194;1
476;Vimont;2022-10-03;G;Laval, v;63;;4;388;20;24;4;79;30;61;218;3
476;Vimont;2022-10-03;G;Laval, v;63;;5;399;22;32;3;45;22;70;194;2
476;Vimont;2022-10-03;G;Laval, v;63;;6;395;22;13;3;44;25;75;182;3
476;Vimont;2022-10-03;G;Laval, v;63;;7;399;33;7;0;40;28;37;145;0
476;Vimont;2022-10-03;G;Laval, v;64;;8;387;41;25;0;61;19;51;197;8
476;Vimont;2022-10-03;G;Laval, v;64;;9;381;28;17;4;60;17;50;176;0
476;Vimont;2022-10-03;G;Laval, v;64;;10;382;28;22;2;76;23;41;192;5
476;Vimont;2022-10-03;G;Laval, v;64;;11;397;16;13;1;83;45;50;208;3
476;Vimont;2022-10-03;G;Laval, v;64;;12;365;29;20;2;60;33;52;196;0
476;Vimont;2022-10-03;G;Laval, v;64;;13;376;15;13;1;36;33;43;141;0
476;Vimont;2022-10-03;G;Laval, v;65;;14;363;7;10;2;67;56;20;162;3
476;Vimont;2022-10-03;G;Laval, v;65;;15;364;7;4;4;97;56;27;195;1
476;Vimont;2022-10-03;G;Laval, v;65;;16;372;24;12;2;71;29;44;182;2
476;Vimont;2022-10-03;G;Laval, v;65;;17;368;9;8;0;60;46;27;150;1
476;Vimont;2022-10-03;G;Laval, v;65;;18;370;13;24;3;42;27;48;157;1
476;Vimont;2022-10-03;G;Laval, v;65;;19;381;22;21;2;25;13;62;145;1
476;Vimont;2022-10-03;G;Laval, v;65;;20;373;19;14;3;74;19;34;163;2
476;Vimont;2022-10-03;G;Laval, v;65;;21;374;12;13;4;71;38;49;187;2
476;Vimont;2022-10-03;G;Laval, v;66;;22;365;30;27;1;51;19;52;180;0
476;Vimont;2022-10-03;G;Laval, v;66;;23;366;24;15;1;33;12;57;142;0
476;Vimont;2022-10-03;G;Laval, v;66;;24;375;28;23;1;47;23;80;202;5
476;Vimont;2022-10-03;G;Laval, v;66;;25;370;9;32;3;62;21;34;161;0
476;Vimont;2022-10-03;G;Laval, v;66;;26;368;23;24;3;49;19;33;151;0
476;Vimont;2022-10-03;G;Laval, v;66;;27;358;29;10;0;65;25;35;164;1
476;Vimont;2022-10-03;G;Laval, v;67;;28;384;22;17;1;34;20;37;131;0
476;Vimont;2022-10-03;G;Laval, v;67;;29;392;16;19;4;64;20;55;178;3
476;Vimont;2022-10-03;G;Laval, v;67;;30;404;21;20;1;64;34;44;184;1
476;Vimont;2022-10-03;G;Laval, v;67;;31;395;17;22;2;74;29;38;182;0
